shared name	MASST_PHYLA
19	Actinobacteria, Ascomycota, Bacillariophyta, Basidiomycota, Euglenozoa, Firmicutes, Proteobacteria
25	Actinobacteria, Ascomycota, Bacillariophyta, Basidiomycota, Euglenozoa, Proteobacteria
39	Actinobacteria, Ascomycota, Bacillariophyta, Basidiomycota, Euglenozoa, Proteobacteria
389	Euglenozoa
391	Euglenozoa
396	Euglenozoa
799	Actinobacteria, Ascomycota, Basidiomycota, Euglenozoa, Proteobacteria
883	Basidiomycota, Euglenozoa
977	Basidiomycota, Euglenozoa, Proteobacteria
2183	Ascomycota, Basidiomycota
2188	Basidiomycota
2327	Euglenozoa
2350	Euglenozoa
2407	Actinobacteria
2693	Basidiomycota
3018	Basidiomycota
3038	Basidiomycota
3142	Actinobacteria
3292	Actinobacteria, Ascomycota, Bacillariophyta, Basidiomycota, Euglenozoa, Firmicutes, Proteobacteria
3349	Actinobacteria, Basidiomycota
3525	Basidiomycota, Euglenozoa
4113	Actinobacteria, Ascomycota, Basidiomycota, Euglenozoa, Proteobacteria
5925	Chordata
5946	Chordata
6236	Euglenozoa
6379	Actinobacteria
