#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	fdr	tags	internalFilename
6832	M+FA-H	n/a	1	NCGC00381061-01_C30H51N5O9_Pyrrolo[1,2-d][1,4,7,10,13,16]oxapentaazacyclononadecine-1,4,7,10,14,17(11H,16H)-hexone, 16-(2,3-dihydroxypropyl)dodecahydro-5,8,9,21-tetramethyl-6-(1-methylethyl)-3-(1-methylpropyl)-	isolated	lfnothias	625.369	spectrapklbin/spec-00000.mgf6832	InChI=1S/C30H51N5O9/c1-9-17(4)23-29(42)34(8)24(16(2)3)30(43)33(7)19(6)26(39)31-12-10-22(38)44-21(14-20(37)15-36)28(41)35-13-11-18(5)25(35)27(40)32-23/h16-21,23-25,36-37H,9-15H2,1-8H3,(H,31,39)(H,32,40)	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	670.367	lib-00003.mgf	Gold	1	0.500252	1772.15	1.18799	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	670.367	n/a	185.578	3	CCC(C)C1NC(=O)C2C(C)CCN2C(=O)C(CC(O)CO)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O	1	671.555	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000850955	3485.4	UPDATE-SINGLE-ANNOTATED-GOLD	0.279715762274	 	spec-00000.mgf
3892	553.4	123284811	1	1,2-Di(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf3892	N/A	N/A	IT/ion trap	Negative	ESI	553.4	lib-00003.mgf	Bronze	3	0.500101	143.268	0.0792847	1	NIST14	NIST	553.4	N/A	181.528	3	N/A	1	553.479	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000252304	1160.3	UPDATE-SINGLE-ANNOTATED-BRONZE	0.279715762274	 	spec-00000.mgf
3457	319.3	29044755	1	9S,11R-Dihydroxy-15-oxoprostanoic acid	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf3457	N/A	N/A	IT/ion trap	Negative	ESI	319.3	lib-00003.mgf	Bronze	3	0.500452	6079.91	1.94131	1	NIST14	NIST	319.3	N/A	75.627	5	N/A	1	321.241	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000309527	1837.5	UPDATE-SINGLE-ANNOTATED-BRONZE	0.279715762274	 	spec-00000.mgf
3398	M+H-H2O	1224444238	1	15(R),19(R)-Hydroxyprostaglandin F2.alpha.	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf3398	N/A	N/A	HCD	Positive	ESI	353.232	lib-00003.mgf	Bronze	3	0.501177	5503.73	1.94409	1	NIST14	NIST	353.232	N/A	111.282	3	N/A	1	351.288	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000235814	204	UPDATE-SINGLE-ANNOTATED-BRONZE	0.279325988334	 	spec-00000.mgf
7192	M+FA-H	n/a	1	NCGC00380894-01_C22H36O5_1-Naphthalenepentanoic acid, 4-(acetyloxy)-3,4,4a,5,6,7,8,8a-octahydro-3-hydroxy-beta,2,5,5,8a-pentamethyl-	isolated	lfnothias	380.256	spectrapklbin/spec-00000.mgf7192	InChI=1S/C22H36O5/c1-13(12-17(24)25)8-9-16-14(2)18(26)19(27-15(3)23)20-21(4,5)10-7-11-22(16,20)6/h13,18-20,26H,7-12H2,1-6H3,(H,24,25)	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	425.254	lib-00003.mgf	Gold	1	0.503065	4520.15	1.92221	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	425.254	n/a	126.017	3	CC(CCC/1=C(C)/C(O)C(OC(C)=O)C2C(C)(C)CCCC12C)CC(O)=O	1	427.176	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000849842	57390	UPDATE-SINGLE-ANNOTATED-GOLD	0.278102664068	 	spec-00000.mgf
457	[M-H]-	N/A	1	MoNA:785367 Enoxolone (INN)	isolated	MoNA	0.0	spectrapklbin/spec-00000.mgf457	InChI=1S/C30H46O4/c1-25(2)21-8-11-30(7)23(28(21,5)10-9-22(25)32)20(31)16-18-19-17-27(4,24(33)34)13-12-26(19,3)14-15-29(18,30)6/h16,19,21-23,32H,8-15,17H2,1-7H3,(H,33,34)/t19-,21-,22-,23+,26+,27-,28-,29+,30+/m0/s1	N/A	LC-ESI-QFT	 	LC-ESI-QFT	469.332	lib-00003.mgf	Bronze	3	0.502964	106.768	0.0501099	1	MONA	MoNA	469.332	N/A	59.848	3	N/A	1	469.282	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000567550	2148.8	UPDATE-SINGLE-ANNOTATED-BRONZE	0.278102664068	 	spec-00000.mgf
753	M-H	N/A	1	Arachidonic acid biotinamide	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf753	N/A	N/A	HCD	Negative	ESI	613.416	lib-00003.mgf	Bronze	3	0.506018	1401.36	0.859619	1	NIST14	NIST	613.416	N/A	198.885	4	N/A	1	612.556	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000233347	19982	UPDATE-SINGLE-ANNOTATED-BRONZE	0.277994791667	 	spec-00000.mgf
652	M+H	N/A	1	Asp-His	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf652	N/A	N/A	IT/ion trap	Positive	ESI	271.104	lib-00003.mgf	Bronze	3	0.505464	6981.45	1.8927	1	NIST14	NIST	271.104	N/A	64.449	3	N/A	1	269.211	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000382679	721	UPDATE-SINGLE-ANNOTATED-BRONZE	0.277994791667	 	spec-00000.mgf
6105	M+FA-H	n/a	1	NCGC00169318-02!(E)-7-(4-methoxy-5-methyl-6-oxopyran-2-yl)-5-methyloct-6-enoic acid	isolated	lfnothias	294.147	spectrapklbin/spec-00000.mgf6105	InChI=1S/C16H22O5/c1-10(6-5-7-15(17)18)8-11(2)13-9-14(20-4)12(3)16(19)21-13/h8-10H,5-7H2,1-4H3,(H,17,18)/b11-8+	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	339.145	lib-00003.mgf	Gold	1	0.504111	3139.36	1.0647	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	339.145	n/a	78.821	3	COC1=C(C)C(=O)OC(=C1)C(\C)=C\C(C)CCCC(O)=O	1	340.21	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000846582	106.7	UPDATE-SINGLE-ANNOTATED-GOLD	0.277994791667	 	spec-00000.mgf
5928	M-H	N/A	1	15(R),19(R)-Hydroxyprostaglandin F1.alpha.	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf5928	N/A	N/A	HCD	Negative	ESI	371.244	lib-00003.mgf	Bronze	3	0.503472	5239.9	1.94528	1	NIST14	NIST	371.244	N/A	135.049	4	N/A	1	369.299	C18_neg_6_nodupl_gapfil35_25ppm_GNPS.mgf	CCMSLIB00000235733	157	UPDATE-SINGLE-ANNOTATED-BRONZE	0.277994791667	 	spec-00000.mgf
