#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	fdr	tags	internalFilename
9100	M+Na	53003104	1	Salinomycin	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf9100	N/A	N/A	HCD	Positive	ESI	773.481	lib-00003.mgf	Bronze	3	0.50021	1613.07	1.24768	1	NIST14	NIST	773.481	N/A	303.422	3	N/A	1	774.729	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00000318635	26570	UPDATE-SINGLE-ANNOTATED-BRONZE	0.228852228852	 	spec-00000.mgf
5184	[M+NH4]+	N/A	1	MoNA:38837 Triacylglycerol 18:2-18:2-18:2	isolated	MoNA	0.0	spectrapklbin/spec-00000.mgf5184	InChI=1S/C57H98O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h31-36,40-45,54H,4-30,37-39,46-53H2,1-3H3/b34-31-,35-32-,36-33-,43-40-,44-41-,45-42-	N/A	LC-ESI-QTOF	 	LC-ESI-QTOF	896.7	lib-00003.mgf	Bronze	3	0.500309	2112.78	1.89453	1	MONA	MoNA	896.7	N/A	258.17	14	N/A	1	894.805	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00000563325	37864	UPDATE-SINGLE-ANNOTATED-BRONZE	0.228852228852	 	spec-00000.mgf
31466	M+H	N/A	1	Cer(d18:0/18:0); [M+H]+ C36H74N1O3	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf31466	N/A	N/A	CID; Velos	Positive	LC-ESI	567.559	lib-00003.mgf	Gold	1	0.500094	1945.18	1.104	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	567.559	N/A	65.575	3	N/A	1	566.455	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003132570	560	UPDATE-SINGLE-ANNOTATED-GOLD	0.228852228852	 	spec-00000.mgf
30283	M+H	N/A	1	Cer(d18:1/23:1); [M+H]+ C41H80N1O3	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf30283	N/A	N/A	CID; Velos	Positive	LC-ESI	633.606	lib-00003.mgf	Gold	1	0.500117	1844.72	1.16882	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	633.606	N/A	39.869	3	N/A	1	632.437	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003134422	2109	UPDATE-SINGLE-ANNOTATED-GOLD	0.228852228852	 	spec-00000.mgf
23253	M+H	N/A	1	PC(18:2/18:3); [M+H]+ C44H79N1O8P1	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf23253	N/A	N/A	CID; Velos	Positive	LC-ESI	779.547	lib-00003.mgf	Gold	1	0.500214	1282.64	0.999878	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	779.547	N/A	147.765	3	N/A	1	780.547	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003106135	740	UPDATE-SINGLE-ANNOTATED-GOLD	0.228852228852	 	spec-00000.mgf
6283	M+H	N/A	1	PC(17:1/0:0); [M+H]+ C25H51N1O7P1	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf6283	N/A	N/A	CID; Lumos	Positive	LC-ESI	507.332	lib-00003.mgf	Gold	1	0.500681	1788.17	0.907196	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	507.332	N/A	107.432	3	N/A	1	506.425	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003089766	316	UPDATE-SINGLE-ANNOTATED-GOLD	0.228712174525	 	spec-00000.mgf
2883	M+Na	N/A	1	17-Phenoxy trinor prostaglandin F2.alpha.	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf2883	N/A	N/A	IT-FT/ion trap with FTMS	Positive	ESI	427.209	lib-00003.mgf	Bronze	3	0.500638	2118.68	0.905121	1	NIST14	NIST	427.209	N/A	44.117	3	N/A	1	426.304	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00000308920	802	UPDATE-SINGLE-ANNOTATED-BRONZE	0.228712174525	 	spec-00000.mgf
1490	M+NH4	N/A	1	TG(18:1/20:3/20:4); [M+NH4]+ C61H106N1O6	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf1490	N/A	N/A	CID; Velos	Positive	LC-ESI	930.768	lib-00003.mgf	Gold	1	0.500657	2083.32	1.93909	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	930.768	N/A	307.335	8	N/A	1	928.829	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003096341	66235	UPDATE-SINGLE-ANNOTATED-GOLD	0.228712174525	 	spec-00000.mgf
30194	M+NH4	N/A	1	TG(16:4/18:3/18:4); [M+NH4]+ C55H88N1O6	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf30194	N/A	N/A	CID; Velos	Positive	LC-ESI	840.627	lib-00003.mgf	Gold	1	0.500931	2182.41	1.83459	1	PNNL-LIPIDS-POSITIVE	Thomas Metz	840.627	N/A	318.701	5	N/A	1	838.792	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00003094110	224564	UPDATE-SINGLE-ANNOTATED-GOLD	0.228410292563	 	spec-00000.mgf
30026	M+H	N/A	1	Asp-Leu-Arg	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf30026	N/A	N/A	IT/ion trap	Positive	ESI	403.23	lib-00003.mgf	Bronze	3	0.500963	4944.13	1.99362	1	NIST14	NIST	403.23	N/A	12.771	3	N/A	1	401.236	CARA_C18_pos_FBMN_GNPS_MERGED.mgf	CCMSLIB00000384420	479	UPDATE-SINGLE-ANNOTATED-BRONZE	0.228410292563	 	spec-00000.mgf
