#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	fdr	tags	internalFilename
7147	M+H-H2O	114418916	1	D-myo-Inositol-2,3,5,6-tetraphosphate	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf7147	N/A	N/A	IT-FT/ion trap with FTMS	Positive	ESI	482.925	lib-00003.mgf	Bronze	3	0.501014	3849.67	1.8591	1	NIST14	NIST	482.925	N/A	148.416	4	N/A	1	481.066	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000234712	3848	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400751622822	 	spec-00000.mgf
3428	467.1	470553	1	Stachyose	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf3428	N/A	N/A	IT/ion trap	Positive	ESI	467.1	lib-00003.mgf	Bronze	3	0.501401	1920.82	0.897217	1	NIST14	NIST	467.1	N/A	33.05	4	N/A	1	466.203	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000270702	6875	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400683760684	 	spec-00000.mgf
2513	M-H	106182201	1	Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phospho-(1'-myo-inositol) from NIST14	Isolated	Data deposited by lfnothias	0.0	spectrapklbin/spec-00000.mgf2513	N/A	N/A	QqIT	Negative	ESI	571.294	lib-00003.mgf	Bronze	3	0.501258	9.93581	0.00567627	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein;Ajit Jadhav	571.294	N/A	87.724	5	N/A	1	571.288	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00003136330	1334	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400683760684	 	spec-00000.mgf
925	M+Na	n/a	1	NCGC00384563-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis(3,4,5-trihydroxyoxan-2-yl)chromen-4-one	isolated	lfnothias	534.137	spectrapklbin/spec-00000.mgf925	InChI=1S/C25H26O13/c26-9-3-1-8(2-4-9)13-5-10(27)14-19(32)15(24-21(34)17(30)11(28)6-36-24)20(33)16(23(14)38-13)25-22(35)18(31)12(29)7-37-25/h1-5,11-12,17-18,21-22,24-26,28-35H,6-7H2	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	557.126	lib-00003.mgf	Gold	1	0.502133	2402.84	1.33868	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	557.126	n/a	174.046	3	OC1COC(C(O)C1O)C2=C(O)C(C3OCC(O)C(O)C3O)=C4OC(=CC(=O)C4=C2O)C5=CC=C(O)C=C5	1	555.787	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000848458	8699	UPDATE-SINGLE-ANNOTATED-GOLD	0.400547757617	 	spec-00000.mgf
9250	M-H	180469630	1	5-iPF2.alpha.-VI	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf9250	N/A	N/A	HCD	Negative	ESI	353.233	lib-00003.mgf	Bronze	3	0.502786	4887.11	1.72629	1	NIST14	NIST	353.233	N/A	120.611	7	N/A	1	354.959	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000238356	3278	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400547757617	 	spec-00000.mgf
9130	M+H-H2O	55837257	1	Buflomedil	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf9130	N/A	N/A	HCD	Positive	ESI	290.175	lib-00003.mgf	Bronze	3	0.503267	2805.92	0.814209	1	NIST14	NIST	290.175	N/A	94.902	3	N/A	1	290.989	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000249782	399	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400547757617	 	spec-00000.mgf
7257	M+Na	61198	1	Adenosine 5'-monophosphate	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf7257	N/A	N/A	IT-FT/ion trap with FTMS	Positive	ESI	370.052	lib-00003.mgf	Bronze	3	0.502202	5118.73	1.8942	1	NIST14	NIST	370.052	N/A	138.487	4	N/A	1	368.158	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000265143	7496	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400547757617	 	spec-00000.mgf
5957	M+H-H2O	5508587	1	Andrographolide	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf5957	N/A	N/A	IT/ion trap	Positive	ESI	333.206	lib-00003.mgf	Bronze	3	0.502075	3080.37	1.0264	1	NIST14	NIST	333.206	N/A	144.639	7	N/A	1	332.18	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000331708	1286	UPDATE-SINGLE-ANNOTATED-BRONZE	0.400547757617	 	spec-00000.mgf
5288	M+NH4	n/a	1	NCGC00385558-01!(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-oct-1-en-3-yloxyoxane-3,4,5-triol	isolated	lfnothias	422.215	spectrapklbin/spec-00000.mgf5288	InChI=1S/C19H34O10/c1-3-5-6-7-11(4-2)28-17-15(23)14(22)13(21)12(29-17)8-26-18-16(24)19(25,9-20)10-27-18/h4,11-18,20-25H,2-3,5-10H2,1H3/t11?,12-,13-,14+,15-,16+,17-,18-,19-/m1/s1	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	440.249	lib-00003.mgf	Gold	1	0.503881	2671.41	1.17609	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	440.249	n/a	160.002	4	CCCCCC(O[C@@H]1O[C@H](CO[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)C=C	1	439.073	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000848373	3812	UPDATE-SINGLE-ANNOTATED-GOLD	0.400547757617	 	spec-00000.mgf
418	M+H	n/a	1	NCGC00347809-02!8-[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl]-8,9-dihydrofuro[2,3-h]chromen-2-one	isolated	lfnothias	408.142	spectrapklbin/spec-00000.mgf418	InChI=1S/C20H24O9/c1-20(2,29-19-17(25)16(24)15(23)12(8-21)27-19)13-7-10-11(26-13)5-3-9-4-6-14(22)28-18(9)10/h3-6,12-13,15-17,19,21,23-25H,7-8H2,1-2H3/t12-,13?,15-,16+,17-,19+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	409.149	lib-00003.mgf	Gold	1	0.502294	2762.29	1.13019	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	409.149	n/a	165.371	3	CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C2CC3=C(O2)C=CC4=C3OC(=O)C=C4	1	408.019	CARA_HILIC_neg_GNPS_MS2_merged.mgf	CCMSLIB00000846145	33260	UPDATE-SINGLE-ANNOTATED-GOLD	0.400547757617	 	spec-00000.mgf
