shared name	CSI_#adducts	CSI_#predictedFPs	CSI_ConfidenceScore	CSI_CSI:FingerIDScore	CSI_ZodiacScore	CSI_SiriusScore	CSI_molecularFormula	CSI_adduct	CSI_InChIkey2D	CSI_InChI	CSI_name	CSI_smiles	CSI_xlogp	CSI_pubchemids	CSI_links	CSI_dbflags	CSI_ionMass	CSI_retentionTimeInSeconds	CSI_id
3642	3	4		-182.284	0.726	16.408	C16H10O4	[M - H]-	DACUXYCUJMGBFH	InChI=1S/C16H10O4/c17-15(18)12-7-3-2-6-11(12)13-9-10-5-1-4-8-14(10)20-16(13)19/h1-9H,(H,17,18)	Oprea1_261926	C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=CC=C3C(=O)O	3.1	927893;6954761	COCONUT:(CNP0050414 CNP0361541);PubChem:(927893 6954761);SuperNatural:(SN00047112);PubMed;ZINC bio:(ZINC00517815)	3153986	265.049	148.834	2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642
1953	1	1		-453.878	1.0	15.389	C24H50O4	[M - H2O - H]-	RYCPZVNAAFWRCP	InChI=1S/C24H50O4/c1-3-5-7-9-11-13-15-17-19-21-23(25)27-28-24(26)22-20-18-16-14-12-10-8-6-4-2/h23-26H,3-22H2,1-2H3		CCCCCCCCCCCC(O)OOC(CCCCCCCCCCC)O	10.3	54291932	COCONUT:(CNP0273813);Natural Products:(UNPD151070);PubChem:(54291932);SuperNatural:(SN00322843)	3178498	383.353	49.008	3509_CARA_HILIC_neg_SIRIUS_charge0_removed_1953
621	1	1		-221.813	1.0	11.538	C16H34O3	[M - H2O - H]-	AZLWQVJVINEILY	InChI=1S/C16H34O3/c1-2-3-4-5-6-7-8-9-10-11-13-18-15-16-19-14-12-17/h17H,2-16H2,1H3	Decyldiglycol	CCCCCCCCCCCCOCCOCCO	4.513	76457;101208024;101208027	NORMAN:(NS00013814);PubChem class - safety and toxic;PubChem:(76457 101208024 101208027);KEGG Mine;PubChem class - bio and metabolites	8674082818	255.233	69.197	5057_CARA_HILIC_neg_SIRIUS_charge0_removed_621
429	3	3		-271.351	1.0	35.331	C24H29N7O4	[M - H2O - H]-	MQXXDRJHVDAFLK	InChI=1S/C24H29N7O4/c1-29(2)18-7-5-16(6-8-18)24(35)31-11-10-30(23(34)17-12-25-15-26-13-17)14-20(31)22(33)28-19-4-3-9-27-21(19)32/h5-8,12-13,15,19-20H,3-4,9-11,14H2,1-2H3,(H,27,32)(H,28,33)	(2S)-1-[4-(dimethylamino)benzoyl]-N-[(3S)-2-oxopiperidin-3-yl]-4-(pyrimidine-5-carbonyl)piperazine-2-carboxamide	CN(C)C1=CC=C(C=C1)C(=O)N2CCN(CC2C(=O)NC3CCCNC3=O)C(=O)C4=CN=CN=C4	0.0	11911673	COCONUT:(CNP0321541);PubChem:(11911673);SuperNatural:(SN00011858);ZINC bio:(ZINC05397363)	3153922	460.209	85.704	3685_CARA_HILIC_neg_SIRIUS_charge0_removed_429
8812	1	7		-278.753	0.872	25.233	C18H29NO9	[M + Cl]-	NDHDOPGXUSBUJH	InChI=1S/C18H29NO9/c1-6-7-8-24-18-15(19-10(2)20)17(27-13(5)23)16(26-12(4)22)14(28-18)9-25-11(3)21/h14-18H,6-9H2,1-5H3,(H,19,20)	(5-acetamido-3,4-diacetyloxy-6-butoxyoxan-2-yl)methyl acetate	CCCCOC1C(C(C(C(O1)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C	0.4	5174146;11036864;89996270;124930277;124930278;124930279;124427902;135014699	COCONUT:(CNP0182012);PubChem:(5174146 11036864 89996270 124930277 124930278 124930279 124427902 135014699);SuperNatural:(SN00074929);ZINC bio:(ZINC05420471)	3153922	438.152	161.456	3335_CARA_HILIC_neg_SIRIUS_charge0_removed_8812
6376	1	1		-336.384	0.765	22.073	C23H34N2O7	[M + Br]-	NQTGXXUXIJUJMF	InChI=1S/C23H34N2O7/c1-23(2,12-20(28)31-4)11-18(26)24-13-17-22(30)21(29)16(32-17)10-19(27)25(3)14-15-8-6-5-7-9-15/h5-9,16-17,21-22,29-30H,10-14H2,1-4H3,(H,24,26)		CC(C)(CC(=O)NCC1C(C(C(O1)CC(=O)N(C)CC2=CC=CC=C2)O)O)CC(=O)OC	0.5	44716542	COCONUT:(CNP0050075);PubChem:(44716542);SuperNatural:(SN00022775 SN00017695);ZINC bio:(ZINC08643518 ZINC15675174)	3153922	529.156	129.882	1405_CARA_HILIC_neg_SIRIUS_charge0_removed_6376
7214	1	1		-326.537	0.998	25.92	C16H32N4O9	[M - H4O2 - H]-	OGDYBYDLKLNMQK	InChI=1S/C16H32N4O9/c17-3-5(21)1-9(22)20-7-2-6(19)15(13(26)10(7)23)29-16-14(27)12(25)11(24)8(4-18)28-16/h5-8,10-16,21,23-27H,1-4,17-19H2,(H,20,22)		C1C(C(C(C(C1NC(=O)CC(CN)O)O)O)OC2C(C(C(C(O2)CN)O)O)O)N	-5.9	71300712	PubChem:(71300712);PubChem class - safety and toxic	67108866	387.187	148.462	4193_CARA_HILIC_neg_SIRIUS_charge0_removed_7214
5153	1	3		-94.627	0.978	26.054	C10H18O10	[M + Cl]-	DGXURXUMSDNLNT	InChI=1S/C10H18O10/c11-1-4(6(14)7(15)9(17)18)20-10-8(16)5(13)3(12)2-19-10/h3-8,10-16H,1-2H2,(H,17,18)		C1C(C(C(C(O1)OC(CO)C(C(C(=O)O)O)O)O)O)O	-4.3	137333910;137333911	PubChem:(137333910 137333911);CHEBI:(143166)	34	333.059	152.702	4429_CARA_HILIC_neg_SIRIUS_charge0_removed_5153
1716	2	2		-97.134	1.0	9.501	C20H38O4	[M - H4O2 - H]-	GCVQVCAAUXFNGJ	InChI=1S/C20H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18(20(23)24)17-19(21)22/h18H,2-17H2,1H3,(H,21,22)(H,23,24)		CCCCCCCCCCCCCCCCC(CC(=O)O)C(=O)O	7.7	102837;20218213;21976173	PubChem:(102837 20218213 21976173);NORMAN:(NS00046558)	262146	305.248	28.411	734_CARA_HILIC_neg_SIRIUS_charge0_removed_1716
8166	1	1		-215.243	0.931	36.825	C9H11F3N2O2	[M - H]-	OYQJSLHHRPECLL	InChI=1S/C9H11F3N2O2/c1-3-16-8(15)5-14-6(2)4-7(13-14)9(10,11)12/h4H,3,5H2,1-2H3	ethyl 2-[5-methyl-3-(trifluoromethyl)pyrazolyl]acetate	CCOC(=O)CN1C(=CC(=N1)C(F)(F)F)C	1.9	667902	PubChem class - safety and toxic;PubChem:(667902);PubMed	67108930	235.072	128.545	4447_CARA_HILIC_neg_SIRIUS_charge0_removed_8166
3202	3	3		-17.87	1.0	35.379	C9H8O2	[M - H]-	WBYWAXJHAXSJNI	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)	cinnamate	C1=CC=C(C=C1)C=CC(=O)O	1.816	8784;444539;3920069;5957728;5372954;6857483;10773127;12206115;12206117;11008079;11298058;16213746;16213747;21677327;21677329;87138530;101086315;101086316;101086317;101086318;101108447;102009729;101188533;101636136;101249582;101249583;100943778;100943781;118797106;123151745;129848421;129849789;129883117;131854032;135121404;139025096	HMDB:(567 930 128078);PubChem class - food;SuperNatural:(SN00280202 SN00133813);ZINC bio:(ZINC04532783 ZINC16051516);additional;MeSH:(8784 444539 5957728);Plantcyc:(CPD-674);PubMed;NORMAN:(NS00001286);COCONUT:(CNP0085905 CNP0390407);KNApSAcK:(34743);Natural Products:(UNPD226281 UNPD219915 UNPD109023 UNPD171793 UNPD161812);PubChem:(8784 444539 3920069 5957728 5372954 6857483 10773127 12206115 12206117 11008079 11298058 16213746 16213747 21677327 21677329 87138530 101086315 101086316 101086317 101086318 101108447 102009729 101188533 101636136 101249582 101249583 100943778 100943781 118797106 123151745 129848421 129849789 129883117 131854032 135121404 139025096);CHEBI:(35700 35697 23248 15669 35699 27386);PubChem class - bio and metabolites;KEGG:(C00423 C10438);PubChem class - safety and toxic;YMDB:(1324);Training Set;PubChem class - drug;Biocyc:(CPD-674)	255846782	147.045	71.753	5118_CARA_HILIC_neg_SIRIUS_charge0_removed_3202
1916	1	1		-166.012	0.389	6.138	C31H58O12	[M - H4O2 - H]-	APBWSYQAZRTSBW	InChI=1S/C31H58O12/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21(32)41-19-20-22(33)23(34)29(40)31(42-20)43-30-27(38)25(36)24(35)26(37)28(30)39/h20,22-31,33-40H,2-19H2,1H3		CCCCCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O	3.404		COCONUT:(CNP0235978);Natural Products:(UNPD212463)	2129920	585.368	34.185	4201_CARA_HILIC_neg_SIRIUS_charge0_removed_1916
578	1	1		-13.542	1.0	27.54	C4H9NO3	[M - H]-	AYFVYJQAPQTCCC	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)	Threonin	CC(C(C(=O)O)N)O	-1.414	205;6288;69435;90624;99289;3548069;6399258;5460792;5460793;5460795;5460797;10582778;10725335;6971019;6971050;6995276;6995277;15341575;11768555;15556539;10486840;10486845;17757244;17757249;19884346;16217531;16217559;16217581;16220017;20831707;20831709;20849229;21725637;44229128;49818824;57189977;57616907;57616935;57616945;58618385;59373183;59373191;58203008;71309323;71309477;87214443;87698846;89059444;89944556;89945225;102009870;101770510;102602054;118099672;118099674;123274926;123687322;123356695;124202792;135043662;135071019;138112383	HMDB:(167 4041);PubChem class - food;SuperNatural:(SN00300019 SN00237096 SN00001733);ZINC bio:(ZINC00895103 ZINC00895399 ZINC01747072 ZINC01747073);additional;HSDB:(72-19-5);MeSH:(6288);Plantcyc:(CPD-10303 THR D-THREONINE L-ALLO-THREONINE);PubMed;NORMAN:(NS00001961);COCONUT:(CNP0082846 CNP0240794 CNP0361197);KNApSAcK:(1394);Natural Products:(UNPD131423 UNPD59 UNPD148829);PubChem:(205 6288 69435 90624 99289 3548069 6399258 5460792 5460793 5460795 5460797 10582778 10725335 6971019 6971050 6995276 6995277 15341575 11768555 15556539 10486840 10486845 17757244 17757249 19884346 16217531 16217559 16217581 16220017 20831707 20831709 20849229 21725637 44229128 49818824 57189977 57616907 57616935 57616945 58618385 59373183 59373191 58203008 71309323 71309477 87214443 87698846 89059444 89944556 89945225 102009870 101770510 102602054 118099672 118099674 123274926 123687322 123356695 124202792 135043662 135071019 138112383);CHEBI:(58585 57757 28718 32828 32822 57926 38263 32827 32826 16398 58645 16857 32820);PubChem class - bio and metabolites;KEGG:(C12317 C00820 C05519 C00188);PubChem class - safety and toxic;YMDB:(295 802 214);Training Set;PubChem class - drug;Biocyc:(CPD-10303 THR D-THREONINE L-ALLO-THREONINE SMA-0000594)	255847294	118.051	152.561	1471_CARA_HILIC_neg_SIRIUS_charge0_removed_578
8472	3	3		-147.745	0.962	22.094	C21H41NO6	[M - H4O2 - H]-	YCSMVIFHUJOGKU	InChI=1S/C21H41NO6/c1-2-3-4-10-13-17(24)14-11-8-6-5-7-9-12-15-18(25)19(26)21(22,16-23)20(27)28/h18-19,23,25-26H,2-16,22H2,1H3,(H,27,28)	Mycestericin C	CCCCCCC(=O)CCCCCCCCCC(C(C(CO)(C(=O)O)N)O)O	0.4	162274;21124075	COCONUT:(CNP0340694);MeSH:(162274);KNApSAcK:(16949);PubChem:(162274 21124075);PubMed	2097238	366.265	70.955	5522_CARA_HILIC_neg_SIRIUS_charge0_removed_8472
9283	2	2		-226.718	0.999	22.426	C18H40N2O8	[M - H4O2 - H]-	VZNCZGIMPKAVMR	InChI=1S/C18H40N2O8/c21-7-15-25-11-3-19(4-12-26-16-8-22)1-2-20(5-13-27-17-9-23)6-14-28-18-10-24/h21-24H,1-18H2	Veramin ED 4	C(CN(CCOCCO)CCOCCO)N(CCOCCO)CCOCCO	-3.0	168645	PubChem:(168645);PubChem class - safety and toxic	67108866	375.25	106.874	189_CARA_HILIC_neg_SIRIUS_charge0_removed_9283
10829	2	2		-303.598	0.942	17.23	C22H34O12	[M - H]-	DROJUOGKGFBDAM	InChI=1S/C22H34O12/c1-9-14(29-11(3)23)16(30-12(4)24)18(31-13(5)25)21(28-9)32-15-10(2)27-20(26-8)19-17(15)33-22(6,7)34-19/h9-10,14-21H,1-8H3		CC1C(C2C(C(O1)OC)OC(O2)(C)C)OC3C(C(C(C(O3)C)OC(=O)C)OC(=O)C)OC(=O)C	0.474		COCONUT:(CNP0191605);Natural Products:(UNPD176964);SuperNatural:(SN00276953)	3178496	489.196	128.913	442_CARA_HILIC_neg_SIRIUS_charge0_removed_10829
3797	3	3		-94.015	1.0	17.254	C6H6N2O2	[M - H]-	JRZBTJVSAANBEV	InChI=1S/C6H6N2O2/c7-4-1-2-8-5(3-4)6(9)10/h1-3H,(H2,7,8)(H,9,10)	4-Aminopicolinic acid	C1=CN=C(C=C1N)C(=O)O	0.0	2050132;22677533	PubChem class - safety and toxic;PubChem:(2050132 22677533);PubMed	67108930	137.036	222.629	1924_CARA_HILIC_neg_SIRIUS_charge0_removed_3797
5649	3	3		-172.779	0.998	10.735	C15H22O3	[M - H]-	PARHSTXNJNHQHQ	InChI=1S/C15H22O3/c16-14-11-9-13(10-12-14)7-5-3-1-2-4-6-8-15(17)18/h9-12,16H,1-8H2,(H,17,18)	Benzenenonanoic acid, 4-hydroxy-	C1=CC(=CC=C1CCCCCCCCC(=O)O)O	4.204	10422225	COCONUT:(CNP0382667);Natural Products:(UNPD127994);PubChem:(10422225);SuperNatural:(SN00269219);PubMed	3178562	249.151	74.657	4890_CARA_HILIC_neg_SIRIUS_charge0_removed_5649
2096	3	3		-82.737	1.0	38.486	C14H20N2O3	[M - H]-	GJNDXQBALKCYSZ	InChI=1S/C14H20N2O3/c1-9(2)12(15)13(17)16-11(14(18)19)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)	valylphenylalanine	CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.108	144746;6993119;6993120;14212831;36689042;36689043;36689044;36689045;36689046;44369299;61157144;61172246;79012900;103869001	COCONUT:(CNP0087132);HMDB:(29134);PubChem:(144746 6993119 6993120 14212831 36689042 36689043 36689044 36689045 36689046 44369299 61157144 61172246 79012900 103869001);SuperNatural:(SN00036122 SN00036119 SN00036120 SN00036121);CHEBI:(75016);ZINC bio:(ZINC01605725 ZINC01605726 ZINC01605727 ZINC01605728);additional;Training Set;PubMed	3694698	263.139	125.977	4195_CARA_HILIC_neg_SIRIUS_charge0_removed_2096
10059	2	9		-270.467	0.474	11.686	C16H24N2O8	[M - H2O - H]-	UAKLKYUBZOFLEE	InChI=1S/C16H24N2O8/c1-5-23-15(24-6-2)11-9-12(16(25-7-3)26-8-4)14(18(21)22)10-13(11)17(19)20/h9-10,15-16H,5-8H2,1-4H3	1,5-bis(diethoxymethyl)-2,4-dinitrobenzene	CCOC(C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(OCC)OCC)OCC	2.3	2749555	COCONUT:(CNP0046253);PubChem:(2749555);SuperNatural:(SN00123638);ZINC bio:(ZINC03845031)	3153922	353.134	121.058	2707_CARA_HILIC_neg_SIRIUS_charge0_removed_10059
3259	2	2		-125.853	1.0	44.696	C5H8O6S	[M - H]-	PVFFZPJSBGRRSS	InChI=1S/C5H8O6S/c1-2-4(5(6)7)3-11-12(8,9)10/h2H,3H2,1H3,(H,6,7)(H,8,9,10)		CC=C(COS(=O)(=O)O)C(=O)O	-0.6	131835400	HMDB:(129117);PubChem:(131835400);PubChem class - bio and metabolites	16777226	194.997	81.319	1131_CARA_HILIC_neg_SIRIUS_charge0_removed_3259
9031	2	2		-454.643	0.069	1.499	C23H16BrNO6	[M - H2O - H]-	ADYYUOJMLLDJHJ	InChI=1S/C23H16BrNO6/c1-30-21-8-3-2-5-15(21)9-11-20(26)19-14-17(24)10-12-22(19)31-23(27)16-6-4-7-18(13-16)25(28)29/h2-14H,1H3	[4-bromo-2-[3-(2-methoxyphenyl)prop-2-enoyl]phenyl] 3-nitrobenzoate	COC1=CC=CC=C1C=CC(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC(=CC=C3)[N+](=O)[O-]	5.6	2918222;5734614	COCONUT:(CNP0255529);PubChem:(2918222 5734614);SuperNatural:(SN00149407);ZINC bio:(ZINC09233496)	3153922	461.998	85.73	5345_CARA_HILIC_neg_SIRIUS_charge0_removed_9031
5966	3	7		-387.663	0.893	19.819	C34H42O11	[M - H2O - H]-	PSNUKMIXPYJNNW	InChI=1S/C34H42O11/c1-18(2)31(40)16-20(4)33(42)23-15-19(3)25(35)34(23,43)30(39)32(41,17-44-28(37)21-11-7-5-8-12-21)26(36)24(33)27(31)45-29(38)22-13-9-6-10-14-22/h5-14,19-20,23-27,30,35-36,39-43H,1,15-17H2,2-4H3		CC1CC2C3(C(CC(C(C3C(C(C(C2(C1O)O)O)(COC(=O)C4=CC=CC=C4)O)O)OC(=O)C5=CC=CC=C5)(C(=C)C)O)C)O	1.759		COCONUT:(CNP0253512);Natural Products:(UNPD133098);SuperNatural:(SN00292036)	3178496	607.256	114.633	4110_CARA_HILIC_neg_SIRIUS_charge0_removed_5966
2496	2	2		-117.152	1.0	50.045	C8H18O10S2	[M - H4O2 - H]-	ODOISJJCWUVNDJ	InChI=1S/C8H18O10S2/c1-19(13,14)17-3-5(9)7(11)8(12)6(10)4-18-20(2,15)16/h5-12H,3-4H2,1-2H3	Mannograno	CS(=O)(=O)OCC(C(C(C(COS(=O)(=O)C)O)O)O)O	-3.4	14464;97352;142775;23617417;97038452;97038453;97038454	COCONUT:(CNP0019305);PubChem class - safety and toxic;PubChem:(14464 97352 142775 23617417 97038452 97038453 97038454)	69206018	301.004	132.689	755_CARA_HILIC_neg_SIRIUS_charge0_removed_2496
235	1	1		-210.263	0.253	5.905	C11H10Cl6N2O2	[M + Br]-	RDRMYYYUTJIZPH	InChI=1S/C11H10Cl6N2O2/c1-2-21-10(20)19-9(11(15,16)17)18-8-6(13)3-5(12)4-7(8)14/h3-4,9,18H,2H2,1H3,(H,19,20)	ethyl N-[2,2,2-trichloro-1-(2,4,6-trichloroanilino)ethyl]carbamate	CCOC(=O)NC(C(Cl)(Cl)Cl)NC1=C(C=C(C=C1Cl)Cl)Cl	6.4	4569341;92199221;92199222	PubChem:(4569341 92199221 92199222);PubChem class - safety and toxic	67108866	490.802	158.509	159_CARA_HILIC_neg_SIRIUS_charge0_removed_235
2862	2	2		-52.637	1.0	92.245	C6H11NO4	[M - H]-	PEDXUVCGOLSNLQ	InChI=1S/C6H11NO4/c1-3(8)5(6(10)11)7-4(2)9/h3,5,8H,1-2H3,(H,7,9)(H,10,11)	N-Acetylthreonine	CC(C(C(=O)O)NC(=O)C)O	-1.028	152204;4651717;7349658;11062687;15341574;18603708;40492289;40492292;87928836;118662501;133638086	HMDB:(62557);PubChem:(152204 4651717 7349658 11062687 15341574 18603708 40492289 40492292 87928836 118662501 133638086);CHEBI:(133549 45826);ZINC bio:(ZINC04760161 ZINC04760162 ZINC04760164 ZINC04760165);PubChem class - bio and metabolites;MeSH:(152204);Training Set;PubMed;Biocyc:(CPD-20330)	16803950	160.061	89.31	602_CARA_HILIC_neg_SIRIUS_charge0_removed_2862
8506	1	1		-157.356	0.999	43.799	C8H14N4O6	[M - H]-	UUGLSEIATNSHRI	InChI=1S/C8H14N4O6/c13-1-9-5-6(11(3-15)7(9)17)12(4-16)8(18)10(5)2-14/h5-6,13-16H,1-4H2	Fixapret 140	C(N1C2C(N(C1=O)CO)N(C(=O)N2CO)CO)O	-2.1	79372	NORMAN:(NS00001583);PubChem class - safety and toxic;PubChem:(79372)	67371010	261.083	109.584	778_CARA_HILIC_neg_SIRIUS_charge0_removed_8506
2314	2	2		-48.691	1.0	16.132	C7H12N2O3	[M - H]-	KZNQNBZMBZJQJO	InChI=1S/C7H12N2O3/c8-4-6(10)9-3-1-2-5(9)7(11)12/h5H,1-4,8H2,(H,11,12)	bmse000588	C1CC(N(C1)C(=O)CN)C(=O)O	-1.21	79101;449546;3013625;6993386;23423004;37888688;44369312;59116152;78184550;101707510	HMDB:(721);SuperNatural:(SN00399510);ZINC bio:(ZINC01637972 ZINC01888739);additional;MeSH:(79101 3013625 23423004);PubMed;NORMAN:(NS00014843);COCONUT:(CNP0295271);Natural Products:(UNPD51137);PubChem:(79101 449546 3013625 6993386 23423004 37888688 44369312 59116152 78184550 101707510);CHEBI:(70744 73779);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-10814);KEGG Mine	8677812334	171.077	182.796	2229_CARA_HILIC_neg_SIRIUS_charge0_removed_2314
7106	2	3		-197.812	0.506	7.001	C15H26N4O7	[M - H2O - H]-	YUVFBTHLNJXMFM	InChI=1S/C15H26N4O7/c1-8(2)12(15(26)16-4-5-20)19-14(25)11(7-22)18-13(24)10(6-21)17-9(3)23/h5,8,10-12,21-22H,4,6-7H2,1-3H3,(H,16,26)(H,17,23)(H,18,24)(H,19,25)		CC(C)C(C(=O)NCC=O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C	-2.73	123131786	PubChem:(123131786);PubChem class - bio and metabolites	16777218	355.161	165.072	2980_CARA_HILIC_neg_SIRIUS_charge0_removed_7106
5517	3	4		-231.943	0.978	26.976	C21H33N3O5	[M - H]-	UCNNZELZXFXXJQ	InChI=1S/C21H33N3O5/c1-12(2)9-16(22)19(26)23-17(10-13(3)4)20(27)24-18(21(28)29)11-14-5-7-15(25)8-6-14/h5-8,12-13,16-18,25H,9-11,22H2,1-4H3,(H,23,26)(H,24,27)(H,28,29)	Leucyl-leucyl-tyrosine	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	2.001	88513;4584009;7098697;92223595;92223596;101228394;125037633;125037634	COCONUT:(CNP0214733);PubChem:(88513 4584009 7098697 92223595 92223596 101228394 125037633 125037634);CHEBI:(6415);ZINC bio:(ZINC04099087);additional;MeSH:(88513);KEGG:(C11331);Training Set;PubMed	2646374	406.235	82.91	3813_CARA_HILIC_neg_SIRIUS_charge0_removed_5517
4801	1	3		-623.809	0.215	15.223	C31H48N2O5	[M + Br]-	RSJZGHMWWMJFSW	InChI=1S/C31H48N2O5/c1-4-5-6-7-8-9-10-11-12-13-21-37-22-15-20-32-30(35)27-19-18-25-26(29(27)34)16-14-17-28(25)33-31(36)38-23-24(2)3/h14,16-19,24,34H,4-13,15,20-23H2,1-3H3,(H,32,35)(H,33,36)	2-methylpropyl N-[6-(3-dodecoxypropylcarbamoyl)-5-hydroxynaphthalen-1-yl]carbamate	CCCCCCCCCCCCOCCCNC(=O)C1=C(C2=C(C=C1)C(=CC=C2)NC(=O)OCC(C)C)O	9.3	11763158	NORMAN:(NS00004713);PubChem class - safety and toxic;PubChem:(11763158)	67371010	607.273	90.875	3231_CARA_HILIC_neg_SIRIUS_charge0_removed_4801
3685	3	4		-315.578	0.893	27.212	C41H64O15	[M - H4O2 - H]-	AASCKLXRKILUGL	InChI=1S/C41H64O15/c1-18-36(48)26(42)13-33(51-18)55-38-20(3)53-34(15-28(38)44)56-37-19(2)52-32(14-27(37)43)54-23-8-9-39(4)22(11-23)6-7-24-25(39)12-30(46)40(5)35(21-10-31(47)50-17-21)29(45)16-41(24,40)49/h10,18-20,22-30,32-38,42-46,48-49H,6-9,11-17H2,1-5H3	Diginatin	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CC(C7C8=CC(=O)OC8)O)O)C)O)C)C)C)O)O	2.396	103663;441855;11972336;10463032;76317010	COCONUT:(CNP0242430);KNApSAcK:(3615);Natural Products:(UNPD145142);PubChem:(103663 441855 11972336 10463032 76317010);SuperNatural:(SN00403065);CHEBI:(27614);KEGG:(C08861);PubChem class - safety and toxic;PubMed	70287730	759.402	102.226	177_CARA_HILIC_neg_SIRIUS_charge0_removed_3685
