#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	fdr	tags	internalFilename
26671	M+Na	1217458586	1	13(S)-HODE-biotin	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf26671	N/A	N/A	IT-FT/ion trap with FTMS	Positive	ESI	559.329	lib-00003.mgf	Bronze	3	0.500088	1455.14	0.813904	1	NIST14	NIST	559.329	N/A	104.743	4	N/A	1	558.515	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000232831	2194	UPDATE-SINGLE-ANNOTATED-BRONZE	0.268853243955	 	spec-00000.mgf
5854	M+Na	50033	1	Hydrocortisone 21-acetate	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf5854	N/A	N/A	IT/ion trap	Positive	ESI	427.209	lib-00003.mgf	Bronze	3	0.500506	1959.96	0.837311	1	NIST14	NIST	427.209	N/A	64.41	3	N/A	1	426.372	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000349460	4026	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
5449	M+H-H2O	N/A	1	15(R),19(R)-Hydroxyprostaglandin E1	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf5449	N/A	N/A	HCD	Positive	ESI	353.232	lib-00003.mgf	Bronze	3	0.500147	2583.56	0.912598	1	NIST14	NIST	353.232	N/A	109.772	7	N/A	1	352.319	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000235532	729	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
492	[M+H]+	165450-17-9	1	Massbank:EA281510 Neotame| (3S)-3-(3,3-dimethylbutylamino)-4-[[(2S)-1-methoxy-1-oxidanylidene-3-phenyl-propan-2-yl]amino]-4-oxidanylidene-butanoic acid	Isolated	Massbank	0.0	spectrapklbin/spec-00000.mgf492	1S/C20H30N2O5/c1-20(2,3)10-11-21-15(13-17(23)24)18(25)22-16(19(26)27-4)12-14-8-6-5-7-9-14/h5-9,15-16,21H,10-13H2,1-4H3,(H,22,25)(H,23,24)/t15-,16-/m0/s1	N/A	LC-ESI-ITFT	Positive	ESI	379.223	lib-00003.mgf	Bronze	3	0.500291	2550.46	0.967194	1	MASSBANK	Putative Massbank Match	379.223	N/A	69.588	4	CC(C)(C)CCN[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC	1	380.19	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000211384	168730	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
3309	M+H	n/a	1	NCGC00385877-01_C12H20O8_(3R)-4,4-Dimethyl-2-oxotetrahydro-3-furanyl beta-D-glucopyranoside	isolated	lfnothias	292.116	spectrapklbin/spec-00000.mgf3309	InChI=1S/C12H20O8/c1-12(2)4-18-10(17)9(12)20-11-8(16)7(15)6(14)5(3-13)19-11/h5-9,11,13-16H,3-4H2,1-2H3/t5-,6-,7+,8-,9+,11+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	293.123	lib-00003.mgf	Gold	1	0.500395	6754.78	1.97998	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	293.123	n/a	39.073	5	CC1(C)COC(=O)[C@@H]1O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	1	291.143	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000850315	5862	UPDATE-SINGLE-ANNOTATED-GOLD	0.26874251497	 	spec-00000.mgf
27847	[M-H]-	N/A	1	MoNA:101688 Phosphatidylethanolamine 17:1-22:6	isolated	MoNA	0.0	spectrapklbin/spec-00000.mgf27847	InChI=1S/C44H74NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,25,27,30-33,42H,3-4,6,8-10,12,14-16,18,20,23-24,26,28-29,34-41,45H2,1-2H3,(H,48,49)/b7-5-,13-11-,19-17-,22-21-,27-25-,32-30-,33-31-	N/A	LC-ESI-ITFT	 	LC-ESI-ITFT	774.51	lib-00003.mgf	Bronze	3	0.500541	1573.89	1.21899	1	MONA	MoNA	774.51	N/A	157.487	3	N/A	1	773.291	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000570904	6925	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
19288	M+H	N/A	1	Ptd(S)Ins-(3,4)-P2 (1,2-dioctanoyl)	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf19288	N/A	N/A	HCD	Positive	ESI	763.193	lib-00003.mgf	Bronze	3	0.500615	893.703	0.682068	1	NIST14	NIST	763.193	N/A	72.541	3	N/A	1	762.511	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000234934	4704	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
15870	M+H	N/A	1	Ptd(S)Ins-(3,4)-P2 (1,2-dioctanoyl)	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf15870	N/A	N/A	HCD	Positive	ESI	763.193	lib-00003.mgf	Bronze	3	0.500615	874.509	0.667419	1	NIST14	NIST	763.193	N/A	78.498	3	N/A	1	762.526	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000234934	4704	UPDATE-SINGLE-ANNOTATED-BRONZE	0.26874251497	 	spec-00000.mgf
11144	M-H	N/A	1	PE(18:1/19:0); [M-H]- C42H81N1O8P1	Commercial	Thomas Metz	0.0	spectrapklbin/spec-00000.mgf11144	N/A	N/A	HCD; Velos	Negative	LC-ESI	759.578	lib-00003.mgf	Gold	1	0.500385	1433.19	1.08862	1	PNNL-LIPIDS-NEGATIVE	Thomas Metz	759.578	N/A	27.239	3	N/A	1	760.667	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00003109189	1270	UPDATE-SINGLE-ANNOTATED-GOLD	0.26874251497	 	spec-00000.mgf
10336	M+H	N/A	1	PyroGlu-Ala-Arg	Isolated	NIST	0.0	spectrapklbin/spec-00000.mgf10336	N/A	N/A	QqQ	Positive	ESI	357.188	lib-00003.mgf	Bronze	3	0.500916	1.96508	0.000701904	1	NIST14	NIST	357.188	N/A	160.405	3	N/A	1	357.187	CARA_HILIC_pos_GNPS.mgf	CCMSLIB00000380495	133	UPDATE-SINGLE-ANNOTATED-BRONZE	0.268731988473	 	spec-00000.mgf
