shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
16471	C18H31NO	[M + H]+	1.0	365.228	55	0.984	4043_CARA_HILIC_pos_SIRIUS_merge_16471	0.212	14.877
7	C13H22O2	[M + H3N + H]+	1.0	328.799	51	0.919	4767_CARA_HILIC_pos_SIRIUS_merge_7	-2.653	15.628
9	C13H25NO3	[M - H2O + H]+	1.0	330.518	51	0.744	4986_CARA_HILIC_pos_SIRIUS_merge_9	-79630.507	17.333
22133	C20H36N4O	[M + H3N + H]+	1.0	264.563	44	0.737	6509_CARA_HILIC_pos_SIRIUS_merge_22133	5.358	5.682
4140	C17H38BN3O5	[M - H2O + H]+	1.0	263.81	55	0.968	3208_CARA_HILIC_pos_SIRIUS_merge_4140	-50414.86	7.255
292	C13H20O3	[M + H3N + H]+	1.0	247.157	49	0.953	3569_CARA_HILIC_pos_SIRIUS_merge_292	-6.896	10.561
7828	C11H16O2	[M + H3N + H]+	1.0	242.323	45	0.971	3847_CARA_HILIC_pos_SIRIUS_merge_7828	-2.298	4.117
5847	C11H16O2	[M + H3N + H]+	1.0	240.17	44	0.968	2162_CARA_HILIC_pos_SIRIUS_merge_5847	-3.307	3.88
183	C11H16O2	[M + H3N + H]+	1.0	237.343	46	0.94	3978_CARA_HILIC_pos_SIRIUS_merge_183	3.254	4.749
7844	C18H30O2	[M + H3N + H]+	1.0	230.592	39	0.667	3641_CARA_HILIC_pos_SIRIUS_merge_7844	-8.796	8.522
175	C11H16O2	[M + H3N + H]+	1.0	221.007	43	0.948	6230_CARA_HILIC_pos_SIRIUS_merge_175	-2.298	5.264
49	C13H24O4	[M - H4O2 + H]+	1.0	217.588	45	0.888	1902_CARA_HILIC_pos_SIRIUS_merge_49	-172230.646	6.137
23726	C13H20O4	[M + H3N + H]+	1.0	215.267	45	0.942	58_CARA_HILIC_pos_SIRIUS_merge_23726	-1.877	5.108
297	C24H47NO	[M + H]+	1.0	212.525	43	0.658	3233_CARA_HILIC_pos_SIRIUS_merge_297	-2.57	4.849
362	C12H23NO3	[M - H2O + H]+	1.0	211.22	30	0.629	4835_CARA_HILIC_pos_SIRIUS_merge_362	-84887.604	16.178
2143	C13H22O3	[M + H3N + H]+	1.0	206.09	53	1.0	3046_CARA_HILIC_pos_SIRIUS_merge_2143	-2.539	5.914
187	C15H24O2	[M + H3N + H]+	1.0	209.081	49	0.949	4310_CARA_HILIC_pos_SIRIUS_merge_187	-6.119	5.064
35	C13H22O3	[M + H3N + H]+	1.0	204.251	51	0.992	1616_CARA_HILIC_pos_SIRIUS_merge_35	-1.72	3.096
2130	C18H33NO	[M + H]+	1.0	202.254	33	0.597	4721_CARA_HILIC_pos_SIRIUS_merge_2130	-5.32	6.611
16	C13H22O3	[M + H3N + H]+	1.0	198.159	51	0.998	2600_CARA_HILIC_pos_SIRIUS_merge_16	-1.72	3.096
2954	C18H32O2	[M + H]+	1.0	192.405	38	0.784	3101_CARA_HILIC_pos_SIRIUS_merge_2954	-4.291	4.28
23708	C14H31N5O2	[M + Na]+	1.0	195.001	40	0.587	6418_CARA_HILIC_pos_SIRIUS_merge_23708	1.555	4.832
216	C11H18O3	[M + H3N + H]+	1.0	184.622	41	0.981	5721_CARA_HILIC_pos_SIRIUS_merge_216	-3.793	6.415
659	C22H43NO	[M + H]+	1.0	179.215	35	0.684	908_CARA_HILIC_pos_SIRIUS_merge_659	-2.783	6.354
257	C12H24O3	[M - H4O2 + H]+	1.0	183.715	38	0.896	1709_CARA_HILIC_pos_SIRIUS_merge_257	-198845.982	7.93
99	C14H18O4	[M + H]+	1.0	183.218	33	0.56	3272_CARA_HILIC_pos_SIRIUS_merge_99	-3.128	9.648
26	C13H25NO3	[M - H2O + H]+	1.0	179.818	46	0.934	3_CARA_HILIC_pos_SIRIUS_merge_26	-79630.984	4.285
1769	C21H38O4	[M + H]+	1.0	175.097	46	0.921	1445_CARA_HILIC_pos_SIRIUS_merge_1769	-1.368	8.807
67	C13H24O3	[M - H2O + H]+	1.0	179.976	39	0.789	6144_CARA_HILIC_pos_SIRIUS_merge_67	-85295.14	6.868
1751	C20H36O2	[M + H]+	1.0	172.138	44	0.861	2619_CARA_HILIC_pos_SIRIUS_merge_1751	-2.609	6.0
142	C20H43NO	[M + Na]+	1.0	174.329	39	0.729	1618_CARA_HILIC_pos_SIRIUS_merge_142	-2.336	5.568
