Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
3	0.169	0.232	0.827
4	0.959	0.613	0.734
5	0.705	0.584	0.178
6	0.617	0.631	0.279
7	0.868	0.715	0.284
8	0.777	0.564	0.22
9	0.74	0.718	0.392
10	0.637	0.632	0.387
11	0.7	0.541	0.143
12	0.737	0.508	0.147
13	0.846	0.919	0.572
14	0.586	0.977	0.224
16	0.094	0.124	0.448
17	0.929	0.838	0.145
19	0.954	0.676	0.159
20	0.62	0.502	0.234
21	0.939	0.85	0.052
22	0.976	0.862	0.688
25	0.407	0.195	0.161
26	0.591	0.292	0.475
27	0.801	0.565	0.79
28	0.917	0.608	0.145
29	0.594	0.892	0.897
31	0.966	0.816	0.522
32	0.872	0.86	0.82
33	0.399	0.819	0.983
34	0.481	0.323	0.921
35	0.558	0.351	0.442
36	0.641	0.723	0.352
37	0.882	0.898	0.361
38	0.466	0.73	0.153
39	0.666	0.567	0.195
40	0.993	0.768	0.375
41	0.168	0.251	0.513
42	0.725	0.776	0.78
44	0.063	0.094	0.358
45	0.826	0.541	0.088
46	0.993	0.548	0.922
47	0.854	0.797	0.286
48	0.372	0.221	0.835
49	0.654	0.747	0.216
50	0.85	0.99	0.997
51	0.824	0.933	0.005
52	0.361	0.101	0.809
53	0.791	0.9	0.655
55	0.736	0.427	0.106
56	0.792	0.902	0.235
57	0.932	0.656	0.197
58	0.57	0.33	0.529
59	0.657	0.925	0.695
60	0.125	0.46	0.26
61	0.356	0.691	0.117
62	0.688	0.66	0.299
63	0.386	0.602	0.968
64	0.4	0.5	0.056
65	0.016	0	0.333
67	0.364	0.239	0.075
68	0.668	0.69	0.141
70	0.724	0.807	0.885
71	0.282	0.623	0.745
72	0.545	0.802	0.959
73	0.392	0.325	0.568
74	0.818	0.968	0.952
75	0.526	0.932	0.154
76	0.879	0.625	0.053
77	0.502	0.269	0.165
78	0.955	0.555	0.122
79	0.505	0.124	0.985
80	0.929	0.981	0.672
83	0.829	0.444	0.298
84	0.52	0.84	0.338
85	0.648	0.99	0.731
86	0.407	0.23	0.37
87	0.46	0.744	0.251
88	0.795	0.852	0.759
89	0.296	0.125	0.852
90	0.614	0.235	0.285
93	0.635	0.449	0.18
94	0.405	0.667	0.587
95	0.62	0.809	0.027
96	0.434	0.325	0.255
97	0.757	0.933	0.145
99	0.134	0.083	0.127
100	0.471	0.437	0.832
103	0.719	0.34	0.709
104	0.209	0.019	0.988
105	0.863	0.875	0.627
107	0.866	0.561	0.192
109	0.028	0.03	0.528
110	0.948	0.486	0.893
111	0.899	0.3	0.16
112	0.796	0.929	0.856
113	0.134	0.059	0.323
114	0.264	0.97	0.33
115	0.026	0.058	0.754
116	0.963	0.595	0.662
118	0.579	0.688	0.024
119	0.575	0.816	0.136
120	0.48	0.145	0.96
121	0.87	0.663	0.438
122	0.916	0.847	0.934
123	0.727	0.585	0.357
124	0.114	0.271	0.241
125	0.721	0.649	0.554
126	0.657	0.808	0.439
128	0.589	0.293	0.116
129	0.733	0.657	0.458
130	0.412	0.413	0.75
132	0.912	0.535	0.995
134	0.215	0.368	0.375
135	0.036	0.08	0.808
137	0.795	0.641	0.232
139	0.021	0.213	0.406
140	0.464	0.773	0.24
141	0.574	0.536	0.056
142	0.834	0.87	0.94
143	0.942	0.541	0.823
145	0.157	0.398	0.158
147	0.054	0.115	0.188
148	0.604	0.61	0.089
149	0.615	0.618	0.083
150	0.44	0.898	0.898
151	0.638	0.603	0.775
152	0.347	0.713	0.362
154	0.162	0.367	0.9
155	0.826	0.997	0.729
156	0.684	0.47	0.61
157	0.24	0.158	0.779
158	0.402	0.705	0.948
161	0.863	0.844	0.36
162	0.539	0.638	0.601
165	0.692	0.611	0.257
166	0.894	0.63	0.932
167	0.596	0.913	0.801
168	0.278	0.698	0.711
172	0.952	0.975	0.242
174	0.971	0.751	0.609
175	0.73	0.984	0.09
176	0.679	0.858	0.102
179	0.594	0.459	0.086
180	0.938	0.95	0.835
182	0.577	0.485	0.974
183	0.016	0.005	0.691
184	0.713	0.846	0.583
186	0.062	0.019	0.148
187	0.395	0.656	0.621
190	0.633	0.359	0.371
191	0.27	0.315	0.867
193	0.619	0.437	0.711
194	0.826	0.868	0.037
195	0.928	0.948	0.513
196	0.838	0.59	0.281
197	0.053	0.272	0.798
198	0.735	0.39	0.179
199	0.271	0.434	0.442
200	0.373	0.197	0.92
201	0.892	0.857	0.267
202	0.996	0.906	0.05
203	0.092	0.104	0.416
204	0.897	0.787	0.059
205	0.924	0.956	0.849
207	0.249	0.219	0.81
208	0.305	0.423	0.405
209	0.61	0.452	0.924
210	0.592	0.757	0.423
211	0.978	0.563	0.91
212	0.402	0.314	0.006
213	0.213	0.807	0.747
215	0.937	0.743	0.402
216	0.825	0.618	0.88
217	0.515	0.545	0.639
219	0.909	0.847	0.264
220	0.958	0.357	0.522
222	0.127	0.44	0.251
223	0.916	0.951	0.133
224	0.266	0.129	0.049
225	0.646	0.575	0.267
226	0.326	0.111	0.423
228	0.535	0.675	0.055
229	0.39	0.581	0.493
230	0.538	0.565	0.205
231	0.724	0.655	0.629
232	0.001	0.016	0.275
233	0.978	0.295	0.636
234	0.114	0.485	0.268
235	0.774	0.637	0.462
238	0.71	0.864	0.115
239	0.495	0.073	0.666
240	0.767	0.974	0.675
241	0.938	0.408	0.407
242	0.424	0.524	0.784
244	0.47	0.817	0.41
245	0.374	0.59	0.264
246	0.158	0.29	0.188
249	0.069	0.209	0.527
250	0.692	0.903	0.101
251	0.69	0.865	0.763
253	0.273	0.654	0.156
255	0.94	0.504	0.812
256	0.361	0.113	0.878
257	0.12	0.808	0.746
258	0.858	0.666	0.62
259	0.684	0.609	0.891
260	0.172	0.147	0.042
262	0.381	0.364	0.833
264	0.593	0.368	0.629
265	0.045	0.203	0.993
266	0.935	0.803	0.885
267	0.225	0.437	0.283
269	0.592	0.431	0.676
270	0.985	0.84	0.96
271	0.01	0.012	0.323
272	0.955	0.324	0.323
273	0.302	0.39	0.078
274	0.779	0.47	0.244
275	0.355	0.272	0.726
277	0.69	0.624	0.406
278	0.856	0.39	0.411
279	0.496	0.393	0.986
281	0.594	0.74	0.664
282	0.125	0.096	0.052
283	0.006	0.001	0.882
284	0.026	0.012	0.166
285	0.642	0.386	0.206
286	0.993	0.777	0.96
287	0.186	0.051	0.477
288	0.585	0.806	0.22
290	0.443	0.666	0.126
291	0.526	0.483	0.079
292	0.326	0.547	0.809
293	0.58	0.352	0.116
295	0.784	0.886	0.906
296	0.701	0.799	0.854
297	0.46	0.147	0.359
298	0.715	0.423	0.46
299	0.293	0.198	0.246
300	0.947	0.941	0.804
301	0.823	0.589	0.163
302	0.769	0.623	0.573
303	0.087	0.097	0.106
304	0.588	0.386	0.379
305	0.695	0.618	0.684
306	0.965	0.828	0.323
307	0.101	0.223	0.014
308	0.864	0.981	0.334
309	0.893	0.511	0.342
310	0.568	0.947	0.996
311	0.381	0.824	0.018
312	0.267	0.529	0.427
313	0.528	0.99	0.683
314	0.365	0.27	0.311
316	0.026	0.039	0.674
318	0.651	0.416	0.045
319	0.701	0.631	0.237
320	0.473	0.684	0.87
321	0.29	0.682	0.238
322	0.937	0.295	0.554
323	0.697	0.684	0.447
324	0.298	0.022	0.74
328	0.987	0.724	0.328
329	0.472	0.294	0.763
330	0.071	0.265	0.066
333	0.135	0.478	0.292
334	0.811	0.395	0.535
335	0.412	0.131	0.232
336	0.466	0.37	0.832
337	0.96	0.711	0.135
338	0.09	0.113	0.436
339	0.102	0.007	0.43
341	0.762	0.984	0.443
342	0.025	0.309	0.392
343	0.713	0.786	0.054
344	0.445	0.363	0.577
346	0.517	0.994	0.345
347	0.815	0.892	0.234
348	0.551	0.437	0.259
349	0.526	0.958	0.246
350	0.44	0.267	0.88
351	0.815	0.878	0.305
352	0.38	0.933	0.408
353	0.353	0.838	0.706
354	0.63	0.831	0.482
355	0.01	0.001	0.288
356	0.392	0.643	0.203
357	0.707	0.903	0.075
358	0.512	0.166	0.207
359	0.003	0.014	0.143
360	0.27	0.201	0.785
364	0.486	0.23	0.96
365	0.003	0.003	0.949
366	0.652	0.966	0.139
367	0.724	0.973	0.028
368	0.656	0.866	0.59
369	0.761	0.963	0.986
370	0.545	0.496	0.455
371	0.522	0.098	0.568
372	0.901	0.885	0.492
373	0.462	0.734	0.319
374	0.755	0.402	0.332
375	0.686	0.838	0.97
376	0.448	0.667	0.938
377	0.967	0.921	0.067
378	0.68	0.431	0.121
379	0.945	0.756	0.908
380	0.355	0.231	0.807
381	0.949	0.954	0.025
382	0.139	0.421	0.408
383	0.765	0.875	0.841
385	0.733	0.833	0.974
386	0.35	0.222	0.64
390	0.514	0.741	0.154
391	0.528	0.465	0.263
392	0.851	0.78	0.414
394	0.243	0.948	0.496
396	0.804	0.256	0.139
397	0.293	0.5	0.254
399	0.897	0.989	0.591
400	0.759	0.569	0.127
401	0.526	0.53	0.301
402	0.96	0.787	0.721
403	0.104	0.056	0.111
404	0.115	0.112	0.727
405	0.705	0.447	0.947
406	0.728	0.93	0.92
408	0.703	0.966	0.318
410	0.156	0.562	0.116
411	0.544	0.715	0.237
412	0.544	0.871	0.789
413	0.962	0.622	0.726
414	0.599	0.954	0.978
416	0.538	0.408	0.536
418	0.114	0.279	0.15
419	0.261	0.074	0.773
420	0.35	0.113	0.441
421	0.239	0.335	0.174
422	0.437	0.625	0.268
423	0.827	0.7	0.216
424	0.214	0.167	0.677
425	0.574	0.745	0.344
426	0.98	0.568	0.064
427	0.581	0.714	0.534
428	0.664	0.941	0.775
429	0.515	0.146	0.853
430	0.205	0.349	0.954
431	0.398	0.79	0.159
432	0.807	0.866	0.15
433	0.691	0.238	0.151
434	0.664	0.504	0.356
435	0.829	0.553	0.198
436	0.597	0.471	0.799
437	0.449	0.882	0.012
439	0.331	0.522	0.905
440	0.448	0.366	0.962
442	0.318	0.088	0.721
443	0.239	0.561	0.029
445	0.13	0.261	0.137
446	0.988	0.586	0.516
448	0.977	0.255	0.441
449	0.189	0.487	0.393
450	0.981	0.795	0.056
453	0.71	0.373	0.248
456	0.857	0.804	0.604
457	0.582	0.732	0.123
458	0.342	0.096	0.681
459	0.279	0.313	0.495
460	0.395	0.84	0.806
463	0.838	0.744	0.178
464	0.55	0.196	0.182
465	0.213	0.13	0.591
467	0.473	0.499	0.778
468	0.996	0.576	0.503
469	0.849	0.771	0.59
471	0.503	0.661	0.835
472	0.445	0.119	0.688
474	0.709	0.482	0.949
475	0.335	0.273	0.053
476	0.444	0.095	0.463
478	0.772	0.84	0.263
479	0.557	0.473	0.078
480	0.4	0.713	0.533
481	0.405	0.859	0.548
482	0.723	0.509	0.397
483	0.892	0.982	0.979
484	0.615	0.649	0.478
485	0.631	0.636	0.887
486	0.702	0.602	0.723
488	0.235	0.272	0.975
489	0.81	0.505	0.108
490	0.607	0.102	0.683
491	0.882	0.6	0.701
494	0.364	0.276	0.764
495	0.096	0.545	0.051
497	0.814	0.819	0.095
498	0.089	0.447	0.598
499	0.99	0.955	0.327
500	0.221	0.148	0.06
501	0.838	0.557	0.18
502	0.21	0.115	0.638
504	0.723	0.133	0.543
505	0.57	0.495	0.882
507	0.433	0.195	0.542
509	0.593	0.374	0.765
510	0.871	0.479	0.214
511	0.214	0.325	0.915
512	0.605	0.869	0.549
514	0.117	0.933	0.248
515	0.985	0.992	0.088
516	0.844	0.74	0.401
517	0.919	0.7	0.245
520	0.794	0.733	0.416
521	0.301	0.418	0.254
523	0.621	0.43	0.66
524	0.414	0.111	0.978
525	0.242	0.149	0.391
526	0.995	0.988	0.267
527	0.872	0.934	0.507
528	0.766	0.853	0.093
529	0.543	0.762	0.955
530	0.204	0.212	0.518
531	0.42	0.436	0.242
533	0.684	0.229	0.637
535	0.54	0.864	0.922
537	0.822	0.998	0.314
538	0.694	0.479	0.873
539	0.711	0.626	0.499
540	0.384	0.974	0.817
541	0.8	0.991	0.163
542	0.337	0.431	0.233
544	0.89	0.437	0.987
547	0.835	0.741	0.401
548	0.767	0.21	0.85
550	0.3	0.401	0.713
551	0.7	0.972	0.807
552	0.505	0.885	0.667
553	0.4	0.29	0.619
554	0.986	0.98	0.597
555	0.497	0.823	0.479
556	0.208	0.079	0.343
557	0.01	0.019	0.93
558	0.027	0.034	0.371
559	0.764	0.584	0.369
560	0.46	0.285	0.255
561	0.181	0.123	0.054
562	0.768	0.724	0.146
563	0.276	0.063	0.936
564	0.495	0.067	0.192
565	0.016	0.036	0.006
566	0.661	0.317	0.668
567	0.676	0.485	0.665
568	0.456	0.682	0.288
569	0.029	0.028	0.985
570	0.468	0.257	0.841
571	0.047	0.044	0.26
572	0.471	0.323	0.155
573	0.484	0.504	0.032
574	0.975	0.436	0.929
576	0.575	0.334	0.079
577	0.105	0.066	0.893
578	0.135	0.591	0.709
579	0.685	0.316	0.565
582	0.928	0.352	0.355
583	0.337	0.477	0.979
584	0.816	0.653	0.16
585	0.118	0.279	0.962
586	0.553	0.756	0.752
587	0.339	0.66	0.306
588	0.628	0.947	0.951
589	0.308	0.516	0.697
590	0.869	0.89	0.091
591	0.498	0.172	0.8
592	0.995	0.495	0.865
594	0.491	0.706	0.67
595	0.81	0.896	0.165
596	0.516	0.119	0.532
598	0.864	0.613	0.188
599	0.737	0.171	0.784
601	0.014	0.174	0.372
603	0.33	0.074	0.716
604	0.336	0.344	0.893
605	0.851	0.947	0.425
606	0.574	0.983	0.321
607	0.676	0.098	0.729
608	0.386	0.736	0.584
609	0.539	0.972	0.66
612	0.274	0.251	0.574
613	0.251	0.498	0.626
614	0.281	0.075	0.557
615	0.655	0.528	0.854
617	0.108	0.122	0.388
618	0.838	0.96	0.574
619	0.957	0.849	0.227
620	0.194	0.242	0.494
621	0.928	0.997	0.512
623	0.174	0.998	0.256
626	0.439	0.533	0.818
628	0.823	0.97	0.423
629	0.48	0.377	0.902
630	0.802	0.47	0.79
632	0.532	0.987	0.074
633	0.841	0.779	0.553
635	0.379	0.148	0.229
636	0.868	0.775	0.78
638	0.285	0.772	0.833
639	0.766	0.903	0.899
640	0.61	0.452	0.035
642	0.236	0.109	0.379
643	0.911	0.894	0.091
644	0.167	0.014	0.95
645	0.922	0.538	0.321
646	0.88	0.965	0.84
647	0.853	0.534	0.186
648	0.817	0.301	0.943
649	0.392	0.594	0.323
650	0.962	0.352	0.377
651	0.003	0.018	0.014
652	0.52	0.731	0.299
653	0.986	0.294	0.087
655	0.408	0.185	0.028
657	0.992	0.666	0.636
658	0.049	0.027	0.565
659	0.31	0.57	0.05
660	0.708	0.733	0.607
662	0.344	0.718	0.557
663	0.036	0.126	0.822
665	0.836	0.384	0.133
666	0.46	0.951	0.54
667	0.677	0.372	0.067
669	0.915	0.783	0.769
670	0.906	0.567	0.117
672	0.896	0.095	0.936
673	0.842	0.802	0.924
675	0.771	0.749	0.113
676	0.86	0.811	0.088
678	0.651	0.128	0.974
680	0.309	0.118	0.565
681	0.462	0.082	0.372
682	0.881	0.916	0.41
683	0.016	0.029	0.158
684	0.307	0.395	0.217
685	0.847	0.224	0.129
686	0.112	0.018	0.705
687	0.407	0.64	0.968
688	0.665	0.559	0.991
689	0.248	0.44	0.351
690	0.105	0.025	0.591
691	0.326	0.194	0.72
692	0.741	0.353	0.614
696	0.971	0.578	0.91
698	0.6	0.69	0.331
699	0.544	0.979	0.215
700	0.527	0.825	0.915
701	0.303	0.295	0.856
703	0.507	0.192	0.244
704	0.739	0.233	0.404
705	0.7	0.651	0.776
706	0.702	0.461	0.721
707	0.002	0.029	0.109
708	0.437	0.964	0.252
710	0.911	0.963	0.415
711	0.164	0.447	0.955
712	0.902	0.932	0.318
713	0.771	0.853	0.097
714	0.82	0.305	0.134
715	0.032	0.005	0.001
716	NaN		
717	0.918	0.886	0.498
