Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
6	0.727	0.957	0.049
8	0.716	0.686	0.007
14	0.386	0.779	0.146
19	0.199	0.085	0.01
22	0.639	0.355	0.379
23	0.951	0.381	0.39
29	0.234	0.108	0.016
31	0.217	0.095	0.014
36	0.203	0.103	0.013
38	0.387	0.737	0.25
42	0.504	0.718	0.392
51	0.628	0.126	0.105
52	0.642	0.54	0.149
54	0.491	0.702	0.056
65	0.182	0.074	0.008
70	0.557	0.351	0.308
71	0.71	0.154	0.104
72	0.496	0.98	0.513
81	0.843	0.763	0.423
86	0.187	0.075	0.01
90	0.247	0.487	0.09
97	0.664	0.584	0.005
101	0.115	0.493	0.03
103	0.994	0.427	0.423
104	0.575	0.477	0.04
105	0.756	0.169	0.103
106	0.891	0.658	0.608
108	0.949	0.892	0.042
116	0.311	0.783	0.041
120	0.852	0.841	0.346
127	0.669	0.884	0.022
131	0.641	0.429	0.209
132	0.474	0.578	0.656
138	0.426	0.855	0.013
140	0.73	0.727	0.106
141	0.779	0.612	0.277
144	0.17	0.059	0.007
147	0.531	0.388	0.657
150	0.808	0.361	0.431
151	0.186	0.5	0.036
153	0.182	0.815	0.043
162	0.501	0.55	0.627
164	0.891	0.246	0.648
171	0.228	0.359	0.065
172	0.776	0.661	0.683
174	0.584	0.306	0.663
176	0.102	0.092	0.624
181	0.131	0.277	0.189
182	0.242	0.501	0.282
188	0.24	0.433	0.118
191	0.644	0.663	0.218
196	0.639	0.768	0.07
201	0.658	0.855	0.768
205	0.508	0.658	0.392
214	0.42	0.524	0.143
215	0.656	0.175	0.114
218	0.256	0.418	0.304
221	0.573	0.21	0.145
222	0.954	0.942	0.078
225	0.97	0.95	0.818
234	0.695	0.64	0.374
237	0.296	0.16	0.233
246	0.419	0.297	0.536
250	0.722	0.863	0.549
251	0.074	0.334	0.038
261	0.08	0.003	0.465
276	0.94	0.887	0.86
278	0.05	0.074	0.278
280	0.664	0.417	0.775
285	0.774	0.69	0.644
289	0.022	0.031	0.036
290	0.423	0.76	0.477
293	0.481	0.524	0.759
299	0.126	0.353	0.024
300	0.463	0.321	0.753
302	0.727	0.712	0.816
305	0.062	0.091	0.8
307	0.868	0.921	0.719
308	0.029	0.062	0.561
310	0.743	0.896	0.407
313	0.134	0.329	0.062
315	0.941	0.614	0.392
330	0.978	0.643	0.058
334	0.761	0.932	0.416
336	0.022	0.122	0.324
343	0.37	0.194	0.04
345	0.714	0.563	0.042
346	0.44	0.222	0.873
352	0.524	0.48	0.146
353	0.293	0.225	0.134
356	0.566	0.817	0.491
360	0.011	0.064	0.713
361	0.878	0.763	0.738
363	0.748	0.977	0.104
368	0.328	0.557	0.49
370	0.682	0.677	0.172
371	0.007	0.06	0.524
372	0.255	0.538	0.563
375	0.165	0.673	0.914
385	0.493	0.358	0.268
390	0.569	0.641	0.491
396	0.198	0.259	0.328
397	0.94	0.56	0.945
399	0.953	0.451	0.051
411	0.784	0.947	0.837
412	0.081	0.04	0.184
414	0.881	0.868	0.024
428	0.643	0.82	0.979
439	0.855	0.994	0.631
442	0.669	0.329	0.445
447	0.624	0.925	0.263
449	0.775	0.188	0.497
451	0.912	0.224	0.936
453	0.864	0.552	0.636
456	0.966	0.431	0.904
458	0.097	0.261	0.042
462	0.366	0.541	0.059
463	0.221	0.744	0.55
465	0.759	0.894	0.29
468	0.555	0.127	0.494
472	0.411	0.498	0.009
473	0.179	0.259	0.019
476	0.918	0.743	0.426
478	0.709	0.928	0.696
479	0.47	0.999	0.158
486	0.365	0.418	0.459
487	0.92	0.519	0.668
488	0.397	0.952	0.89
491	0.08	0.413	0.019
492	0.173	0.106	0.239
495	0.111	0.012	0.392
500	0.385	0.224	0.263
501	0.644	0.981	0.153
502	0.438	0.785	0.095
506	0.023	0.263	0.023
508	0.791	0.767	0.156
509	0.88	0.901	0.295
512	0.111	0.066	0.633
514	0.126	0.237	0.803
516	0.818	0.725	0.55
518	0.252	0.138	0.115
524	0.146	0.53	0.245
526	0.861	0.146	0.263
530	0.657	0.607	0.956
532	0.507	0.722	0.074
534	0.09	0.097	0.125
538	0.637	0.958	0.177
539	0.383	0.449	0.514
540	0.109	0.034	0.2
542	0.203	0.23	0.795
543	0.105	0.526	0.428
545	0.019	0.363	0.654
548	0.93	0.857	0.063
549	0.049	0.052	0.068
552	0.326	0.373	0.396
555	0.618	0.379	0.3
559	0.978	0.895	0.68
560	0.234	0.138	0.087
573	0.246	0.335	0.394
580	0.487	0.459	0.219
584	0.326	0.639	0.097
589	0.306	0.496	0.319
591	0.371	0.184	0.211
594	0.181	0.039	0.111
599	0.443	0.581	0.512
600	0.336	0.983	0.165
601	0.712	0.425	0.073
605	0.08	0.045	0.08
606	0.758	0.821	0.014
609	0.727	0.35	0.799
611	0.228	0.242	0.447
612	0.839	0.408	0.008
615	0.444	0.731	0.117
622	0.256	0.44	0.443
638	0.222	0.121	0.016
639	0.798	0.547	0.721
642	0.168	0.242	0.007
649	0.524	0.722	0.443
651	0.875	0.922	0.694
656	0.459	0.618	0.026
658	0.666	0.761	0.892
664	0.417	0.591	0.057
666	0.596	0.085	0.335
688	0.668	0.185	0.92
689	0.545	0.312	0.005
690	0.818	0.434	0.918
692	0.371	0.34	0.03
694	0.608	0.194	0.48
696	0.961	0.624	0.557
703	0.663	0.341	0.004
709	0.727	0.218	0.429
713	0.939	0.553	0.873
714	0.024	0.004	0.121
723	0.229	0.243	0.041
734	0.631	0.806	0.122
743	0.585	0.923	0.217
745	0.395	0.06	0.077
746	0.038	0.092	0.692
747	0.703	0.638	0.98
749	0.063	0.094	0.938
752	0.268	0.098	0.098
754	0.433	0.081	0.238
757	0.639	0.638	0.05
761	0.34	0.322	0.027
768	0.618	0.554	0.023
770	0.707	0.14	0.069
771	0.096	0.085	0.02
777	0.712	0.919	0.324
781	0.932	0.917	0.91
789	0.366	0.432	0.229
790	0.354	0.945	0.022
792	0.776	0.451	0.855
795	0.538	0.176	0.445
800	0.562	0.697	0.934
802	0.646	0.764	0.003
804	0.121	0.12	0.495
805	0.838	0.721	0.943
810	0.539	0.625	0.6
813	0.121	0.509	0.213
814	0.775	0.384	0.111
819	0.913	0.362	0.692
823	0.123	0.336	0.377
826	0.144	0.243	0.245
834	0.463	0.93	0.138
836	0.572	0.877	0.182
841	0.551	0.972	0.139
843	0.454	0.89	0.769
844	0.451	0.569	0.991
845	0.235	0.54	0.485
848	0.671	0.628	0.919
850	0.571	0.041	0.911
858	0.256	0.054	0.078
862	0.546	0.3	0.78
870	0.272	0.899	0.193
873	0.639	0.656	0.05
882	0.509	0.542	0.039
887	0.035	0.074	0.191
891	0.875	0.363	0.594
892	0.081	0.091	0.446
894	0.877	0.819	0.969
896	0.801	0.679	0.581
897	0.61	0.653	0.14
899	0.416	0.629	0.475
901	0.925	0.402	0.944
904	0.353	0.556	0.602
907	0.303	0.137	0.079
914	0.014	0.03	0.184
916	0.16	0.726	0.024
918	0.321	0.948	0.117
921	0.114	0.107	0.713
922	0.19	0.095	0.017
923	0.458	0.752	0.03
937	0.996	0.487	0.437
939	0.095	0.097	0.006
955	0.253	0.428	0.263
960	0.836	0.548	0.124
961	0.126	0.066	0.174
962	0.276	0.124	0.048
971	0.81	0.758	0.929
975	0.305	0.289	0.653
976	0.722	0.283	0.741
977	0.024	0.112	0.119
979	0.155	0.241	0.336
980	0.057	0.152	0.319
982	0.6	0.653	0.813
985	0.245	0.738	0.064
988	0.683	0.946	0.205
991	0.728	0.159	0.05
1002	0.805	0.609	0.935
1004	0.324	0.606	0.426
1006	0.66	0.863	0.147
1008	0.559	0.32	0.233
1013	0.415	0.072	0.078
1014	0.093	0.112	0.802
1016	0.456	0.246	0.115
1020	0.086	0.105	0.086
1023	0.727	0.701	0.113
1025	0.9	0.467	0.586
1029	0.776	0.666	0.225
1032	0.197	0.479	0.165
1044	0.584	0.352	0.546
1052	0.72	0.852	0.824
1061	0.853	0.275	0.959
1067	0.984	0.731	0.847
1070	0.705	0.894	0.409
1072	0.698	0.767	0.276
1074	0.246	0.257	0.23
1076	0.883	0.482	0.624
1078	0.293	0.953	0.927
1080	0.059	0.58	0.955
1084	0.157	0.23	0.151
1094	0.15	0.303	0.018
1101	0.8	0.808	0.481
1102	0.126	0.444	0.351
1106	0.993	0.864	0.598
1107	0.707	0.459	0.551
1111	0.864	0.581	0.901
1112	0.426	0.359	0.463
1137	0.396	0.111	0.249
1138	0.66	0.54	0.884
1147	0.277	0.172	0.414
1151	0.601	0.358	0.123
1152	0.402	0.736	0.151
1163	0.984	0.866	0.592
1185	0.024	0.032	0.521
1190	0.066	0.014	0.722
1192	0.647	0.481	0.478
1198	0.427	0.68	0.521
1199	0.92	0.75	0.124
1200	0.451	0.66	0.38
1201	0.336	0.078	0.97
1202	0.326	0.834	0.565
1203	0.483	0.874	0.728
1204	0.968	0.543	0.625
1205	0.43	0.49	0.958
1206	0.939	0.889	0.366
1207	0.772	0.934	0.653
1209	0.799	0.258	0.696
1210	0.247	0.866	0.101
1213	0.166	0.828	0.651
1214	0.151	0.885	0.65
1216	0.823	0.624	0.504
1217	0.282	0.652	0.239
1218	0.513	0.891	0.299
