shared name	MASST_PHYLA
165	Euglenozoa
498	Euglenozoa
999	Basidiomycota, Proteobacteria
1661	Actinobacteria
1697	Actinobacteria
1864	Euglenozoa
2021	Ascomycota, Basidiomycota
2035	Basidiomycota, Proteobacteria
2055	Euglenozoa
2088	Euglenozoa
2096	Basidiomycota
2291	Actinobacteria
2417	Actinobacteria, Basidiomycota, Euglenozoa, Proteobacteria
2425	Actinobacteria
2494	Actinobacteria
2517	Basidiomycota, Euglenozoa
2597	Ascomycota
3818	Actinobacteria
6242	Actinobacteria
6553	Actinobacteria, Basidiomycota
6556	Actinobacteria, Ascomycota, Basidiomycota
7384	Ascomycota, Bacillariophyta, Basidiomycota, Euglenozoa, Firmicutes, Proteobacteria
7899	Ascomycota, Basidiomycota
9122	Basidiomycota
9162	Actinobacteria
10626	Basidiomycota
