shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_most specific class	CAN_level 5	CAN_subclass	CAN_class	CAN_superclass	CAN_all classifications
6309	4761_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_6309	C37H74O3S2	[M - H2O - H]-	Fatty acids and conjugates		Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1310	979_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_1310	C32H62O5	[M - H]-	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Hydroxy fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
7537	5544_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_7537	C13H26O5	[M - H2O - H]-	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
6215	4684_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_6215	C29H10F26O4	[M + Br]-	Perfluoroalkyl carboxylic acid and derivatives	Perfluoroalkyl carboxylic acid and derivatives	Alkyl fluorides	Alkyl halides	Organohalogen compounds	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Perfluoroalkyl carboxylic acid and derivatives; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3899	3014_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_3899	C21H43NO4	[M - H2O - H]-	N-acyl-L-alpha-amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1123	810_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_1123	C44H85NO10	[M - H2O - H]-	Glycosphingolipids		Glycosphingolipids	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Glycosphingolipids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6273	4733_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_6273	C16H34N6O4	[M - H4O2 - H]-	Alpha amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Medium-chain fatty acids; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6369	4810_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_6369	C37H66O8	[M - H4O2 - H]-	Very long-chain fatty acids	Very long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Fatty alcohols; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Very long-chain fatty acids; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
7563	5561_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_7563	C39H76O10	[M - H]-	Glycosylglycerols		Glycosylglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Glycosylglycerols; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1040	733_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_1040	C20H40O3	[M - H]-	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Monosaccharides; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1544	1179_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_1544	C16H30BNO3S	[M - H2O - H]-	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Thioethers; Organometalloid compounds; Organoboron compounds; Dialkylthioethers; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
717	462_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_717	C55H106N4O5	[M - CO + CH3O2 - H]-	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrazines; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Quinoxalines; Carboxylic acid derivatives; N-acyl amines; Diazines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Diazanaphthalenes; Benzodiazines; Chemical entities
1644	1256_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_1644	C52H107NO9	[M - H4O2 - H]-	Glycosphingolipids		Glycosphingolipids	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
7667	5629_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_7667	C18H35BO2	[M + Cl]-	Beta hydroxy acids and derivatives		Beta hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organometallic compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Organoboron compounds; Organic salts; Fatty Acyls; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Chemical entities
4219	3267_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_4219	C23H42O6	[M - H4O2 - H]-	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Long-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3723	2886_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_3723	C47H91NO5	[M + Cl]-	Ceramides		Ceramides	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
7152	5357_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_7152	C25H26Cl4N2O12S2	[M - H2O - H]-	N-acyl-alpha amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Halobenzenes; Alpha amino acids and derivatives; Alcohols and polyols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Benzoic acid esters; Organochlorides; Monosaccharides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
3824	2963_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_3824	C30H63N7O3	[M + Cl]-	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4365	3361_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_4365	C50H76O10	[M - H]-	O-glycosyl compounds	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
586	353_C18_neg_6_nodupl_gapfil35_25ppm_SIRIUS_charge0_r_586	C28H21Cl4N3O16	[M + Cl]-	Dichlorobenzenes	Chlorobenzenes	Halobenzenes	Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Carboxylic acid esters; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
