rank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	4	4	N/A	-157.5402233519965	0.9999999999999999	11.993524272173616	C22H40O3	[M + H3N + H]+	ZJFCVUTYZHUNSW	InChI=1S/C22H40O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-19-21(23)25-22(20)24/h20H,2-19H2,1H3	2, dihydro-3-octadecyl-	CCCCCCCCCCCCCCCCCCC1CC(=O)OC1=O	9.10000038	96562;25022020;97292209	NORMAN:(NS00059266);PubChem class - safety and toxic;PubChem:(96562 25022020 97292209)	67371010	370.3296	108.743	421_CARA_C18_pos_SIRIUS_15547
2	3	3	N/A	-131.2592940421955	0.9989949748743718	4.316075701929628	C37H73NO5	[M - H2O + H]+	UWTLPHGXKLBELN	InChI=1S/C37H73NO5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(39)42-34-35(33-41-32-31-38)43-37(40)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h35H,3-34,38H2,1-2H3	null	CCCCCCCCCCCCCCCC(=O)OCC(COCCN)OC(=O)CCCCCCCCCCCCCCC	13.6000004	137348728	PubChem:(137348728);PubChem class - bio and metabolites	16777218	594.5437	217.966	6760_CARA_C18_pos_SIRIUS_5376
3	2	2	N/A	-175.32512638563784	0.9999999999999999	32.362141412362796	C46H93NO5	[M - H2O + H]+	PHSFNVKCRVZOMR	InChI=1S/C46H93NO5/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-29-33-37-42(49)38-34-30-28-32-36-40-45(51)47-43(41-48)46(52)44(50)39-35-31-27-25-23-21-18-16-14-12-10-8-6-4-2/h42-44,46,48-50,52H,3-41H2,1-2H3,(H,47,51)	null	CCCCCCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CO)C(C(CCCCCCCCCCCCCCCC)O)O)O	15.2824259	""	YMDB:(1110)	65536	722.6958	237.858	4329_CARA_C18_pos_SIRIUS_3220
4	1	1	N/A	-282.4352529072344	0.9999999999999999	3.486451744217372	C21H45NO2	[M - H2O + H]+	ULIKETKXKSFNTL	InChI=1S/C21H45NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22-19-21(24)20-23/h21-24H,2-20H2,1H3	3-(Octadecylamino)propane-1,2-diol	CCCCCCCCCCCCCCCCCCNCC(CO)O	7.30000019	120088;98059845;98059846	PubChem:(120088 98059845 98059846);NORMAN:(NS00051104)	262146	326.3408	46.594	2537_CARA_C18_pos_SIRIUS_21337
5	2	2	N/A	-72.82447002918742	0.9999999999999999	117.46419131208873	C31H60O2	[M + H]+	ORLIFRJRAMADMX	InChI=1S/C31H60O2/c1-3-5-7-9-11-13-15-16-17-18-19-21-23-25-27-29-31(32)33-30-28-26-24-22-20-14-12-10-8-6-4-2/h16-17H,3-15,18-30H2,1-2H3	Tridecyl oleate	CCCCCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC	13.6999998	289803;6044828;6432922	PubChem:(289803 6044828 6432922);NORMAN:(NS00059192)	262146	465.4635	264.543	7415_CARA_C18_pos_SIRIUS_115
6	3	3	N/A	-128.04956559348736	0.9487437185929649	11.936864316845003	C26H46O2	[M + H]+	JCDQIGVVGKBORW	InChI=1S/C26H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-24-21-25(27)23-26(28)22-24/h21-23,27-28H,2-20H2,1H3	5-Eicosylresorcinol	CCCCCCCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O	11.8000002	15775324	PubChem:(15775324);PubChem class - safety and toxic	67108866	391.3546	96.71	322_CARA_C18_pos_SIRIUS_23268
7	3	3	N/A	-120.48960086710106	0.9979899497487437	14.686890186461648	C34H65NO4	[M + H]+	ZVENDHUONOGBTG	InChI=1S/C34H65NO4/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-32(37)31(30-36)35-34(39)33(38)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,24,26,31-33,36-38H,3-10,12,14-23,25,27-30H2,1-2H3,(H,35,39)	null	CCCCCCCCCCCCCCC(C(=O)NC(CO)C(CC=CCCCCCC=CCCCCC)O)O	10.3175154	""	COCONUT:(CNP0337306)	2097152	552.4972	164.375	7142_CARA_C18_pos_SIRIUS_34331
8	4	2	N/A	-167.58737068578196	0.6844221105527639	19.246445916777056	C35H64O4	[M + H3N + H]+	VWBMBYMZZRYHTK	InChI=1S/C35H64O4/c1-4-35(39-3)30(2)21-19-20-24-34(38)29-33(37)23-18-16-14-12-10-8-6-5-7-9-11-13-15-17-22-31-25-27-32(36)28-26-31/h25-28,30,33-38H,4-24,29H2,1-3H3	null	CCC(C(C)CCCCC(CC(CCCCCCCCCCCCCCCCC1=CC=C(C=C1)O)O)O)OC	11.8999996	122706114	PubChem:(122706114);Biocyc:(CPD-18578 SMA-0000372 SMA-0000482);PubChem class - bio and metabolites	16779266	566.5119	119.607	4708_CARA_C18_pos_SIRIUS_2934
9	4	3	N/A	-171.05324342569398	0.7944723618090452	52.24941203983772	C25H47NO4	[M + H]+	IPOLTUVFXFHAHI	InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/p+1	Oleoylcarnitine	CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	7.19999981	166951;166952;6441392;6441393;6913361;25105266;46907933;46907934;53477837;71308876;88540521;87229191;117064252;124000062;134081805;137700546	COCONUT:(CNP0082623 CNP0175019);HMDB:(5065 6464);PubChem:(166951 166952 6441392 6441393 6913361 25105266 46907933 46907934 53477837 71308876 88540521 87229191 117064252 124000062 134081805 137700546);CHEBI:(84651 86038 72689);additional;PubChem class - bio and metabolites;MeSH:(166951 6441392 46907933);Training Set;PubMed;Biocyc:(CPD-20402)	19417198	426.3574	115.401	5338_CARA_C18_pos_SIRIUS_9389
10	2	2	N/A	-154.27745860328125	0.9959798994974873	12.063361834059489	C38H76N2O4	[M + H]+	YLWQQYRYYZPZLJ	InChI=1S/C38H76N2O4/c1-3-5-7-21-27-35(41)29-23-17-13-9-11-15-19-25-31-37(43)39-33-34-40-38(44)32-26-20-16-12-10-14-18-24-30-36(42)28-22-8-6-4-2/h35-36,41-42H,3-34H2,1-2H3,(H,39,43)(H,40,44)	N,N''-Ethylenebis(12-hydroxyoctadecanamide)	CCCCCCC(CCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCC(CCCCCC)O)O	11.8999996	61058;76955903;76955904;76955905	NORMAN:(NS00006640);PubChem class - food;PubChem class - safety and toxic;PubChem:(61058 76955903 76955904 76955905)	201588738	625.592	249.376	6920_CARA_C18_pos_SIRIUS_20934
