shared name	CSI_#adducts	CSI_#predictedFPs	CSI_ConfidenceScore	CSI_CSI:FingerIDScore	CSI_ZodiacScore	CSI_SiriusScore	CSI_molecularFormula	CSI_adduct	CSI_InChIkey2D	CSI_InChI	CSI_name	CSI_smiles	CSI_xlogp	CSI_pubchemids	CSI_links	CSI_dbflags	CSI_ionMass	CSI_retentionTimeInSeconds	CSI_id
15547	4	4		-157.54	1.0	11.994	C22H40O3	[M + H3N + H]+	ZJFCVUTYZHUNSW	InChI=1S/C22H40O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-19-21(23)25-22(20)24/h20H,2-19H2,1H3	2, dihydro-3-octadecyl-	CCCCCCCCCCCCCCCCCCC1CC(=O)OC1=O	9.1	96562;25022020;97292209	NORMAN:(NS00059266);PubChem class - safety and toxic;PubChem:(96562 25022020 97292209)	67371010	370.33	108.743	421_CARA_C18_pos_SIRIUS_15547
5376	3	3		-131.259	0.999	4.316	C37H73NO5	[M - H2O + H]+	UWTLPHGXKLBELN	InChI=1S/C37H73NO5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(39)42-34-35(33-41-32-31-38)43-37(40)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h35H,3-34,38H2,1-2H3		CCCCCCCCCCCCCCCC(=O)OCC(COCCN)OC(=O)CCCCCCCCCCCCCCC	13.6	137348728	PubChem:(137348728);PubChem class - bio and metabolites	16777218	594.544	217.966	6760_CARA_C18_pos_SIRIUS_5376
3220	2	2		-175.325	1.0	32.362	C46H93NO5	[M - H2O + H]+	PHSFNVKCRVZOMR	InChI=1S/C46H93NO5/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-29-33-37-42(49)38-34-30-28-32-36-40-45(51)47-43(41-48)46(52)44(50)39-35-31-27-25-23-21-18-16-14-12-10-8-6-4-2/h42-44,46,48-50,52H,3-41H2,1-2H3,(H,47,51)		CCCCCCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CO)C(C(CCCCCCCCCCCCCCCC)O)O)O	15.282		YMDB:(1110)	65536	722.696	237.858	4329_CARA_C18_pos_SIRIUS_3220
21337	1	1		-282.435	1.0	3.486	C21H45NO2	[M - H2O + H]+	ULIKETKXKSFNTL	InChI=1S/C21H45NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22-19-21(24)20-23/h21-24H,2-20H2,1H3	3-(Octadecylamino)propane-1,2-diol	CCCCCCCCCCCCCCCCCCNCC(CO)O	7.3	120088;98059845;98059846	PubChem:(120088 98059845 98059846);NORMAN:(NS00051104)	262146	326.341	46.594	2537_CARA_C18_pos_SIRIUS_21337
115	2	2		-72.824	1.0	117.464	C31H60O2	[M + H]+	ORLIFRJRAMADMX	InChI=1S/C31H60O2/c1-3-5-7-9-11-13-15-16-17-18-19-21-23-25-27-29-31(32)33-30-28-26-24-22-20-14-12-10-8-6-4-2/h16-17H,3-15,18-30H2,1-2H3	Tridecyl oleate	CCCCCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC	13.7	289803;6044828;6432922	PubChem:(289803 6044828 6432922);NORMAN:(NS00059192)	262146	465.464	264.543	7415_CARA_C18_pos_SIRIUS_115
23268	3	3		-128.05	0.949	11.937	C26H46O2	[M + H]+	JCDQIGVVGKBORW	InChI=1S/C26H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-24-21-25(27)23-26(28)22-24/h21-23,27-28H,2-20H2,1H3	5-Eicosylresorcinol	CCCCCCCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O	11.8	15775324	PubChem:(15775324);PubChem class - safety and toxic	67108866	391.355	96.71	322_CARA_C18_pos_SIRIUS_23268
34331	3	3		-120.49	0.998	14.687	C34H65NO4	[M + H]+	ZVENDHUONOGBTG	InChI=1S/C34H65NO4/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-32(37)31(30-36)35-34(39)33(38)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,24,26,31-33,36-38H,3-10,12,14-23,25,27-30H2,1-2H3,(H,35,39)		CCCCCCCCCCCCCCC(C(=O)NC(CO)C(CC=CCCCCCC=CCCCCC)O)O	10.318		COCONUT:(CNP0337306)	2097152	552.497	164.375	7142_CARA_C18_pos_SIRIUS_34331
20934	2	2		-154.277	0.996	12.063	C38H76N2O4	[M + H]+	YLWQQYRYYZPZLJ	InChI=1S/C38H76N2O4/c1-3-5-7-21-27-35(41)29-23-17-13-9-11-15-19-25-31-37(43)39-33-34-40-38(44)32-26-20-16-12-10-14-18-24-30-36(42)28-22-8-6-4-2/h35-36,41-42H,3-34H2,1-2H3,(H,39,43)(H,40,44)	N,N''-Ethylenebis(12-hydroxyoctadecanamide)	CCCCCCC(CCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCC(CCCCCC)O)O	11.9	61058;76955903;76955904;76955905	NORMAN:(NS00006640);PubChem class - food;PubChem class - safety and toxic;PubChem:(61058 76955903 76955904 76955905)	201588738	625.592	249.376	6920_CARA_C18_pos_SIRIUS_20934
21014	1	1		-265.039	0.864	8.401	C24H52N8O2	[M + H3N + H]+	UIPBKZGYQDPIPY	InChI=1S/C24H52N8O2/c25-17-13-14-20(21(33)15-9-5-1-3-7-11-18-30-23(26)27)32-22(34)16-10-6-2-4-8-12-19-31-24(28)29/h20-21,33H,1-19,25H2,(H,32,34)(H4,26,27,30)(H4,28,29,31)	Eulicin	C(CCCCN=C(N)N)CCCC(C(CCCN)NC(=O)CCCCCCCCN=C(N)N)O	1.4	10804;92238340	COCONUT:(CNP0349363);Natural Products:(UNPD85580);PubChem:(10804 92238340);SuperNatural:(SN00230487);MeSH:(10804);PubChem class - safety and toxic;PubMed	70287430	502.456	112.187	5207_CARA_C18_pos_SIRIUS_21014
9897	1	6		-124.696	0.314	17.513	C31H48O10	[M + Na]+	NLYFFDUIGDYSGB	InChI=1S/C31H48O10/c1-17-25(37-3)26(38-4)24(34)27(40-17)41-19-5-10-29(16-32)21-6-9-28(2)20(18-13-23(33)39-15-18)8-12-31(28,36)22(21)7-11-30(29,35)14-19/h13,17,19-22,24-27,32,34-36H,5-12,14-16H2,1-4H3	al-Dihydromansonin	CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)CO)O)OC)OC	2.095	215089;71300418;101643271	PubChem:(215089 71300418 101643271);PubChem class - safety and toxic	67108866	603.309	50.904	7826_CARA_C18_pos_SIRIUS_9897
33553	2	2		-82.588	0.999	20.029	C12H24O	[M + H3N + H]+	DOXYUCZSYSEALW	InChI=1S/C12H24O/c1-3-5-7-8-9-11-12(13)10-6-4-2/h3-11H2,1-2H3	Dodecan-5-one	CCCCCCCC(=O)CCCC	4.398	29771	NORMAN:(NS00026427);PubChem class - safety and toxic;PubChem:(29771)	67371010	202.215	32.299	3626_CARA_C18_pos_SIRIUS_33553
28708	1	1		-275.256	0.853	38.912	C36H66O6	[M + H3N + H]+	RWXWCAZLEFJOFU	InChI=1S/C36H66O6/c1-5-8-10-12-14-16-18-20-22-24-26-28-34(37)40-30-33(31-41-36(39)32(4)7-3)42-35(38)29-27-25-23-21-19-17-15-13-11-9-6-2/h7,33H,5-6,8-31H2,1-4H3		CCCCCCCCCCCCCC(=O)OCC(COC(=O)C(=CC)C)OC(=O)CCCCCCCCCCCCC	13.6	102056109	COCONUT:(CNP0345486);Natural Products:(UNPD133228);PubChem:(102056109);SuperNatural:(SN00274735)	3178498	612.516	156.076	1315_CARA_C18_pos_SIRIUS_28708
4581	2	2		-37.45	1.0	51.876	C24H46O2	[M + H3N + H]+	WFZQLUSOXHIVKL	InChI=1S/C24H46O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26-4-2/h11-12H,3-10,13-23H2,1-2H3	Ethyl erucate	CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC	10.1	94479;6013583;5364508;10021969	NORMAN:(NS00056346);COCONUT:(CNP0263216);Natural Products:(UNPD50950);PubChem:(94479 6013583 5364508 10021969);SuperNatural:(SN00241354);CHEBI:(84891)	3440674	384.382	206.308	1987_CARA_C18_pos_SIRIUS_4581
603	3	4		-40.573	0.947	86.97	C34H64O5	[M - H2O + H]+	IHIWKNWPECHDKE	InChI=1S/C34H64O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32(30-35)31-38-33(36)28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13,15,32,35H,3-12,14,16-31H2,1-2H3	Diacylglycerol(15:0/16:1)	CCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC	12.6	14275233;53478003;138176795	COCONUT:(CNP0042539);HMDB:(7070);PubChem:(14275233 53478003 138176795);SuperNatural:(SN00216910);PubChem class - bio and metabolites	19922954	535.469	210.995	7079_CARA_C18_pos_SIRIUS_603
29991	1	1		-142.609	0.999	38.04	C24H42O13	[M + H3N + H]+	VEGNIXCUDMQGFZ	InChI=1S/C24H42O13/c25-17(2-29-7-20(33-14-24-16-37-24)8-31-10-22-12-35-22)1-27-5-19(32-13-23-15-36-23)6-28-3-18(26)4-30-9-21-11-34-21/h17-26H,1-16H2	1,19-Bis(oxiranyl)-8,16-bis(oxiranylmethoxy)-2,6,10,14,18-pentaoxanonadecane-4,12-diol	C1C(O1)COCC(COCC(COCC(COCC(COCC2CO2)OCC3CO3)O)OCC4CO4)O	-3.1	113595	PubChem:(113595);NORMAN:(NS00065340)	262146	556.297	20.482	3781_CARA_C18_pos_SIRIUS_29991
1432	2	2		-94.656	1.0	21.253	C38H77NO3	[M + H]+	OGWKBOGOKYSQSD	InChI=1S/C38H77NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37(41)36(35-40)39-38(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h36-37,40-41H,3-35H2,1-2H3,(H,39,42)	N-stearoyl-C20-sphinganine	CCCCCCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCC)O	15.5	21259879;70678788	PubChem:(21259879 70678788);CHEBI:(67004)	34	596.592	247.6	3760_CARA_C18_pos_SIRIUS_1432
