shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
4004	C18H32O2	[M + H]+	1.0	230.956	53	0.965	5280_CARA_C18_pos_SIRIUS_4004	-7.491	7.408
7092	C18H35N5O	[M + H3N + H]+	1.0	217.787	39	0.31	2540_CARA_C18_pos_SIRIUS_7092	2.572	4.979
23846	C17H35NO3	[M + H3N + H]+	1.0	212.652	49	0.554	7321_CARA_C18_pos_SIRIUS_23846	-7.578	5.832
2192	C20H36O2	[M + H3N + H]+	1.0	206.452	31	0.778	5503_CARA_C18_pos_SIRIUS_2192	-4.768	7.441
21438	C20H36O2	[M + H]+	1.0	209.8	57	0.994	6630_CARA_C18_pos_SIRIUS_21438	-8.752	5.88
970	C18H34O3	[M + H3N + H]+	1.0	203.381	55	0.972	2800_CARA_C18_pos_SIRIUS_970	-5.124	4.879
836	C39H72N2O4	[M + H3N + H]+	1.0	192.681	43	0.67	4195_CARA_C18_pos_SIRIUS_836	4.558	5.336
4031	C13H22O3	[M + H]+	1.0	183.407	42	0.987	2527_CARA_C18_pos_SIRIUS_4031	-3.394	6.397
32027	C19H36O3	[M + H]+	1.0	174.391	46	0.918	1206_CARA_C18_pos_SIRIUS_32027	-7.091	7.66
28565	C20H38O3	[M + H3N + H]+	1.0	176.839	57	0.986	4693_CARA_C18_pos_SIRIUS_28565	-9.354	4.721
11469	C20H38O3	[M + H3N + H]+	1.0	170.362	57	0.987	5168_CARA_C18_pos_SIRIUS_11469	-5.288	6.993
611	C42H79NO5	[M + H3N + H]+	1.0	160.101	48	0.964	2563_CARA_C18_pos_SIRIUS_611	-3.666	7.227
6604	C14H18O4	[M + H]+	1.0	162.84	58	0.995	7809_CARA_C18_pos_SIRIUS_6604	-1.933	2.711
26671	C20H34O	[M + H3N + H]+	1.0	160.326	52	0.965	4868_CARA_C18_pos_SIRIUS_26671	-4.837	8.818
904	C20H38O2	[M + H3N + H]+	1.0	154.84	44	0.973	2366_CARA_C18_pos_SIRIUS_904	-5.501	4.705
597	C13H20O2	[M + H3N + H]+	1.0	158.015	36	0.949	5809_CARA_C18_pos_SIRIUS_597	-3.34	7.219
26771	C28H53NO	[M + Na]+	1.0	153.204	48	0.814	4499_CARA_C18_pos_SIRIUS_26771	-0.986	5.42
3310	C20H34O2	[M + H3N + H]+	1.0	154.68	36	0.865	3889_CARA_C18_pos_SIRIUS_3310	-6.185	10.003
30441	C35H60O2	[M + H3N + H]+	1.0	147.867	39	0.942	4942_CARA_C18_pos_SIRIUS_30441	-4.065	7.457
4848	C34H67NO4	[M - H4O2 + H]+	1.0	148.341	41	0.945	1937_CARA_C18_pos_SIRIUS_4848	-69479.436	8.681
7873	C18H39NO2	[M + Na]+	1.0	151.691	41	0.824	518_CARA_C18_pos_SIRIUS_7873	3.083	4.606
4362	C18H34O2	[M + H]+	1.0	145.752	37	0.969	7420_CARA_C18_pos_SIRIUS_4362	-5.849	7.6
174	C18H34O2	[M + H]+	1.0	144.734	34	0.94	7982_CARA_C18_pos_SIRIUS_174	0.859	9.465
33216	C35H68N2O3	[M + H3N + H]+	1.0	149.268	47	0.909	5041_CARA_C18_pos_SIRIUS_33216	6.661	7.168
22141	C30H50O	[M + H]+	1.0	141.174	57	0.967	5074_CARA_C18_pos_SIRIUS_22141	-3.142	7.233
2674	C18H34O2	[M + H3N + H]+	1.0	141.078	35	0.929	5033_CARA_C18_pos_SIRIUS_2674	-1.019	8.381
