name	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass	all classifications
1100_CARA_HILIC_neg_SIRIUS_charge0_removed_934	C9H8Cl2O5S2	[M + Cl]-	Benzenesulfonyl compounds		Benzenesulfonyl compounds	Benzene and substituted derivatives	Benzenoids	Organic compounds; Organosulfur compounds; Halobenzenes; Alcohols and polyols; Organohalogen compounds; Organooxygen compounds; Sulfones; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic oxygen compounds; Chemical entities
2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642	C16H14O6	[M - H4O2 - H]-	1-benzopyrans		1-benzopyrans	Benzopyrans	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Phenols; Primary alcohols; Organooxygen compounds; Secondary alcohols; Polyols; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
717_CARA_HILIC_neg_SIRIUS_charge0_removed_10062	C16H21N3O9	[M - H]-	Glycosylamines	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4700_CARA_HILIC_neg_SIRIUS_charge0_removed_9037	C25H12O11	[M - H]-	1-benzopyrans		1-benzopyrans	Benzopyrans	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
3509_CARA_HILIC_neg_SIRIUS_charge0_removed_1953	C24H50O4	[M - H2O - H]-	Hydroxysteroids		Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Fatty acids and conjugates; Organic acids and derivatives; Organooxygen compounds; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4768_CARA_HILIC_neg_SIRIUS_charge0_removed_5402	C28H62N6O4	[M - H4O2 - H]-	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1509_CARA_HILIC_neg_SIRIUS_charge0_removed_6817	C31H60N6O8	[M - H4O2 - H]-	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
5008_CARA_HILIC_neg_SIRIUS_charge0_removed_4408	C24H54N2O7	[M - H2O - H]-	N-acyl-alpha amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
624_CARA_HILIC_neg_SIRIUS_charge0_removed_2910	C8H6INO6	[M + Br]-	Alpha amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Aryl iodides; Iodobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organoiodides; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Aryl halides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1234_CARA_HILIC_neg_SIRIUS_charge0_removed_4368	C21H34N8O10S	[M - H]-	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Organic carbonic acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
