rank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	3	4	N/A	-182.28439756845594	0.7261306532663316	16.40840934723036	C16H10O4	[M - H]-	DACUXYCUJMGBFH	InChI=1S/C16H10O4/c17-15(18)12-7-3-2-6-11(12)13-9-10-5-1-4-8-14(10)20-16(13)19/h1-9H,(H,17,18)	Oprea1_261926	C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=CC=C3C(=O)O	3.0999999	927893;6954761	COCONUT:(CNP0050414 CNP0361541);PubChem:(927893 6954761);SuperNatural:(SN00047112);PubMed;ZINC bio:(ZINC00517815)	3153986	265.0492	148.834	2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642
2	3	4	N/A	-198.03642406852717	0.7261306532663316	16.40840934723036	C16H12O5	[M - H2O - H]-	MXDNXMXAOOHCKT	InChI=1S/C16H12O5/c1-20-14-6-9(17)2-4-11(14)13-8-21-15-7-10(18)3-5-12(15)16(13)19/h2-8,17-18H,1H3	Ambap56581-76-1	COC1=C(C=CC(=C1)O)C2=COC3=C(C2=O)C=CC(=C3)O	2.4000001	14077813	COCONUT:(CNP0209490);KNApSAcK:(9388);Natural Products:(UNPD169010);PubChem:(14077813);SuperNatural:(SN00363478);ZINC bio:(ZINC02559341);PubMed;KEGG Mine	8593121362	265.0492	148.834	2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642
3	3	4	N/A	-204.19074435201486	0.7261306532663316	16.40840934723036	C16H14O6	[M - H4O2 - H]-	MAACIAXDWACWDX	InChI=1S/C16H14O6/c17-9-1-3-11(15(21)7-9)13(19)5-6-14(20)12-4-2-10(18)8-16(12)22/h1-4,7-8,17-18,21-22H,5-6H2	1,4-Butanedione, 1,4-bis(2,4-dihydroxyphenyl)-	C1=CC(=C(C=C1O)O)C(=O)CCC(=O)C2=C(C=C(C=C2)O)O	2.5	14825501	COCONUT:(CNP0338428);Natural Products:(UNPD101930);PubChem:(14825501);SuperNatural:(SN00337053)	3178498	265.0492	148.834	2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642
4	1	1	N/A	-453.8776336250656	0.9999999999999999	15.388916399337004	C24H50O4	[M - H2O - H]-	RYCPZVNAAFWRCP	InChI=1S/C24H50O4/c1-3-5-7-9-11-13-15-17-19-21-23(25)27-28-24(26)22-20-18-16-14-12-10-8-6-4-2/h23-26H,3-22H2,1-2H3	null	CCCCCCCCCCCC(O)OOC(CCCCCCCCCCC)O	10.3000002	54291932	COCONUT:(CNP0273813);Natural Products:(UNPD151070);PubChem:(54291932);SuperNatural:(SN00322843)	3178498	383.3533	49.008	3509_CARA_HILIC_neg_SIRIUS_charge0_removed_1953
5	1	1	N/A	-221.81261128857312	0.9999999999999999	11.537587590649439	C16H34O3	[M - H2O - H]-	AZLWQVJVINEILY	InChI=1S/C16H34O3/c1-2-3-4-5-6-7-8-9-10-11-13-18-15-16-19-14-12-17/h17H,2-16H2,1H3	Decyldiglycol	CCCCCCCCCCCCOCCOCCO	4.51302004	76457;101208024;101208027	NORMAN:(NS00013814);PubChem class - safety and toxic;PubChem:(76457 101208024 101208027);KEGG Mine;PubChem class - bio and metabolites	8674082818	255.2326	69.197	5057_CARA_HILIC_neg_SIRIUS_charge0_removed_621
6	3	3	N/A	-271.35113901707064	0.9999999999999999	35.33059385692597	C24H29N7O4	[M - H2O - H]-	MQXXDRJHVDAFLK	InChI=1S/C24H29N7O4/c1-29(2)18-7-5-16(6-8-18)24(35)31-11-10-30(23(34)17-12-25-15-26-13-17)14-20(31)22(33)28-19-4-3-9-27-21(19)32/h5-8,12-13,15,19-20H,3-4,9-11,14H2,1-2H3,(H,27,32)(H,28,33)	(2S)-1-[4-(dimethylamino)benzoyl]-N-[(3S)-2-oxopiperidin-3-yl]-4-(pyrimidine-5-carbonyl)piperazine-2-carboxamide	CN(C)C1=CC=C(C=C1)C(=O)N2CCN(CC2C(=O)NC3CCCNC3=O)C(=O)C4=CN=CN=C4	0.0	11911673	COCONUT:(CNP0321541);PubChem:(11911673);SuperNatural:(SN00011858);ZINC bio:(ZINC05397363)	3153922	460.2086	85.704	3685_CARA_HILIC_neg_SIRIUS_charge0_removed_429
7	3	3	N/A	-381.71239848705613	0.9999999999999999	35.33059385692597	C24H31N7O5	[M - H4O2 - H]-	GVQOJMDIIDEDKM	InChI=1S/C24H31N7O5/c1-14(2)28-24(35)29-16-11-20(31(13-16)23(34)19-12-26-8-9-27-19)22(33)30-18(21(25)32)10-15-4-6-17(36-3)7-5-15/h4-9,12,14,16,18,20H,10-11,13H2,1-3H3,(H2,25,32)(H,30,33)(H2,28,29,35)	4-{[(1-methylethyl)carbamoyl]amino}-1-(pyrazin-2-ylcarbonyl)prolyl-O-methyltyrosinamide	CC(C)NC(=O)NC1CC(N(C1)C(=O)C2=NC=CN=C2)C(=O)NC(CC3=CC=C(C=C3)OC)C(=O)N	0.0	3709863;7127990	COCONUT:(CNP0071363);PubChem:(3709863 7127990);SuperNatural:(SN00007389);ZINC bio:(ZINC04200912)	3153922	460.2086	85.704	3685_CARA_HILIC_neg_SIRIUS_charge0_removed_429
8	3	3	N/A	-439.05611423251736	0.9999999999999999	35.33059385692597	C24H27N7O3	[M - H]-	NLAQVSZYBUGULE	InChI=1S/C24H27N7O3/c1-4-31-17-14-19(33-18(11-13-25)15-8-6-5-7-9-15)27-16(10-12-24(2,3)32)20(17)28-23(31)21-22(26)30-34-29-21/h5-9,14,18,32H,4,11,13,25H2,1-3H3,(H2,26,30)	4-[2-(4-Amino-2,5-Dihydro-1,2,5-Oxadiazol-3-Yl)-6-{[(1s)-3-Amino-1-Phenylpropyl]oxy}-1-Ethyl-1h-Imidazo[4,5-C]pyridin-4-Yl]-2-Methylbut-3-En-2-Ol	CCN1C2=CC(=NC(=C2N=C1C3=NON=C3N)C#CC(C)(C)O)OC(CCN)C4=CC=CC=C4	1.20000005	24963049;46886550;69108206	PubChem:(24963049 46886550 69108206);PubMed;PubChem class - bio and metabolites	16777282	460.2086	85.704	3685_CARA_HILIC_neg_SIRIUS_charge0_removed_429
9	1	7	N/A	-278.7534039880575	0.871859296482412	25.232553333180324	C18H29NO9	[M + Cl]-	NDHDOPGXUSBUJH	InChI=1S/C18H29NO9/c1-6-7-8-24-18-15(19-10(2)20)17(27-13(5)23)16(26-12(4)22)14(28-18)9-25-11(3)21/h14-18H,6-9H2,1-5H3,(H,19,20)	(5-acetamido-3,4-diacetyloxy-6-butoxyoxan-2-yl)methyl acetate	CCCCOC1C(C(C(C(O1)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C	0.400000006	5174146;11036864;89996270;124930277;124930278;124930279;124427902;135014699	COCONUT:(CNP0182012);PubChem:(5174146 11036864 89996270 124930277 124930278 124930279 124427902 135014699);SuperNatural:(SN00074929);ZINC bio:(ZINC05420471)	3153922	438.1515	161.456	3335_CARA_HILIC_neg_SIRIUS_charge0_removed_8812
10	1	1	N/A	-336.3844401067178	0.7653266331658293	22.072914998744714	C23H34N2O7	[M + Br]-	NQTGXXUXIJUJMF	InChI=1S/C23H34N2O7/c1-23(2,12-20(28)31-4)11-18(26)24-13-17-22(30)21(29)16(32-17)10-19(27)25(3)14-15-8-6-5-7-9-15/h5-9,16-17,21-22,29-30H,10-14H2,1-4H3,(H,24,26)	null	CC(C)(CC(=O)NCC1C(C(C(O1)CC(=O)N(C)CC2=CC=CC=C2)O)O)CC(=O)OC	0.5	44716542	COCONUT:(CNP0050075);PubChem:(44716542);SuperNatural:(SN00022775 SN00017695);ZINC bio:(ZINC08643518 ZINC15675174)	3153922	529.1563	129.882	1405_CARA_HILIC_neg_SIRIUS_charge0_removed_6376
