rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
1	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	125.38720150270795	125.38720150270795	0.0	28	0.6553232831186153	-2.009019398225715	4.702028013808892	-0.9094840811141925	311.2225	32.763	648_CARA_HILIC_neg_SIRIUS_charge0_removed_1662
2	C14H22O7	[M - H]-	C14H22O7	0.9999999999999999	122.4159328144445	122.4159328144445	0.0	26	0.6387364752558821	-2.213009890273549	3.736629285881531	-0.2543489951131319	301.1292	31.905	3696_CARA_HILIC_neg_SIRIUS_charge0_removed_4352
3	C19H36O5	[M - H]-	C19H36O5	0.9999999999999999	118.26475413628556	118.26475413628556	0.0	31	0.5683359073274453	-4.192157752179908	5.855838688176877	-6.11163541302137	343.2469	32.746	3666_CARA_HILIC_neg_SIRIUS_charge0_removed_3496
4	C16H26O5	[M - H]-	C16H26O5	0.9999999999999999	115.49358356335048	115.49358356335048	0.0	24	0.567360607876472	-0.4776789742219219	3.0078846839413083	-3.861363710939556	297.1696	72.943	1698_CARA_HILIC_neg_SIRIUS_charge0_removed_7819
5	C8H12N2O5	[M - H]-	C8H12N2O5	0.9999999999999999	111.8425754888901	107.07233246671126	4.770243022178849	35	0.9958760709044455	-1.6919728218164172	2.2203655621757803	1.1855253443977836	215.0676	117.983	305_CARA_HILIC_neg_SIRIUS_charge0_removed_1606
6	C7H10O6	[M - H]-	C7H10O6	0.9999999999999999	103.14599463133763	100.82240734226778	2.323587289069854	15	0.807006874541411	3.785210072614949	7.26891681293394	-2.441747299279674	189.04	81.744	4423_CARA_HILIC_neg_SIRIUS_charge0_removed_10221
7	C11H17N3O6	[M - H]-	C11H17N3O6	0.9999999999999999	99.762516459631	95.51287182863504	4.249644630995961	41	0.9615396653588028	-0.30592496802118846	4.34947620980705	0.14396170107858824	286.1045	116.885	3827_CARA_HILIC_neg_SIRIUS_charge0_removed_2524
8	C6H14O6	[M - H]-	C6H14O6	0.9999999999999999	96.3525036854165	92.02596857940752	4.3265351060089765	20	0.9903131724675193	-2.8935837796946022	3.5420784062699244	4.077284460892702	181.0725	131.019	5446_CARA_HILIC_neg_SIRIUS_charge0_removed_2021
9	C16H26O5	[M - H]-	C16H26O5	0.9999999999999999	95.98730376346631	95.98730376346631	0.0	20	0.5378348090071591	-0.509571686178806	3.44511883938438	-3.861363710939556	297.1696	31.841	5420_CARA_HILIC_neg_SIRIUS_charge0_removed_7888
10	C6H8O6	[M - H]-	C6H8O6	0.9999999999999999	93.33316338475322	92.37492109428932	0.958242290463897	12	0.7786051491061425	-4.116470062838822	5.925925226189205	-1.2085381681000604	175.0246	93.063	1569_CARA_HILIC_neg_SIRIUS_charge0_removed_7326
