shared name	CSI_#adducts	CSI_#predictedFPs	CSI_ConfidenceScore	CSI_CSI:FingerIDScore	CSI_ZodiacScore	CSI_SiriusScore	CSI_molecularFormula	CSI_adduct	CSI_InChIkey2D	CSI_InChI	CSI_name	CSI_smiles	CSI_xlogp	CSI_pubchemids	CSI_links	CSI_dbflags	CSI_ionMass	CSI_retentionTimeInSeconds	CSI_id
3642	3	4		-182.284	0.726	16.408	C16H10O4	[M - H]-	DACUXYCUJMGBFH	InChI=1S/C16H10O4/c17-15(18)12-7-3-2-6-11(12)13-9-10-5-1-4-8-14(10)20-16(13)19/h1-9H,(H,17,18)	Oprea1_261926	C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=CC=C3C(=O)O	3.1	927893;6954761	COCONUT:(CNP0050414 CNP0361541);PubChem:(927893 6954761);SuperNatural:(SN00047112);PubMed;ZINC bio:(ZINC00517815)	3153986	265.049	148.834	2131_CARA_HILIC_neg_SIRIUS_charge0_removed_3642
10062	3	5		-215.848	0.213	10.204	C16H23N3O10	[M - H2O - H]-	DPAXDKFCBLGMIZ	InChI=1S/C16H23N3O10/c1-8(20)25-7-12-13(26-9(2)21)14(27-10(3)22)15(28-11(4)23)16(29-12)24-6-5-18-19-17/h12-16H,5-7H2,1-4H3	2-azidoethyl 2,3,4,6-tetra-O-acetylhexopyranoside	CC(=O)OCC1C(C(C(C(O1)OCCN=[N+]=[N-])OC(=O)C)OC(=O)C)OC(=O)C	-0.594	3918128;10740663;11575284;15237678;40817099;40817107;42554660;42554661;53384426;59979308;70912903;90724224;90022506;90023126;90023129;90023232;90070181;91024819;89817717;91308122;124585399;124903169;135021047;135274889	COCONUT:(CNP0010129);PubChem class - safety and toxic;PubChem:(3918128 10740663 11575284 15237678 40817099 40817107 42554660 42554661 53384426 59979308 70912903 90724224 90022506 90023126 90023129 90023232 90070181 91024819 89817717 91308122 124585399 124903169 135021047 135274889)	69206018	398.12	78.6	717_CARA_HILIC_neg_SIRIUS_charge0_removed_10062
1953	1	1		-453.878	1.0	15.389	C24H50O4	[M - H2O - H]-	RYCPZVNAAFWRCP	InChI=1S/C24H50O4/c1-3-5-7-9-11-13-15-17-19-21-23(25)27-28-24(26)22-20-18-16-14-12-10-8-6-4-2/h23-26H,3-22H2,1-2H3		CCCCCCCCCCCC(O)OOC(CCCCCCCCCCC)O	10.3	54291932	COCONUT:(CNP0273813);Natural Products:(UNPD151070);PubChem:(54291932);SuperNatural:(SN00322843)	3178498	383.353	49.008	3509_CARA_HILIC_neg_SIRIUS_charge0_removed_1953
6817	3	3		-245.982	0.079	13.421	C35H62O9	[M - H2O - H]-	BXXPBXYXAWAFBG	InChI=1S/C35H62O9/c1-18(2)20(11-14-43-33-32(41)31(40)27(42-6)17-44-33)8-7-19(3)23-16-26(38)28-21-15-25(37)29-30(39)24(36)10-13-34(29,4)22(21)9-12-35(23,28)5/h18-33,36-41H,7-17H2,1-6H3	Certonardoside H2	CC(C)C(CCC(C)C1CC(C2C1(CCC3C2CC(C4C3(CCC(C4O)O)C)O)C)O)CCOC5C(C(C(CO5)OC)O)O	4.1	44566723	COCONUT:(CNP0098218);PubChem:(44566723);PubMed	2097218	607.421	71.828	1509_CARA_HILIC_neg_SIRIUS_charge0_removed_6817
2751	3	1		-281.618	0.887	38.909	C16H27N3O8	[M - H]-	AUTNXSQEVVHSJK	InChI=1S/C16H27N3O8/c1-3-8(2)13(16(26)27)19-15(25)10(5-7-12(22)23)18-14(24)9(17)4-6-11(20)21/h8-10,13H,3-7,17H2,1-2H3,(H,18,24)(H,19,25)(H,20,21)(H,22,23)(H,26,27)	L-alpha-glutamyl-L-alpha-glutamyl-L-isoleucine	CCC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N	-1.118	18220235;71464590	PubChem:(18220235 71464590);CHEBI:(73492)	34	388.171	85.976	767_CARA_HILIC_neg_SIRIUS_charge0_removed_2751
621	1	1		-221.813	1.0	11.538	C16H34O3	[M - H2O - H]-	AZLWQVJVINEILY	InChI=1S/C16H34O3/c1-2-3-4-5-6-7-8-9-10-11-13-18-15-16-19-14-12-17/h17H,2-16H2,1H3	Decyldiglycol	CCCCCCCCCCCCOCCOCCO	4.513	76457;101208024;101208027	NORMAN:(NS00013814);PubChem class - safety and toxic;PubChem:(76457 101208024 101208027);KEGG Mine;PubChem class - bio and metabolites	8674082818	255.233	69.197	5057_CARA_HILIC_neg_SIRIUS_charge0_removed_621
429	3	3		-271.351	1.0	35.331	C24H29N7O4	[M - H2O - H]-	MQXXDRJHVDAFLK	InChI=1S/C24H29N7O4/c1-29(2)18-7-5-16(6-8-18)24(35)31-11-10-30(23(34)17-12-25-15-26-13-17)14-20(31)22(33)28-19-4-3-9-27-21(19)32/h5-8,12-13,15,19-20H,3-4,9-11,14H2,1-2H3,(H,27,32)(H,28,33)	(2S)-1-[4-(dimethylamino)benzoyl]-N-[(3S)-2-oxopiperidin-3-yl]-4-(pyrimidine-5-carbonyl)piperazine-2-carboxamide	CN(C)C1=CC=C(C=C1)C(=O)N2CCN(CC2C(=O)NC3CCCNC3=O)C(=O)C4=CN=CN=C4	0.0	11911673	COCONUT:(CNP0321541);PubChem:(11911673);SuperNatural:(SN00011858);ZINC bio:(ZINC05397363)	3153922	460.209	85.704	3685_CARA_HILIC_neg_SIRIUS_charge0_removed_429
8812	3	7		-117.576	0.091	24.566	C19H25N3O9	[M - H]-	BUAKRRKDHSSIKK	InChI=1S/C19H25N3O9/c20-12(5-7-15(24)25)17(28)21-13(6-8-16(26)27)18(29)22-14(19(30)31)9-10-1-3-11(23)4-2-10/h1-4,12-14,23H,5-9,20H2,(H,21,28)(H,22,29)(H,24,25)(H,26,27)(H,30,31)	4-amino-5-[[4-carboxy-1-[[1-carboxy-2-(4-hydroxyphenyl)ethyl]amino]-1-oxobutan-2-yl]amino]-5-oxopentanoic acid	C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N)O	-1.053	9549242;18220243	PubChem:(9549242 18220243);PubChem class - bio and metabolites	16777218	438.152	161.456	3335_CARA_HILIC_neg_SIRIUS_charge0_removed_8812
9456	3	2		-459.116	0.096	25.233	C42H52N2O2	[M - H2O - H]-	XOEUNIAGBKGZLU	InChI=1S/C42H52N2O2/c1-5-7-9-11-13-21-29-43-31(3)39(34-24-16-19-27-37(34)43)42(36-26-18-15-23-33(36)41(45)46-42)40-32(4)44(30-22-14-12-10-8-6-2)38-28-20-17-25-35(38)40/h15-20,23-28H,5-14,21-22,29-30H2,1-4H3	Pergascript Red 16	CCCCCCCCN1C(=C(C2=CC=CC=C21)C3(C4=CC=CC=C4C(=O)O3)C5=C(N(C6=CC=CC=C65)CCCCCCCC)C)C	12.2	162584	NORMAN:(NS00057943);PubChem class - safety and toxic;PubChem:(162584)	67371010	597.387	73.848	5184_CARA_HILIC_neg_SIRIUS_charge0_removed_9456
6376	1	1		-336.384	0.765	22.073	C23H34N2O7	[M + Br]-	NQTGXXUXIJUJMF	InChI=1S/C23H34N2O7/c1-23(2,12-20(28)31-4)11-18(26)24-13-17-22(30)21(29)16(32-17)10-19(27)25(3)14-15-8-6-5-7-9-15/h5-9,16-17,21-22,29-30H,10-14H2,1-4H3,(H,24,26)		CC(C)(CC(=O)NCC1C(C(C(O1)CC(=O)N(C)CC2=CC=CC=C2)O)O)CC(=O)OC	0.5	44716542	COCONUT:(CNP0050075);PubChem:(44716542);SuperNatural:(SN00022775 SN00017695);ZINC bio:(ZINC08643518 ZINC15675174)	3153922	529.156	129.882	1405_CARA_HILIC_neg_SIRIUS_charge0_removed_6376
