shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
1662	C18H32O4	[M - H]-	1.0	125.387	28	0.655	648_CARA_HILIC_neg_SIRIUS_charge0_removed_1662	-0.909	4.702
4352	C14H22O7	[M - H]-	1.0	122.416	26	0.639	3696_CARA_HILIC_neg_SIRIUS_charge0_removed_4352	-0.254	3.737
3496	C19H36O5	[M - H]-	1.0	118.265	31	0.568	3666_CARA_HILIC_neg_SIRIUS_charge0_removed_3496	-6.112	5.856
7819	C16H26O5	[M - H]-	1.0	115.494	24	0.567	1698_CARA_HILIC_neg_SIRIUS_charge0_removed_7819	-3.861	3.008
1606	C8H12N2O5	[M - H]-	1.0	107.072	35	0.996	305_CARA_HILIC_neg_SIRIUS_charge0_removed_1606	1.186	2.22
10221	C7H10O6	[M - H]-	1.0	100.822	15	0.807	4423_CARA_HILIC_neg_SIRIUS_charge0_removed_10221	-2.442	7.269
2524	C11H17N3O6	[M - H]-	1.0	95.513	41	0.962	3827_CARA_HILIC_neg_SIRIUS_charge0_removed_2524	0.144	4.349
2021	C6H14O6	[M - H]-	1.0	92.026	20	0.99	5446_CARA_HILIC_neg_SIRIUS_charge0_removed_2021	4.077	3.542
7888	C16H26O5	[M - H]-	1.0	95.987	20	0.538	5420_CARA_HILIC_neg_SIRIUS_charge0_removed_7888	-3.861	3.445
7326	C6H8O6	[M - H]-	1.0	92.375	12	0.779	1569_CARA_HILIC_neg_SIRIUS_charge0_removed_7326	-1.209	5.926
288	C11H16O4	[M - H]-	1.0	90.322	14	0.959	803_CARA_HILIC_neg_SIRIUS_charge0_removed_288	-0.391	4.29
2862	C6H11NO4	[M - H]-	1.0	87.402	14	0.957	602_CARA_HILIC_neg_SIRIUS_charge0_removed_2862	-0.821	7.591
1859	C7H12N2O4	[M - H]-	1.0	86.769	15	0.937	4860_CARA_HILIC_neg_SIRIUS_charge0_removed_1859	-0.697	2.69
2443	C6H6O5	[M - H]-	1.0	88.679	11	0.83	1364_CARA_HILIC_neg_SIRIUS_charge0_removed_2443	0.975	3.711
3985	C6H6O5	[M - H]-	1.0	88.078	11	0.887	3230_CARA_HILIC_neg_SIRIUS_charge0_removed_3985	-2.209	2.767
2883	C7H12O7	[M - H]-	1.0	86.268	14	0.994	2668_CARA_HILIC_neg_SIRIUS_charge0_removed_2883	1.322	2.807
8615	C16H22O4	[M - H]-	1.0	86.532	14	0.814	5_CARA_HILIC_neg_SIRIUS_charge0_removed_8615	4.933	3.316
8201	C9H11NO3	[M - H]-	1.0	81.929	14	0.988	2813_CARA_HILIC_neg_SIRIUS_charge0_removed_8201	-1.204	1.859
3701	C13H21BF2N2O4	[M - H]-	1.0	85.982	26	0.764	2640_CARA_HILIC_neg_SIRIUS_charge0_removed_3701	-5.691	6.22
3423	C11H16O11	[M - H]-	1.0	80.571	12	0.978	4234_CARA_HILIC_neg_SIRIUS_charge0_removed_3423	1.904	0.835
3388	C11H16O11	[M - H]-	1.0	78.479	12	0.973	1787_CARA_HILIC_neg_SIRIUS_charge0_removed_3388	-0.882	5.991
25	C5H12O5	[M - H]-	1.0	79.326	15	0.985	1136_CARA_HILIC_neg_SIRIUS_charge0_removed_25	2.668	5.814
3142	C6H9NO5	[M - H]-	1.0	80.516	13	0.946	4828_CARA_HILIC_neg_SIRIUS_charge0_removed_3142	-1.126	4.921
4350	C9H10O3	[M - H]-	1.0	82.289	10	0.981	4302_CARA_HILIC_neg_SIRIUS_charge0_removed_4350	0.498	1.806
2784	C14H18N2O5	[M - H]-	1.0	80.017	19	0.536	4503_CARA_HILIC_neg_SIRIUS_charge0_removed_2784	7.181	4.586
2046	C20H36O4	[M - H2O - H]-	1.0	78.496	21	0.499	474_CARA_HILIC_neg_SIRIUS_charge0_removed_2046	-56070.138	4.711
4992	C9H13N3O3	[M - H]-	1.0	80.83	16	0.95	5084_CARA_HILIC_neg_SIRIUS_charge0_removed_4992	-1.023	8.083
5044	C8H16F3N3O2	[M - H]-	1.0	80.784	21	0.95	2370_CARA_HILIC_neg_SIRIUS_charge0_removed_5044	-5.72	7.305
3466	C5H7NO5	[M - H]-	1.0	76.312	11	0.782	2225_CARA_HILIC_neg_SIRIUS_charge0_removed_3466	-1.536	3.323
1337	C10H20O3	[M - H]-	1.0	75.521	13	0.94	4311_CARA_HILIC_neg_SIRIUS_charge0_removed_1337	-4.104	8.977
7899	C6H14O6	[M - H]-	1.0	77.26	19	0.902	1373_CARA_HILIC_neg_SIRIUS_charge0_removed_7899	-9.729	2.159
5207	C9H10O4	[M - H]-	1.0	76.171	10	0.686	2466_CARA_HILIC_neg_SIRIUS_charge0_removed_5207	-1.283	2.895
5201	C8H14N2O4	[M - H]-	1.0	73.457	12	0.821	1664_CARA_HILIC_neg_SIRIUS_charge0_removed_5201	-3.881	5.537
265	C9H11NO3	[M - H]-	1.0	71.202	12	0.99	92_CARA_HILIC_neg_SIRIUS_charge0_removed_265	1.018	2.046
4085	C6H8O6	[M - H]-	1.0	74.208	9	0.717	3401_CARA_HILIC_neg_SIRIUS_charge0_removed_4085	-0.637	6.667
2429	C6H11NO5	[M - H]-	1.0	68.476	20	0.967	5261_CARA_HILIC_neg_SIRIUS_charge0_removed_2429	0.875	4.813
1981	C12H19N3O5	[M - H]-	1.0	71.417	39	0.921	3777_CARA_HILIC_neg_SIRIUS_charge0_removed_1981	-2.443	3.591
10186	C12H28N6O	[M - H]-	1.0	71.416	19	0.523	3236_CARA_HILIC_neg_SIRIUS_charge0_removed_10186	-8.049	7.345
275	C7H16O7	[M - H]-	1.0	68.941	18	0.895	1502_CARA_HILIC_neg_SIRIUS_charge0_removed_275	-0.599	1.746
2508	C7H12O7	[M - H]-	1.0	68.115	14	0.976	3082_CARA_HILIC_neg_SIRIUS_charge0_removed_2508	2.288	3.953
2671	C8H14N2O6	[M - H]-	1.0	70.246	17	0.302	5364_CARA_HILIC_neg_SIRIUS_charge0_removed_2671	-2.187	3.29
2141	C8H14N2O6	[M - H]-	1.0	66.301	27	0.708	4451_CARA_HILIC_neg_SIRIUS_charge0_removed_2141	-3.474	4.005
10735	C9H15NO6	[M - H]-	1.0	66.946	19	0.769	85_CARA_HILIC_neg_SIRIUS_charge0_removed_10735	-1.124	5.161
1878	C9H16N2O6	[M - H2O - H]-	1.0	63.645	21	0.972	2891_CARA_HILIC_neg_SIRIUS_charge0_removed_1878	-78619.295	2.761
3378	C12H12N2O2	[M - H]-	1.0	66.393	24	0.83	1766_CARA_HILIC_neg_SIRIUS_charge0_removed_3378	-7.445	4.394
1626	C14H26O13	[M - H]-	1.0	63.513	13	0.876	486_CARA_HILIC_neg_SIRIUS_charge0_removed_1626	-3.651	3.681
4614	C14H25N3O7	[M - H]-	1.0	65.309	26	0.733	4204_CARA_HILIC_neg_SIRIUS_charge0_removed_4614	-0.791	5.739
8882	C7H10F2N2O4S2	[M - H]-	1.0	67.379	20	0.861	341_CARA_HILIC_neg_SIRIUS_charge0_removed_8882	-3.585	3.909
3205	C14H21F2N3O4	[M - H]-	1.0	67.287	18	0.816	4351_CARA_HILIC_neg_SIRIUS_charge0_removed_3205	3.504	3.284
1983	C10H14N2O6	[M - H]-	1.0	61.871	23	0.976	4632_CARA_HILIC_neg_SIRIUS_charge0_removed_1983	-1.983	1.674
4033	C12H14O8	[M + Br]-	1.0	66.294	13	0.921	2386_CARA_HILIC_neg_SIRIUS_charge0_removed_4033	-3.981	4.027
1995	C10H18O6	[M - H]-	1.0	61.987	10	0.981	2028_CARA_HILIC_neg_SIRIUS_charge0_removed_1995	-1.981	3.835
2555	C7H12N2O6	[M - H]-	1.0	63.857	12	0.908	242_CARA_HILIC_neg_SIRIUS_charge0_removed_2555	0.184	3.885
3661	C11H16N4O5	[M - H]-	1.0	62.373	15	0.967	4000_CARA_HILIC_neg_SIRIUS_charge0_removed_3661	-0.682	6.195
3492	C13H22BrN3O6	[M - H]-	1.0	65.348	17	0.977	3220_CARA_HILIC_neg_SIRIUS_charge0_removed_3492	-3.606	5.384
2503	C9H12N2O4	[M - H]-	1.0	62.321	12	0.99	2341_CARA_HILIC_neg_SIRIUS_charge0_removed_2503	-1.092	5.434
8271	C14H28O13	[M - H]-	1.0	63.815	14	0.919	3180_CARA_HILIC_neg_SIRIUS_charge0_removed_8271	-8.966	3.438
1882	C10H18N2O5	[M - H]-	1.0	62.388	13	0.95	3405_CARA_HILIC_neg_SIRIUS_charge0_removed_1882	-4.06	3.856
451	C10H20O3	[M - H]-	1.0	64.628	12	0.79	2477_CARA_HILIC_neg_SIRIUS_charge0_removed_451	-6.242	2.482
4515	C6H10N2O4	[M - H]-	1.0	62.171	16	0.951	4371_CARA_HILIC_neg_SIRIUS_charge0_removed_4515	2.425	6.1
4067	C7H11NO5	[M - H]-	1.0	64.564	19	0.889	1390_CARA_HILIC_neg_SIRIUS_charge0_removed_4067	-1.84	3.281
6071	C13H21N3O8	[M - H]-	1.0	64.365	27	0.815	5179_CARA_HILIC_neg_SIRIUS_charge0_removed_6071	5.235	3.953
10819	C14H21NO5	[M - H]-	1.0	64.219	19	0.57	4484_CARA_HILIC_neg_SIRIUS_charge0_removed_10819	-1.759	3.301
1840	C9H18N4O5	[M - H]-	1.0	59.53	21	0.986	1013_CARA_HILIC_neg_SIRIUS_charge0_removed_1840	-0.166	1.509
10743	C8H14N2O5	[M - H]-	1.0	60.978	19	0.895	4163_CARA_HILIC_neg_SIRIUS_charge0_removed_10743	-3.202	5.64
310	C10H26B3N3O	[M + Cl]-	1.0	63.721	28	0.357	3366_CARA_HILIC_neg_SIRIUS_charge0_removed_310	2.973	6.787
2396	C12H24O11	[M - H]-	1.0	58.44	10	0.616	5050_CARA_HILIC_neg_SIRIUS_charge0_removed_2396	0.335	3.928
3245	C7H10N2O4	[M - H]-	1.0	59.016	18	0.945	4762_CARA_HILIC_neg_SIRIUS_charge0_removed_3245	-7.459	5.73
1592	C16H32O3	[M - H]-	1.0	57.927	18	0.675	1438_CARA_HILIC_neg_SIRIUS_charge0_removed_1592	-0.621	7.551
8694	C15H28O14	[M - H]-	1.0	60.557	11	0.793	1413_CARA_HILIC_neg_SIRIUS_charge0_removed_8694	0.164	3.416
4011	C6H8O7	[M + Cl]-	1.0	54.666	14	0.933	4057_CARA_HILIC_neg_SIRIUS_charge0_removed_4011	-1.339	8.216
9851	C7H10O5	[M - H]-	1.0	63.076	9	0.78	1067_CARA_HILIC_neg_SIRIUS_charge0_removed_9851	-2.583	5.742
1952	C9H15N3O6	[M - H2O - H]-	1.0	57.728	16	0.98	4224_CARA_HILIC_neg_SIRIUS_charge0_removed_1952	-74402.181	2.103
2667	C5H9NO4	[M - H]-	1.0	57.937	15	1.0	5056_CARA_HILIC_neg_SIRIUS_charge0_removed_2667	-1.242	3.989
2048	C11H20N2O5	[M - H]-	1.0	59.339	12	0.902	2093_CARA_HILIC_neg_SIRIUS_charge0_removed_2048	-2.49	3.532
5192	C8H18O8	[M - H]-	1.0	62.547	15	0.78	1437_CARA_HILIC_neg_SIRIUS_charge0_removed_5192	-3.281	5.022
10134	C11H14O3	[M - H]-	1.0	62.426	10	0.988	4973_CARA_HILIC_neg_SIRIUS_charge0_removed_10134	1.461	3.012
1725	C5H9NO4	[M - H]-	1.0	57.604	14	1.0	1920_CARA_HILIC_neg_SIRIUS_charge0_removed_1725	0.813	3.161
1958	C13H21N3O6	[M - H]-	1.0	56.739	36	0.889	4740_CARA_HILIC_neg_SIRIUS_charge0_removed_1958	2.359	6.036
3652	C7H11NO6	[M - H]-	1.0	59.452	10	0.876	4261_CARA_HILIC_neg_SIRIUS_charge0_removed_3652	-2.747	6.57
4516	C10H15NO7	[M - H]-	1.0	61.755	14	0.511	1461_CARA_HILIC_neg_SIRIUS_charge0_removed_4516	-3.75	4.345
2094	C10H15N3O5	[M - H]-	1.0	61.643	11	0.773	4387_CARA_HILIC_neg_SIRIUS_charge0_removed_2094	-7.787	5.017
390	C13H20O4	[M - H]-	1.0	60.929	17	0.738	309_CARA_HILIC_neg_SIRIUS_charge0_removed_390	1.745	3.213
6093	C10H16N2O4	[M - H]-	1.0	55.581	22	0.961	558_CARA_HILIC_neg_SIRIUS_charge0_removed_6093	-1.015	3.473
2658	C10H15N3O6	[M - H]-	1.0	59.313	31	0.963	3570_CARA_HILIC_neg_SIRIUS_charge0_removed_2658	-0.032	4.474
2069	C8H12N2O4	[M - H]-	1.0	55.734	22	0.898	110_CARA_HILIC_neg_SIRIUS_charge0_removed_2069	-1.157	5.818
4228	C14H19N3O9	[M - H]-	1.0	59.887	13	0.781	2_CARA_HILIC_neg_SIRIUS_charge0_removed_4228	-0.948	3.532
2144	C9H16N2O6	[M - H]-	1.0	56.773	22	0.949	2318_CARA_HILIC_neg_SIRIUS_charge0_removed_2144	-1.861	6.653
4424	C12H24O3	[M - H]-	1.0	60.255	12	0.754	3744_CARA_HILIC_neg_SIRIUS_charge0_removed_4424	-4.035	7.466
1969	C8H16N4O4	[M - H]-	1.0	57.845	15	0.957	989_CARA_HILIC_neg_SIRIUS_charge0_removed_1969	-0.34	3.717
5629	C17H28O5	[M - H]-	1.0	59.94	16	0.516	4330_CARA_HILIC_neg_SIRIUS_charge0_removed_5629	-2.242	3.284
4804	C13H10O3	[M - H]-	1.0	59.862	14	0.898	5319_CARA_HILIC_neg_SIRIUS_charge0_removed_4804	-0.553	7.411
1877	C10H20N2O4	[M - H]-	1.0	56.369	16	0.954	4811_CARA_HILIC_neg_SIRIUS_charge0_removed_1877	-1.431	3.128
4656	C5H6O3	[M - H]-	1.0	56.951	7	0.502	3756_CARA_HILIC_neg_SIRIUS_charge0_removed_4656	-5.464	4.121
3945	C5H6O3	[M - H]-	1.0	56.951	7	0.502	3085_CARA_HILIC_neg_SIRIUS_charge0_removed_3945	-2.81	4.121
10796	C9H10N2O2	[M - H]-	1.0	59.293	13	0.956	2735_CARA_HILIC_neg_SIRIUS_charge0_removed_10796	-4.807	4.641
7879	C14H24O5	[M - H2O - H]-	1.0	59.089	12	0.912	187_CARA_HILIC_neg_SIRIUS_charge0_removed_7879	-71149.612	4.893
5640	C12H24O11	[M + Cl]-	1.0	48.948	11	0.298	841_CARA_HILIC_neg_SIRIUS_charge0_removed_5640	-4.386	5.153
2002	C9H17N3O4	[M - H]-	1.0	54.147	15	0.989	565_CARA_HILIC_neg_SIRIUS_charge0_removed_2002	-4.909	2.49
1955	C11H20N2O5	[M - H]-	1.0	53.765	12	0.904	1906_CARA_HILIC_neg_SIRIUS_charge0_removed_1955	-0.175	2.105
1804	C10H15N3O5	[M - H]-	1.0	53.398	21	0.941	3475_CARA_HILIC_neg_SIRIUS_charge0_removed_1804	-3.101	4.187
3288	C8H15NO4	[M - H]-	1.0	58.347	15	0.923	4767_CARA_HILIC_neg_SIRIUS_charge0_removed_3288	3.554	4.566
2018	C9H16N2O4	[M - H]-	1.0	54.074	11	0.915	3601_CARA_HILIC_neg_SIRIUS_charge0_removed_2018	-1.072	5.002
2135	C14H18N2O6	[M - H]-	1.0	55.403	18	0.832	4925_CARA_HILIC_neg_SIRIUS_charge0_removed_2135	-5.208	4.423
2627	C6H11NO4	[M - H]-	1.0	53.487	8	0.832	3491_CARA_HILIC_neg_SIRIUS_charge0_removed_2627	2.303	7.593
8255	C7H14O7S	[M - H]-	1.0	57.78	23	0.986	5492_CARA_HILIC_neg_SIRIUS_charge0_removed_8255	-1.856	4.229
2711	C8H11N3O3	[M - H]-	1.0	53.276	15	0.872	5129_CARA_HILIC_neg_SIRIUS_charge0_removed_2711	-3.39	3.947
792	C13H20O4	[M - H]-	1.0	54.815	10	0.525	638_CARA_HILIC_neg_SIRIUS_charge0_removed_792	-3.273	3.304
1680	C11H19N3O7	[M - H]-	1.0	50.48	12	0.99	1442_CARA_HILIC_neg_SIRIUS_charge0_removed_1680	-1.064	3.094
2840	C8H15N3O4	[M - H]-	1.0	52.86	11	0.967	3963_CARA_HILIC_neg_SIRIUS_charge0_removed_2840	-1.293	1.124
1760	C18H36O6	[M - H2O - H]-	1.0	54.118	16	0.72	3489_CARA_HILIC_neg_SIRIUS_charge0_removed_1760	-54705.992	4.444
4802	C6H5ClNO2	[M + Cl]-	1.0	56.943	12	0.45	2283_CARA_HILIC_neg_SIRIUS_charge0_removed_4802	2.683	3.975
3540	C5H6NO5P	[M + Cl]-	1.0	56.863	20	0.932	3634_CARA_HILIC_neg_SIRIUS_charge0_removed_3540	-9.56	10.184
4753	C5H4N4O	[M - H]-	1.0	53.77	12	0.912	3040_CARA_HILIC_neg_SIRIUS_charge0_removed_4753	0.487	8.406
2162	C7H12N2O5	[M - H]-	1.0	53.639	21	0.986	247_CARA_HILIC_neg_SIRIUS_charge0_removed_2162	1.256	3.267
4441	C9H12N2O5	[M - H]-	1.0	56.571	12	0.917	690_CARA_HILIC_neg_SIRIUS_charge0_removed_4441	5.527	2.825
2873	C15H28O14	[M - H]-	1.0	53.399	10	0.59	478_CARA_HILIC_neg_SIRIUS_charge0_removed_2873	-1.691	5.915
4609	C14H23N3O8	[M - H]-	1.0	56.419	28	0.812	4884_CARA_HILIC_neg_SIRIUS_charge0_removed_4609	7.391	6.525
431	C11H16O5	[M - H]-	1.0	53.279	9	0.951	170_CARA_HILIC_neg_SIRIUS_charge0_removed_431	-0.428	2.573
3331	C7H11NO6	[M - H]-	1.0	51.545	9	0.944	1587_CARA_HILIC_neg_SIRIUS_charge0_removed_3331	-0.297	5.427
596	C8H14O4	[M - H]-	1.0	52.733	6	0.913	892_CARA_HILIC_neg_SIRIUS_charge0_removed_596	-3.076	2.997
4951	C9H9B2NO4	[M - H]-	1.0	55.809	13	1.0	3548_CARA_HILIC_neg_SIRIUS_charge0_removed_4951	-2.127	7.226
1709	C18H36O4	[M - H]-	1.0	49.724	15	0.97	3755_CARA_HILIC_neg_SIRIUS_charge0_removed_1709	0.688	2.384
9171	C8H12N2O7	[M - H]-	1.0	55.52	21	0.904	2865_CARA_HILIC_neg_SIRIUS_charge0_removed_9171	4.152	4.521
2393	C20H38O4	[M - H]-	1.0	55.449	12	0.942	74_CARA_HILIC_neg_SIRIUS_charge0_removed_2393	0.782	1.44
5946	C8H13ClN2O5	[M - H]-	1.0	55.131	25	0.975	2674_CARA_HILIC_neg_SIRIUS_charge0_removed_5946	-4.074	4.702
6448	C13H20O2	[M - H]-	1.0	52.07	10	0.9	5442_CARA_HILIC_neg_SIRIUS_charge0_removed_6448	-0.741	4.159
1668	C23H46O3	[M - H]-	1.0	49.649	17	0.653	245_CARA_HILIC_neg_SIRIUS_charge0_removed_1668	-1.946	4.648
1872	C7H14N2O4	[M - H]-	1.0	49.844	17	0.984	559_CARA_HILIC_neg_SIRIUS_charge0_removed_1872	-1.483	3.199
2431	C7H13NO5	[M - H]-	1.0	54.939	16	1.0	4124_CARA_HILIC_neg_SIRIUS_charge0_removed_2431	2.651	2.103
11201	C14H20F2N4O4	[M - H]-	1.0	54.793	13	0.879	283_CARA_HILIC_neg_SIRIUS_charge0_removed_11201	9.025	3.3
2417	C14H16N2O4	[M - H]-	1.0	54.771	15	0.991	3500_CARA_HILIC_neg_SIRIUS_charge0_removed_2417	0.616	1.736
