rank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	3	3	N/A	-39.930067542786084	0.9999999999999999	35.04708080922101	C6H10O4	[M - H2O + H]+	WNLRTRBMVRJNCN	InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)	Adi-pure	C(CCC(=O)O)CC(=O)O	0.366065085	196;200164;3316652;12209289;12209291;12209295;16212946;16213372;22494954;57131649;56845925;87187348;90472528;101475100;102523482;123724855;124203163	HMDB:(448);PubChem class - food;SuperNatural:(SN00002078 SN00399775);ZINC bio:(ZINC01530348);additional;HSDB:(124-04-9);MeSH:(196 200164);Plantcyc:(ADIPATE);PubMed;NORMAN:(NS00005309 NS00051537);COCONUT:(CNP0165956 CNP0296801);KNApSAcK:(1178);Natural Products:(UNPD52406);PubChem:(196 200164 3316652 12209289 12209291 12209295 16212946 16213372 22494954 57131649 56845925 87187348 90472528 101475100 102523482 123724855 124203163);YMDB Mine;CHEBI:(30832 17128 30833);PubChem class - bio and metabolites;KEGG:(C06104);PubChem class - safety and toxic;Training Set;Biocyc:(ADIPATE)	34581965694	129.0539	148.132	352_CARA_HILIC_pos_SIRIUS_merge_28353
2	1	1	N/A	-128.85044010529086	0.9999999999999999	9.811047397695937	C25H50O	[M + H3N + H]+	HAGKFWXVDSAFHB	InChI=1S/C25H50O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26/h25H,2-24H2,1H3	pentacosanal	CCCCCCCCCCCCCCCCCCCCCCCCC=O	11.8999996	181174	COCONUT:(CNP0241264);Natural Products:(UNPD102988);PubChem:(181174);SuperNatural:(SN00359982)	3178498	384.4172	106.946	2885_CARA_HILIC_pos_SIRIUS_merge_3343
3	3	1	N/A	-412.17486806656797	0.010050251256281409	16.232374772548482	C24H49N5O2	[M - H2O + H]+	ATGTYGYDYULSEQ	InChI=1S/C24H49N5O2/c1-2-3-4-5-6-7-8-9-10-11-12-22-21-23(30)29(24(22)31)20-19-28-18-17-27-16-15-26-14-13-25/h22,26-28H,2-21,25H2,1H3	1-[2-[2-[2-(2-aminoethylamino)ethylamino]ethylamino]ethyl]-3-dodecylpyrrolidine-2,5-dione	CCCCCCCCCCCCC1CC(=O)N(C1=O)CCNCCNCCNCCN	3.29999995	3016464	PubChem:(3016464);NORMAN:(NS00058236)	262146	422.382	57.46	2886_CARA_HILIC_pos_SIRIUS_merge_3184
4	3	3	N/A	-47.250349090782905	0.9999999999999999	55.19491180640956	C10H18N4O6	[M - H2O + H]+	KDZOASGQNOPSCU	InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)	bmse000931	C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O	-4.69999981	828;16950;439998;445039;448718;20848891;46878376;60150382;76973358;135892301;136664755;137213834	HMDB:(52);SuperNatural:(SN00263658);ZINC bio:(ZINC01529646);additional;MeSH:(16950 60150382);Plantcyc:(L-ARGININO-SUCCINATE);PubMed;NORMAN:(NS00014794);COCONUT:(CNP0083354 CNP0243937);KNApSAcK:(19688);Natural Products:(UNPD186141);PubChem:(828 16950 439998 445039 448718 20848891 46878376 60150382 76973358 135892301 136664755 137213834);CHEBI:(15682 57472);PubChem class - bio and metabolites;KEGG:(C03406);YMDB:(593);Training Set;PubChem class - drug;Biocyc:(L-ARGININO-SUCCINATE SMA-0000546)	54520190	273.1192	187.22	3493_CARA_HILIC_pos_SIRIUS_merge_7008
5	1	1	N/A	-31.130171381833474	0.9999999999999999	47.74763039397976	C20H42O4	[M + H]+	NBPXCCCUFZBDQE	InChI=1S/C20H42O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-22-17-19-24-20-18-23-16-14-21/h21H,2-20H2,1H3	Myreth-3	CCCCCCCCCCCCCCOCCOCCOCCO	5.310781	3015324;101363083	PubChem:(3015324 101363083);NORMAN:(NS00014533)	262146	347.314	28.562	4555_CARA_HILIC_pos_SIRIUS_merge_758
6	3	3	N/A	-21.07444098549049	0.9994974874371858	48.98233577430773	C28H46O4	[M + H]+	RYGBVOASDMNHGN	InChI=1S/C28H46O4/c1-23(2)17-11-7-5-6-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3	Isononyl isoundecyl phthalate	CC(C)CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C	9.22389126	44153542	PubChem:(44153542);NORMAN:(NS00038820)	262146	447.3454	32.719	458_CARA_HILIC_pos_SIRIUS_merge_456
7	2	2	N/A	-143.1541595260743	0.9999999999999999	49.15207059473178	C27H48O5	[M + H3N + H]+	JNMALBXXJSWZQY	InChI=1S/C27H48O5/c1-16(5-4-6-17(14-28)15-29)20-7-8-21-25-22(13-24(32)27(20,21)3)26(2)10-9-19(30)11-18(26)12-23(25)31/h16-25,28-32H,4-15H2,1-3H3	Cyprinol	CC(CCCC(CO)CO)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	4.0	160665;5284188;5284215;5316285;5316286;21123870;24883433;24998886;24998887;71436760	COCONUT:(CNP0118001);Natural Products:(UNPD66893 UNPD73479 UNPD83758 UNPD32061 UNPD86390 UNPD50434);PubChem:(160665 5284188 5284215 5316285 5316286 21123870 24883433 24998886 24998887 71436760);SuperNatural:(SN00401125 SN00264844 SN00162973 SN00256685 SN00162974 SN00380024 SN00364119 SN00378186);CHEBI:(50422 37913 50421);MeSH:(160665);KEGG:(C16890);Training Set;PubMed;Biocyc:(CPD-16805)	3197286	470.3833	33.499	4660_CARA_HILIC_pos_SIRIUS_merge_5029
8	1	7	N/A	-138.72342968078956	0.010552763819095475	10.580931346775982	C16H35NO3S2	[M + Na]+	FHYXHYXRWQFHHO	InChI=1S/C16H35NO3S2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17-15-16-21-22(18,19)20/h17H,2-16H2,1H3,(H,18,19,20)	1-(2-sulfosulfanylethylamino)tetradecane	CCCCCCCCCCCCCCNCCSS(=O)(=O)O	3.5	70241	PubChem:(70241);PubChem class - safety and toxic	67108866	376.1956	131.402	5097_CARA_HILIC_pos_SIRIUS_merge_9362
9	1	1	N/A	-182.2165533637268	0.9984924623115577	103.72379277274584	C37H68O4	[M + Na]+	LSEPUSLELYQFHN	InChI=1S/C37H68O4/c1-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-35(37(39)40-4)36(41-34(3)38)33-31-29-27-25-23-20-18-16-14-12-10-8-6-2/h16,18-19,21,35-36H,5-15,17,20,22-33H2,1-4H3	null	CCCCCCCCC=CCCCCCCC(C(CCCCCCCC=CCCCCCC)OC(=O)C)C(=O)OC	13.1841888	""	COCONUT:(CNP0252069);Natural Products:(UNPD224538 UNPD81772);SuperNatural:(SN00334643)	3178496	599.4997	32.296	3128_CARA_HILIC_pos_SIRIUS_merge_13455
10	1	1	N/A	-149.82899104846933	0.032160804020100506	41.017827990199095	C6H11N2O3PS2	[M + Na]+	NKOLWEHFKWNHMV	InChI=1S/C6H11N2O3PS2/c1-5-7-8-6(11-5)4-14-12(13,9-2)10-3/h4H2,1-3H3	dimethoxy-[(5-methyl-1,3,4-oxadiazol-2-yl)methylsulfanyl]-sulfanylidene-	CC1=NN=C(O1)CSP(=S)(OC)OC	1.39999998	208268	PubChem:(208268);PubChem class - safety and toxic	67108866	276.9828	80.415	4912_CARA_HILIC_pos_SIRIUS_merge_22366
11	4	5	N/A	-118.93405921583884	0.01407035175879397	41.970632482105515	C29H44O	[M + H3N + H]+	ZQGUFZGRZKDSPC	InChI=1S/C29H44O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-11,20-21,23,25-27,30H,2,7,12-18H2,1,3-6H3	Stigmasta-5,7,22,25-tetraene-3-ol	CCC(C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C)C(=C)C	8.10000038	6443949;20839767;54560609;71339631	COCONUT:(CNP0189932);Natural Products:(UNPD22302);PubChem:(6443949 20839767 54560609 71339631);SuperNatural:(SN00347646);MeSH:(6443949 54560609 71339631);PubMed	3178566	426.3721	66.407	5466_CARA_HILIC_pos_SIRIUS_merge_5854
12	2	2	N/A	-78.32156531777773	0.9999999999999999	19.788872153784695	C9H18O4	[M + H3N + H]+	YOFIXNJYRMEPFD	InChI=1S/C9H18O4/c1-2-3-5-12-7-8-13-6-4-9(10)11/h2-8H2,1H3,(H,10,11)	3-(2-butoxyethoxy)propanoic acid	CCCCOCCOCCC(=O)O	0.699999988	81918	PubChem:(81918);NORMAN:(NS00046452)	262146	208.1533	168.924	5835_CARA_HILIC_pos_SIRIUS_merge_17425
13	2	2	N/A	-134.98246529830843	0.9999999999999999	21.466784781391045	C5H11N3O2	[M + H]+	YXWDZUGIIGEORF	InChI=1S/C5H11N3O2/c1-6-5(7-2)8-3-4(9)10/h3H2,1-2H3,(H,9,10)(H2,6,7,8)	2-[(N,N''-dimethylcarbamimidoyl)amino]acetic acid	CNC(=NC)NCC(=O)O	-0.899999976	21721259	PubChem:(21721259);PubChem class - safety and toxic	67108866	146.0916	144.862	1172_CARA_HILIC_pos_SIRIUS_merge_7188
14	3	3	N/A	-174.86889893111513	0.9999999999999999	83.8758295500358	C18H29NO3	[M + H3N + H]+	QLHTWDQJPOTDMV	InChI=1S/C18H29NO3/c1-3-4-5-6-7-8-9-10-18(21)19-14-15-11-12-16(20)17(13-15)22-2/h11-13,20H,3-10,14H2,1-2H3,(H,19,21)	n-(4-hydroxy-3-methoxybenzyl)decanamide	CCCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	4.69999981	169252	COCONUT:(CNP0164222);Natural Products:(UNPD168764);PubChem:(169252);SuperNatural:(SN00237646);PubChem class - safety and toxic;PubMed	70287426	325.2464	66.945	1883_CARA_HILIC_pos_SIRIUS_merge_7259
15	1	1	N/A	-144.69092822679264	0.49447236180904536	47.79213356152435	C8H18N2O2	[M + Na]+	DIKPQFXYECAYPC	InChI=1S/C8H18N2O2/c1-2-3-6-10(9-12)7-4-5-8-11/h11H,2-8H2,1H3	Butylbutanol nitrosamine	CCCCN(CCCCO)N=O	2.25471306	19665	PubChem:(19665);CHEBI:(91275);MeSH:(19665);PubChem class - safety and toxic;PubMed;KEGG Mine	8657043558	197.1262	55.272	1691_CARA_HILIC_pos_SIRIUS_merge_4957
16	4	3	N/A	-51.21413100486211	0.5150753768844222	7.903888057713908	C18H36N6O4	[M + H]+	PKGGWLOLRLOPGK	InChI=1S/C18H36N6O4/c1-5-11(4)14(19)16(26)24-13(9-10(2)3)15(25)23-12(17(27)28)7-6-8-22-18(20)21/h10-14H,5-9,19H2,1-4H3,(H,23,25)(H,24,26)(H,27,28)(H4,20,21,22)	2-[[2-[(2-amino-3-methylpentanoyl)amino]-4-methylpentanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid	CCC(C)C(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)O)N	0.0980472192	18221790;25217846	COCONUT:(CNP0346986);Training Set;PubChem:(18221790 25217846);additional	2637826	401.2853	181.77	1422_CARA_HILIC_pos_SIRIUS_merge_9388
