rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
1	C18H31NO	[M + H]+	C18H31NO	0.9999999999999999	365.2278603417876	365.2278603417876	0.0	55	0.9835499965025154	14.877380868971823	14.877380868971823	0.21181079700766095	278.2479	30.758	4043_CARA_HILIC_pos_SIRIUS_merge_16471
2	C13H22O2	[M + H3N + H]+	C13H25NO2	0.9999999999999999	333.7077896425592	328.7990980634408	4.908691579118421	51	0.9191509090072498	15.627584331005167	15.627584331005167	-2.6533953848657394	228.1952	32.106	4767_CARA_HILIC_pos_SIRIUS_merge_7
3	C13H25NO3	[M - H2O + H]+	C13H23NO2	0.9999999999999999	330.51790582111295	330.51790582111295	0.0	51	0.7435654046509255	17.332540384459815	17.332540384459815	-79630.50700831726	226.1799	33.527	4986_CARA_HILIC_pos_SIRIUS_merge_9
4	C20H36N4O	[M + H3N + H]+	C20H39N5O	0.9999999999999999	264.5630712299627	264.5630712299627	0.0	44	0.7373512914918599	-5.370545427755001	5.682157527250252	5.3577602314779185	366.3247	28.972	6509_CARA_HILIC_pos_SIRIUS_merge_22133
5	C17H38BN3O5	[M - H2O + H]+	C17H36BN3O4	0.9999999999999999	263.8099976651947	263.8099976651947	0.0	55	0.9682211445729478	0.1840517540080362	7.254791154252917	-50414.85993844905	357.2887	33.475	3208_CARA_HILIC_pos_SIRIUS_merge_4140
6	C13H20O3	[M + H3N + H]+	C13H23NO3	0.9999999999999999	247.15734565044218	247.15734565044218	0.0	49	0.9528268796300404	-9.56600719905273	10.560602940418411	-6.896083923821462	242.1734	29.8	3569_CARA_HILIC_pos_SIRIUS_merge_292
7	C11H16O2	[M + H3N + H]+	C11H19NO2	0.9999999999999999	244.09172601302745	242.32290431763522	1.768821695392234	45	0.9705417873015126	-3.529903018228259	4.116759736470298	-2.297773237239663	198.1484	60.3	3847_CARA_HILIC_pos_SIRIUS_merge_7828
7	C11H16O2	[M + H3N + H]+	C11H19NO2	0.9999999999999999	242.19716918380385	240.17010319901152	2.027065984792335	44	0.9681025772275851	-3.316427428103908	3.8804774232381405	-3.3071210867850374	198.1482	60.296	2162_CARA_HILIC_pos_SIRIUS_merge_5847
7	C11H16O2	[M + H3N + H]+	C11H19NO2	0.9999999999999999	237.34342858757515	237.34342858757515	0.0	46	0.9399724398901603	-2.702634145112974	4.749324546487886	3.2536035138005053	198.1495	30.65	3978_CARA_HILIC_pos_SIRIUS_merge_183
8	C18H30O2	[M + H3N + H]+	C18H33NO2	0.9999999999999999	230.59240901086244	230.59240901086244	0.0	39	0.6670969367005025	-6.326825152816292	8.52223201025333	-8.795601944533223	296.2558	31.023	3641_CARA_HILIC_pos_SIRIUS_merge_7844
