#OTU ID	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_1_JG	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_3_MX	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_7_NMC	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
Propionibacteriaceae	3983.7120000000004	7884.245591999999	6495.667745504331	10665.144	11440.695491999999	11169.604956830393	8574.963260574965	10279.107262279107	11315.564460684436	6741.286422741287	3509.4144	4490.872799999999	840.2027999999997	43.97520000000001	79.658412	11987.3172	10016.91139398309	1084.4292	7080.943908	3934.8696000000004	8214.375600000001	7309.117200000001	10925.118	11410.74468	3156.155684843844	11799.164436	11387.931648612068	5507.631599999999	10694.115468	11079.371819079375	7850.044384149955	1982.2301999999995	10204.66458	429.7164000000002	3866.918791733837	11300.206800000002	10180.16862	11686.07886	8808.2328	4944.936000000001	11868.639611999999	269.5475517304524	11454.6888	9721.293599999999	10213.135369786865	2435.0565575649434	2375.4667103754673	10439.523599999999	5375.9230800000005	9189.779078810221	10758.496799999999	6187.098042187098	11347.89474	8866.9416	11955.802800000001
Staphylococcus caprae or capitis	6344.628	3936.909996	2542.1145454578855	1232.7539999999997	543.670908	8.5751999914248	2933.3870909333878	843.9373688439374	548.8511394511489	7.290000007290001	7892.358	6112.3355999999985	2151.5579999999995	11280.928800000002	11731.193976	9.634799999999997	1951.1230060488772	7559.608799999999	4759.78608	5408.557199999999	3774.9948	3524.3772	1067.8092000000001	192.744036	8670.327927329672	55.765188	27.5351999724648	6339.871199999998	1277.1025319999999	66.71281206671281	3487.422344512577	17.221199999999996	4.410000000000001	33.22080000000002	116.1168122322336	562.2252	1704.092568	21.830400000000004	226.27319999999995	897.2447999999999	10.1352	11583.968472416029	545.0568	2254.7291999999998	595.5107394044894	5569.024242430975	9039.987921039989	1426.6631999999997	4967.060196000001	2800.3737211996263	1195.1316	4520.546104520546	634.48086	612.2832000000001	5.343600000000001
Staphylococcus epidermidis	1667.7239999999997	1.8696	2520.5253454794743	66.49919999999999	12.655199999999999	736.4230552635768	12.711600012711603	846.6469688466472	8.713199991286801	64.18082406418083	492.12000000000006	778.1351999999998	0.43319999999999986	186.69120000000004	164.06401200000002	0.32279999999999986	5.733599994266401	3150.7188	157.192812	7.590000000000001	7.8576	1129.9080000000004	6.5712	281.85006	142.565987857434	41.738388	487.50355151249636	139.17239999999998	15.4116	30.711612030711613	324.9624356750375	9960.220188	1768.6030200000002	9954.518400000003	3429.2643548585283	2.0028	14.913599999999999	41.02438800000001	2742.0672	0.8388	60.903588	124.91157587508843	0.042	6.243599999999998	28.654799971345206	3959.804000040195	66.09002406609004	15.493199999999995	999.6074040000002	5.777999994222	21.354000000000006	1164.528229164528	2.0951999999999997	440.8044	0.0
Staphylococcus hominis	2.0867999999999998	0.0	9.1295999908704	1.2216	0.5928	35.49958796450041	1.7064000017064003	14.4936000144936	0.26639999973360007	5099.334329099335	16.8588	354.24599999999987	0.16319999999999998	99.23160000000001	1.3416	2.1047999999999996	0.0	19.548	0.0756	1.2624000000000002	2.5872	32.40360000000001	0.0	34.88161199999999	5.287199994712801	6.869999999999999	0.49319999950680005	0.19679999999999992	1.7664	5.5068000055068	1.4951999985047997	21.721212	4.284000000000001	36.05280000000001	167.23681233447363	0.0	0.0	0.0	25.5612	0.0	1.6476000000000004	10.736399989263601	0.0	7.4124	0.9695999990304001	0.0	17.1432000171432	42.249599999999994	24.841200000000004	0.5363999994636	0.0	1.5864000015864	0.030000000000000006	27.675600000000003	38.53080000000001
Other Staphylococci	0.0	0.0	0.10079999989920001	2.8115999999999994	0.0	5.3735999946263995	0.0	0.0	0.33479999966519997	11.274000011274	0.16560000000000002	5.164799999999998	104.99399999999994	60.387600000000006	0.5147999999999999	0.0	0.3971999996028	81.92399999999999	0.0	10.432799999999999	0.0	0.38759999999999994	0.0	0.0	12.14999998785	0.2004	9.2543999907456	0.0	0.0	16.8204000168204	0.013199999986799998	0.2472	0.14280000000000004	6.2676000000000025	2.148000004296	0.0	0.0	0.5292000000000002	5.896800000000001	0.0	0.4092	0.0	0.0	0.0	66.31919993368082	0.965999999034	1.8552000018552006	19.945199999999996	0.0	0.6647999993351998	0.0	2.7576000027575995	0.114	193.55640000000002	0.0
Polyomavirus HPyV6	0.0	0.0	38.89199996110799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.8084	0.0	8847.3408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8111999961888	0.0	1.3872	0.0	0.0	0.0	1.2372	10.798800000000004	739.6632734793266	0.0	0.0	0.0	2.9844000000000004	6153.5352	0.0	0.0	0.0	0.0	0.0	0.0	0.8088000008088001	0.0	509.1912960000001	0.0	0.0	1.224000001224	0.0	0.0	0.0
Polyomavirus HPyV7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.1564122683128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Merkel Cell Polyomavirus	0.0	0.0	380.9471636190528	0.0	0.0	3.0167999969832002	11.337600011337605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.311200000000001	288.48366028848375	335.48403566451594	1.7615999999999998	0.0	28.25280000000001	2531.714657063429	133.302	0.0	0.0	35.7192	0.0	0.0	0.0	0.0	0.0	0.0	28.043999971955998	0.0	0.0	2.9208000000000007	0.0	0.0	64.99321206499322	0.0	0.0	0.0
Malasseziaceae	0.0	176.353212	0.6671999993327999	20.8344	0.0	1.6439999983560003	457.8852484578853	1.2528000012528002	0.14879999985120002	60.61682406061683	1.6451999999999998	36.0828	39.75239999999999	3.3240000000000007	0.4824	0.08399999999999999	0.0395999999604	2.9148000000000005	0.9491999999999999	2636.2692	0.0	0.0	0.5016000000000002	75.958812	1.0631999989368002	0.0	10.826399989173598	0.3515999999999999	0.39239999999999997	16.6656000166656	0.3107999996891999	0.0	0.14280000000000004	0.2568000000000001	5.1588000103175995	1.4028000000000003	2.3939999999999997	12.291600000000003	0.0	0.0	54.234	0.45959999954039993	0.0	1.308	15.245999984754	3.50999999649	417.4057204174058	14.323199999999996	32.96281200000001	0.15119999984879998	0.0	1.626000001626	1.9980000000000002	1249.1952	0.14760000000000004
Corynebacteriaceae	0.0	0.17160000000000003	0.23999999976000003	3.1355999999999993	0.0	1.5395999984603996	0.7656000007656002	1.4820000014820003	9.380399990619601	12.403200012403197	0.0	7.681199999999998	2.5787999999999998	235.09080000000006	19.579199999999997	0.0	0.0	3.3816	0.1848	0.13799999999999998	0.054	0.9792000000000001	0.0	0.1848	0.19319999980680005	63.437988000000004	9.898799990101201	0.08999999999999998	0.0	2.4024000024023997	0.0	0.0	0.15000000000000005	171.46560000000005	23.0616000461232	0.24600000000000005	0.12119999999999999	220.858752	1.3968	0.0	0.6000000000000001	2.9915999970084	0.0	1.2995999999999999	940.1423030598579	2.6651999973348	0.5652000005652	2.232	0.0	0.0	0.0	0.0	0.0	1.8816000000000002	0.020400000000000005
