Eigvals	3
27.156727192277668	22.363768134824728	12.390016392162508

Proportion explained	3
0.5301325865930588	0.3595171425597708	0.11035027084717038

Species	12	3
Propionibacteriaceae	-8.496633683132794	0.4965021703697259	3.4351674119168822
Staphylococcus caprae or capitis	-8.794794375292916	1.54344768523372	-7.925538981658139
Staphylococcus epidermidis	5.302166180511557	-12.728322052036427	0.0273564797183612
Staphylococcus hominis	0.6413600023889596	12.928937576639942	6.272050113602864
Other Staphylococci	-5.987326183541379	-0.5164042759269528	2.058723416439428
Polyomavirus HPyV6	11.811178640217499	10.183269291278414	-5.1204596370163245
Polyomavirus HPyV7	10.816986996915654	-1.672053293254193	-0.16036520643572316
Merkel Cell Polyomavirus	6.4755754269502965	-1.8950902569537431	-0.25942854904627366
Malasseziaceae	-13.726443947406146	-0.36033879417992937	-1.5460193456217357
Corynebacteriaceae	-2.3024450268019594	2.182556314982247	-0.3401170555460085
Micrococcaceae	5.47220175965428	-4.227627218033911	2.0711621609168
Other families	-1.2118257904630538	-5.934877148118897	1.4874691927298795

Site	1225	3
X940001	-0.002670902013685489	0.0012939977579726476	0.0021717387435138758
X940002	-0.003611422386257081	0.013212111643945377	0.009220308860519263
X940005	0.016431391267109855	0.029841890025406187	0.010530072743081645
X940007	-0.00576897477946088	0.0054559349776673845	0.010608081881098495
X940010	0.02454418686202294	-0.01701842633696416	0.04336689730902561
X940013	0.004502271633933092	0.010623330501766514	0.0021515851318246095
X940014	-0.06372389471801015	0.0173601758327958	0.01713344787357563
X940015	0.0008029009484725258	-0.021256332898513877	0.0006648502752177337
X940019	-0.04587172613562633	0.03702460947018177	0.05012393268436589
X940021	-0.05329595365676386	0.0063626296621237645	-0.03549301261119893
X940022	0.005912910141108221	-0.014627607880577697	0.010316222669394165
X940024	0.015174574710469098	0.01930335626212198	-0.014595711081015846
X940025	-0.0034775007313127067	0.012928359946109625	0.02133716379882602
X940026	0.04293676255203138	0.03205823943099106	-0.00854514562554879
X940027	0.015382905173942904	0.009123401981396828	0.009813809726762263
X940028	-0.004431135471017022	0.01631348591206801	0.011045045411823448
X940029	0.0005318760846509409	-0.010716598281147691	0.0030887018976120304
X940031	0.001528603369122307	0.016769379665881295	0.008193752867760399
X940032	0.008973066707555563	-0.0001002093200904047	-0.01084625266272937
X940034	0.029281173407914706	0.021353795499479338	0.0031490621284536984
X940040	-0.015448641428865081	0.014801739211254659	-0.002132622086221576
X940043	0.0006881147104513185	0.006070937179351148	0.003721571119998917
X940045	0.0034687765562309734	0.0658037367440326	0.04892305098895029
X940047	-0.04581011765956671	0.005701288242255789	-0.041016668132691204
X940048	-0.014894598083418809	0.006253343869290966	0.014133274531759773
X940049	0.00327041715306809	0.010541329678216254	0.007799495367573846
X940050	0.004207006002315507	-0.045891097482411214	-0.006920746546267875
X940053	-0.0269714235540235	-0.016968804104425552	-0.0020964545786807125
X940054	-0.033937563884718115	0.018816935776056472	-0.01682284402274754
X940055	-0.01139566859518259	-0.012951424334288125	0.044395231743330286
X940056	0.03554026647377387	-0.02090903906513097	0.029740422974854495
X940058	-0.002293620625363117	0.017518195587968535	0.014432680398221714
X940059	-0.003363209766099282	0.009900362122232225	0.0016150611795129513
X940062	0.0034801837337003964	-0.04101148099447342	0.00061049028244906
X940069	-0.008743246345519774	-0.0015038408276238202	-0.016142386636609326
X940071	-0.018685383994082833	-0.016840137324383414	-0.06165229735024885
X940072	-9.067128515989276e-05	-0.003919944540329952	-0.012542812839251044
X940073	-0.10186009596788086	-0.03077753559120359	0.0204739977112244
X940074	-0.00607802306531749	0.007554680392881509	-0.030648890446113075
X940079	-0.07257182542965773	0.002452320971337753	-0.03460373564248463
X940080	0.0017185110837602423	0.02317591099045361	-0.0038607210033105143
X940082	0.012914286959217742	-0.02449996221842867	-0.005295095958143063
X940084	0.0025519057326179556	-0.03318810958304234	-0.0031107168731910385
X940086	0.05071299440146316	0.04437955175364549	0.009438084786028766
X940089	0.029660934360341246	-0.0037448589452213415	-0.006234037312892014
X940091	0.027965856405383696	0.08430003576748178	0.08079931735048745
X940092	0.030712385517316643	-0.026280597830841065	0.017156012059534646
X940093	-0.009286782747819739	-0.0004337132586222428	0.004420224888931261
X940094	-0.05054353427567931	-0.08994541184224047	0.146490346358446
X940097	-0.009102319757204526	-0.0004862773505263853	0.007630176978273846
X940102	0.012302365176433235	0.0115642145049878	-0.003005987121035243
X940104	0.0038184396404611987	-0.00454793004083848	0.008048482429662884
X940108	0.0014094135931247602	0.003985319960553237	0.01092259384741164
X940110	-0.04396551670677466	-0.029465319710116317	-0.0008955975608310724
X940112	-0.10180775894063951	0.01265530536505465	0.06204363915396364
X940115	-0.004039450960197514	-0.010706635961311117	0.020525644118220984
X940120	0.008917399877515995	0.03175921220169309	0.005659978183540641
X940121	-0.0211353814385776	-0.03688286241221712	-0.007810639970934567
X940126	0.0010338126437363583	-0.007015469084250738	-0.020327901295736073
X940127	-0.014457505105585999	-0.000611049564843915	0.006290646309592889
X940129	0.024552770500309608	0.05250541876928639	0.00063503795104139
X940130	-0.014127472909873078	0.016269824762489477	0.026369508971001116
X940133	-0.030616238265924103	-0.017176552816129717	0.006032211509988269
X940136	0.02017407405568459	0.011267705360443544	-0.00845997674799239
X940143	-0.0058910990208361404	-0.008169622013388595	0.004818161897238628
X940145	-0.007045610489023078	-0.0028056665596431197	-0.0034535775573195137
X940147	0.019515730459121604	-0.016944239814155337	0.0052968642898709485
X940148	-0.013510194840930547	-0.017851282388413988	-0.008784190016146299
X940152	0.007319967621335263	-0.012367830026201222	0.006085491165924955
X940154	-0.01041134208551624	0.011251473588833943	-0.02158381995516184
X940156	0.010677524592031327	0.012264769714043468	-0.0383943035638089
X940158	-0.00495614727106929	-0.009700366278267305	-0.03157803674668985
X940163	-0.024509215621117835	-0.02959398655646472	-0.027549720728386795
X940168	-0.059854624156611434	-0.06440595275882897	-0.008708833757440837
X940174	-0.053887075155995515	0.0634729755692026	0.07616542866380283
X940176	-0.0008944269613652958	-0.03069467881073826	-0.017343890474903683
X940178	0.0007509802761792145	-0.019046225865451512	-0.001499080367055307
X940179	-0.012927827158894786	0.010110367979299982	0.00770272166487014
X940182	-0.006897075545380442	0.02065376776142207	-0.018919721469564478
X940184	-0.07342764624109074	-0.0253236296504562	0.02444302991735582
X940185	-0.007712723568073991	0.02480064694462194	-0.049078220670474286
X940186	0.018880055245136952	-0.0004751696016772575	-0.023673799778492405
X940189	0.023565232610293647	-0.02615381026314955	-0.0039301317452609865
X940193	-0.020300026705235702	-0.018736530781221308	0.02669130519005659
X940203	0.026032900877712567	-0.06998678068073055	-0.011979258081374525
X940211	-0.0057075014054891815	0.002263794393413244	-0.005052735238493426
X940213	-0.010610933636994337	-0.027999650176899874	-0.022676570534119207
X940214	-0.012815252624250035	0.0102392803536223	0.015027970119544739
X940217	-0.008379451909678644	-0.011338012067403714	-0.010686055352676692
X940222	0.011598633952889069	0.027909351166986455	0.010953063106154742
X940223	-0.06146066223340939	-0.01467049942832311	-0.053597096499324905
X940227	-0.060355269715172286	-0.016611370627433952	-0.008918439017134489
X940230	0.028182888051987157	0.0016590877168750117	-0.005588386722934307
X940232	0.01280642653363402	-0.0007999001508622874	0.00569139033737803
X940233	0.023120076077874193	0.01823425872230703	-0.007422565610857581
X940237	-0.011609574527674154	-0.004565999421277431	0.019823824801887952
X940239	0.0076811790068739795	0.15524971741097854	0.09191126328138605
X940244	0.0014056071282276012	0.029036679148300378	-0.0041223553633219015
X940248	-0.030635575007291322	-0.008753641217336149	-0.012298048211432589
X940251	-0.0017725749898408272	0.029814505801528567	-0.01645316608421373
X940256	-0.038496757115591196	0.0034915273824824636	-0.022123198578952376
X940259	0.026437694907707386	-0.009224403423136572	-0.001735120098738242
X940261	-0.006469916148851664	-0.013671968596083238	0.022056894827295823
X940264	0.020122179996124184	0.009892497775201315	-0.026101103165747
X940270	0.0032463312129062745	-0.0194511219108126	-0.010469007114351772
X940271	-0.017096858450932	0.015200837505822646	-0.0073638544991601615
X940278	0.010947867145121403	-0.0030453121498600186	0.013770404418197936
X940281	0.003004578238462711	0.040428746981313254	0.005650517352100722
X940284	0.012542497767547874	0.008398089556443094	-0.025632619775784782
X940286	-0.05777702789137453	0.030627168841346315	0.04718111839088036
X940287	-0.005330224731146211	-0.03197123979198327	0.005749420130988201
X940288	-0.03086199948535765	-0.014939764213170916	0.0044901513187073794
X940291	0.005997258409050108	0.005833459542747686	0.008130406529152505
X940297	0.009945954690548054	0.010975717220529722	-0.010627011996475203
X940301	-0.0022786700244951568	0.00979851906145173	-0.00461221295396113
X940302	0.008571713265619105	0.03848001960231551	0.000829373398648319
X940303	0.03173134834050551	0.0025261744332504207	-0.02700441703857038
X940305	0.006521963516618187	0.017127585398091425	0.010628539026302224
X940306	-0.038428482112296436	-0.008387603448363605	0.010813191577056938
X940309	-0.005389061735524968	-0.005213891573843149	0.007148919929638031
X940312	0.006610608755216413	0.017776712030737444	0.01722094795616894
X940314	0.00019377426518081168	0.008237431698817037	0.005417394643055697
X940322	-0.04329616226892913	-0.01897462945642546	0.06338707356784135
