Major_Taxa	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_1_JG	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_3_MX	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_7_NMC	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
Propionibacteriaceae	0.331976	0.657020466	0.541305646	0.888762	0.953391291	0.930800414	0.714580271	0.856592271	0.942963706	0.5617738680000001	0.2924512	0.3742394	0.07001689999999999	0.0036646	0.006638201	0.9989431	0.834742617	0.09036910000000001	0.590078659	0.3279058	0.6845313000000001	0.6090930999999999	0.9104265	0.95089539	0.26301297399999995	0.983263703	0.948994305	0.4589693	0.891176289	0.9232809839999999	0.654170366	0.16518585	0.850388715	0.0358097	0.322243232	0.9416839	0.848347385	0.9738399050000001	0.7340194	0.412078	0.989053301	0.022462296	0.9545574	0.8101077999999999	0.8510946149999999	0.20292138	0.197955559	0.8699603	0.44799359	0.765814924	0.8965413999999999	0.515591503	0.945657895	0.7389118	0.9963169
Staphylococcus caprae or capitis	0.528719	0.328075833	0.211842879	0.1027295	0.045305909	7.146e-4	0.244448924	0.070328114	0.045737595	6.075e-4	0.6576965	0.5093613	0.1792965	0.9400774	0.977599498	8.029e-4	0.162593584	0.6299674	0.39664884	0.4507131	0.3145829	0.2936981	0.0889841	0.016062003	0.722527328	0.004647099	0.0022946	0.5283226	0.106425211	0.005559401	0.290618529	0.0014351	3.675e-4	0.0027684	0.009676401	0.0468521	0.142007714	0.0018192	0.0188561	0.0747704	8.446e-4	0.965330707	0.0454214	0.1878941	0.049625895	0.464085354	0.753332326	0.1188886	0.413921683	0.233364477	0.0995943	0.376712175	0.052873405	0.0510236	4.453e-4
Staphylococcus epidermidis	0.138977	1.558e-4	0.210043779	0.0055416	0.0010546	0.061368588	0.0010593	0.070553914	7.261e-4	0.005348402	0.04101	0.0648446	3.61e-5	0.0155576	0.013672001	2.69e-5	4.778e-4	0.2625599	0.013099401	6.325e-4	6.548e-4	0.094159	5.476e-4	0.023487505	0.011880499	0.003478199	0.040625296	0.0115977	0.0012843	0.002559301	0.027080203	0.830018349	0.147383585	0.8295432	0.285772029	1.669e-4	0.0012428	0.003418699	0.2285056	6.99e-5	0.005075299	0.010409298	3.5e-6	5.203e-4	0.0023879	0.329983667	0.005507502	0.0012911	0.083300617	4.815e-4	0.0017795	0.097044019	1.746e-4	0.0367337	0
Staphylococcus hominis	1.739e-4	0	7.608e-4	1.018e-4	4.94e-5	0.002958299	1.422e-4	0.0012078	2.22e-5	0.424944527	0.0014049	0.0295205	1.36e-5	0.0082693	1.118e-4	1.754e-4	0	0.001629	6.3e-6	1.052e-4	2.156e-4	0.0027003	0	0.002906801	4.406e-4	5.725e-4	4.11e-5	1.64e-5	1.472e-4	4.589e-4	1.246e-4	0.001810101	3.57e-4	0.0030044	0.013936401	0	0	0	0.0021301	0	1.373e-4	8.947e-4	0	6.177e-4	8.08e-5	0	0.0014286	0.0035208	0.0020701	4.47e-5	0	1.322e-4	2.5e-6	0.0023063	0.0032109
Other Staphylococci	0	0	8.4e-6	2.343e-4	0	4.478e-4	0	0	2.79e-5	9.395e-4	1.38e-5	4.304e-4	0.008749499999999999	0.0050323	4.29e-5	0	3.31e-5	0.006827	0	8.694e-4	0	3.23e-5	0	0	0.0010125	1.67e-5	7.712000000000001e-4	0	0	0.0014017	1.1e-6	2.06e-5	1.19e-5	5.223000000000001e-4	1.79e-4	0	0	4.41e-5	4.914e-4	0	3.41e-5	0	0	0	0.0055266	8.05e-5	1.5460000000000002e-4	0.0016621	0	5.54e-5	0	2.298e-4	9.5e-6	0.0161297	0
Polyomavirus HPyV6	0	0	0.003241	0	0	0	0	0	0	0	0.0071507	0	0.7372784	0	0	0	0	0	0	0	0	0	0	0	0	0	3.176e-4	0	1.156e-4	0	0	0	1.031e-4	8.999e-4	0.061638606	0	0	0	2.487e-4	0.5127946	0	0	0	0	0	0	6.74e-5	0	0.042432608	0	0	1.02e-4	0	0	0
Polyomavirus HPyV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011179701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merkel Cell Polyomavirus	0	0	0.031745597	0	0	2.514e-4	9.448e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.926e-4	0.024040305	0.027957003	1.468e-4	0	0.0023544	0.210976221	0.0111085	0	0	0.0029766	0	0	0	0	0	0	0.002337	0	0	2.434e-4	0	0	0.005416101	0	0	0
Malasseziaceae	0	0.014696101	5.56e-5	0.0017362	0	1.37e-4	0.038157104	1.044e-4	1.24e-5	0.005051402	1.371e-4	0.0030069	0.0033127	2.77e-4	4.02e-5	7e-6	3.3e-6	2.429e-4	7.91e-5	0.2196891	0	0	4.18e-5	0.006329901	8.86e-5	0	9.022e-4	2.93e-5	3.27e-5	0.0013888	2.59e-5	0	1.19e-5	2.14e-5	4.299e-4	1.169e-4	1.995e-4	0.0010243	0	0	0.0045195	3.83e-5	0	1.09e-4	0.0012705	2.925e-4	0.03478381	0.0011936	0.002746901	1.26e-5	0	1.355e-4	1.665e-4	0.1040996	1.23e-5
Corynebacteriaceae	0	1.43e-5	2e-5	2.613e-4	0	1.283e-4	6.38e-5	1.235e-4	7.817e-4	0.0010336	0	6.401e-4	2.1490000000000002e-4	0.019590899999999998	0.0016316	0	0	2.818e-4	1.54e-5	1.15e-5	4.5e-6	8.16e-5	0	1.54e-5	1.61e-5	0.005286499	8.249e-4	7.5e-6	0	2.002e-4	0	0	1.25e-5	0.014288799999999999	0.0019218	2.05e-5	1.01e-5	0.018404896	1.164e-4	0	5e-5	2.493e-4	0	1.083e-4	0.07834519200000001	2.221e-4	4.71e-5	1.86e-4	0	0	0	0	0	1.5680000000000002e-4	1.7e-6
