Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
2			< 0.1
4	< 0.1		< 0.1
8	< 0.1		< 0.1
12	< 0.1	< 0.1	
16	< 0.1	< 0.1	
17	< 0.01	< 0.01	
19	< 0.1	< 0.1	
20	< 0.1	< 0.1	< 0.1
22		< 0.1	< 0.1
25		< 0.1	
33			< 0.1
34	< 0.1	< 0.01	
36	< 0.1	< 0.1	
39	< 0.1	< 0.1	
57			< 0.1
60	< 0.1	< 0.1	
68	< 0.1		
69	< 0.1	< 0.1	
77	< 0.1	< 0.1	
80	< 0.1	< 0.1	< 0.1
82	< 0.1	< 0.1	
94		< 0.1	
102	< 0.1	< 0.1	
105		< 0.1	
155	< 0.1	< 0.1	
160	< 0.1	< 0.01	
174			< 0.1
175		< 0.1	
184	< 0.01	< 0.1	
192	< 0.1	< 0.01	
193		< 0.1	
199	< 0.1	< 0.1	
200			< 0.1
215		< 0.1	
219	< 0.1	< 0.1	
237	< 0.01	< 0.001	
299	< 0.1	< 0.1	< 0.1
314			< 0.1
329	< 0.1	< 0.1	< 0.1
336	< 0.1		< 0.1
337	< 0.1	< 0.1	< 0.1
340	< 0.01	< 0.01	< 0.1
342	< 0.01	< 0.01	
356	< 0.1	< 0.1	< 0.1
361			< 0.1
374		< 0.1	
375	< 0.1	< 0.1	< 0.01
377		< 0.1	
379	< 0.1	< 0.01	
381	< 0.1		
385	< 0.01	< 0.01	
386	< 0.1	< 0.1	
389	< 0.01	< 0.01	
391	< 0.001	< 0.001	
396	< 0.01	< 0.01	
397		< 0.1	
398			< 0.1
399			< 0.1
400	< 0.01	< 0.01	
404			< 0.1
409	< 0.01	< 0.001	
411			< 0.1
412	< 0.1	< 0.01	
416		< 0.1	
417			< 0.1
420		< 0.1	
427	< 0.1		
434		< 0.1	
454		< 0.1	
456		< 0.1	
457	< 0.01	< 0.01	
458	< 0.01	< 0.01	
459		< 0.1	
462	< 0.1		< 0.1
464		< 0.1	
466	< 0.1	< 0.1	
469	< 0.01	< 0.01	
470		< 0.1	
473		< 0.1	< 0.1
482	< 0.01	< 0.001	
486	< 0.1	< 0.1	
492	< 0.1	< 0.1	< 0.1
494	< 0.1		
499	< 0.001	< 0.001	< 0.001
502		< 0.1	
506		< 0.1	
509	< 0.1	< 0.1	
519		< 0.1	
522			< 0.1
524			< 0.01
528			< 0.1
529	< 0.01	< 0.01	
532			< 0.1
535		< 0.1	
536	< 0.1	< 0.01	< 0.01
537	< 0.1	< 0.01	
548	< 0.1	< 0.001	
549	< 0.001	< 0.001	
552			< 0.1
558	< 0.1	< 0.1	
562	< 0.1	< 0.01	
563	< 0.1	< 0.1	
566	< 0.1	< 0.001	
567			< 0.1
568		< 0.1	
571	< 0.1	< 0.1	
572			< 0.1
573			< 0.1
576		< 0.1	
578		< 0.1	
581			< 0.1
584	< 0.1		
587		< 0.1	
588	< 0.1	< 0.01	< 0.1
590			< 0.1
597			< 0.1
598	< 0.1	< 0.01	
604	< 0.1		
605	< 0.01	< 0.1	< 0.1
606	< 0.1		
608		< 0.1	
610	< 0.1	< 0.1	< 0.01
614			< 0.1
