Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2			Up, < 0.1
4	Dn, < 0.1		Up, < 0.1
8	Dn, < 0.1		Up, < 0.1
12	Dn, < 0.1	Dn, < 0.1	
16	Dn, < 0.1	Dn, < 0.1	
17	Up, < 0.01	Up, < 0.01	
19	Dn, < 0.1	Dn, < 0.1	
20	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
22		Up, < 0.1	Up, < 0.1
25		Dn, < 0.1	
33			Up, < 0.1
34	Up, < 0.1	Up, < 0.01	
36	Dn, < 0.1	Dn, < 0.1	
39	Dn, < 0.1	Dn, < 0.1	
57			Up, < 0.1
60	Dn, < 0.1	Dn, < 0.1	
68	Dn, < 0.1		
69	Dn, < 0.1	Dn, < 0.1	
77	Dn, < 0.1	Dn, < 0.1	
80	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
82	Dn, < 0.1	Dn, < 0.1	
94		Up, < 0.1	
102	Dn, < 0.1	Dn, < 0.1	
105		Dn, < 0.1	
155	Dn, < 0.1	Dn, < 0.1	
160	Dn, < 0.1	Dn, < 0.01	
174			Dn, < 0.1
175		Up, < 0.1	
184	Dn, < 0.01	Dn, < 0.1	
192	Up, < 0.1	Up, < 0.01	
193		Up, < 0.1	
199	Up, < 0.1	Up, < 0.1	
200			Up, < 0.1
215		Dn, < 0.1	
219	Dn, < 0.1	Dn, < 0.1	
237	Up, < 0.01	Up, < 0.001	
299	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
314			Up, < 0.1
329	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
336	Dn, < 0.1		Up, < 0.1
337	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
340	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
342	Up, < 0.01	Up, < 0.01	
356	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
361			Up, < 0.1
374		Up, < 0.1	
375	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
377		Dn, < 0.1	
379	Up, < 0.1	Up, < 0.01	
381	Dn, < 0.1		
385	Up, < 0.01	Up, < 0.01	
386	Dn, < 0.1	Dn, < 0.1	
389	Dn, < 0.01	Dn, < 0.01	
391	Dn, < 0.001	Dn, < 0.001	
396	Dn, < 0.01	Dn, < 0.01	
397		Dn, < 0.1	
398			Up, < 0.1
399			Up, < 0.1
400	Dn, < 0.01	Dn, < 0.01	
404			Dn, < 0.1
409	Dn, < 0.01	Dn, < 0.001	
411			Up, < 0.1
412	Up, < 0.1	Up, < 0.01	
416		Dn, < 0.1	
417			Up, < 0.1
420		Up, < 0.1	
427	Dn, < 0.1		
434		Dn, < 0.1	
454		Up, < 0.1	
456		Up, < 0.1	
457	Dn, < 0.01	Dn, < 0.01	
458	Up, < 0.01	Up, < 0.01	
459		Dn, < 0.1	
462	Dn, < 0.1		Dn, < 0.1
464		Dn, < 0.1	
466	Dn, < 0.1	Dn, < 0.1	
469	Up, < 0.01	Up, < 0.01	
470		Dn, < 0.1	
473		Dn, < 0.1	Up, < 0.1
482	Up, < 0.01	Up, < 0.001	
486	Up, < 0.1	Up, < 0.1	
492	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
494	Dn, < 0.1		
499	Dn, < 0.001	Dn, < 0.001	Up, < 0.001
502		Up, < 0.1	
506		Up, < 0.1	
509	Dn, < 0.1	Dn, < 0.1	
519		Dn, < 0.1	
522			Up, < 0.1
524			Dn, < 0.01
528			Dn, < 0.1
529	Up, < 0.01	Up, < 0.01	
532			Up, < 0.1
535		Up, < 0.1	
536	Dn, < 0.1	Dn, < 0.01	Up, < 0.01
537	Up, < 0.1	Up, < 0.01	
548	Up, < 0.1	Up, < 0.001	
549	Up, < 0.001	Up, < 0.001	
552			Up, < 0.1
558	Up, < 0.1	Up, < 0.1	
562	Up, < 0.1	Up, < 0.01	
563	Up, < 0.1	Up, < 0.1	
566	Up, < 0.1	Up, < 0.001	
567			Dn, < 0.1
568		Up, < 0.1	
571	Dn, < 0.1	Dn, < 0.1	
572			Up, < 0.1
573			Up, < 0.1
576		Up, < 0.1	
578		Dn, < 0.1	
581			Up, < 0.1
584	Dn, < 0.1		
587		Dn, < 0.1	
588	Dn, < 0.1	Dn, < 0.01	Dn, < 0.1
590			Up, < 0.1
597			Up, < 0.1
598	Dn, < 0.1	Dn, < 0.01	
604	Dn, < 0.1		
605	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
606	Dn, < 0.1		
608		Dn, < 0.1	
610	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
614			Up, < 0.1
617	Dn, < 0.1	Dn, < 0.1	
620		Dn, < 0.1	
622			Dn, < 0.1
623			Up, < 0.1
626		Up, < 0.1	Up, < 0.1
627	Up, < 0.01	Up, < 0.01	
630	Up, < 0.1		
631		Dn, < 0.1	
633			Up, < 0.1
634	Up, < 0.1		
643	Dn, < 0.1	Dn, < 0.1	
647	Up, < 0.1	Up, < 0.01	
651		Dn, < 0.1	
654	Dn, < 0.1	Dn, < 0.1	
661		Up, < 0.1	
663			Dn, < 0.1
664	Dn, < 0.1		
677	Dn, < 0.1	Dn, < 0.01	
679	Dn, < 0.1	Dn, < 0.01	
688	Dn, < 0.1		
689	Dn, < 0.1	Dn, < 0.1	
695			Dn, < 0.1
701	Dn, < 0.1		Up, < 0.1
707		Dn, < 0.1	
723	Dn, < 0.1	Dn, < 0.1	
725	Up, < 0.1	Up, < 0.1	
729	Up, < 0.1	Up, < 0.01	
732	Up, < 0.1	Up, < 0.1	
735			Dn, < 0.1
737	Up, < 0.1	Up, < 0.1	
739	Up, < 0.1	Up, < 0.01	
740	Up, < 0.1	Up, < 0.01	
746		Dn, < 0.1	
750	Up, < 0.1	Up, < 0.01	
752		Up, < 0.1	
753			Dn, < 0.1
755		Dn, < 0.1	
757		Dn, < 0.1	
759			Dn, < 0.1
784		Dn, < 0.1	
791	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
792			Dn, < 0.1
793			Dn, < 0.1
805		Dn, < 0.1	
808			Dn, < 0.1
812	Up, < 0.1	Up, < 0.1	
814		Up, < 0.1	
815			Up, < 0.01
831			Dn, < 0.1
832	Up, < 0.1		
837			Up, < 0.1
848			Dn, < 0.1
856			Up, < 0.1
861			Dn, < 0.1
864			Dn, < 0.1
873			Dn, < 0.1
880			Dn, < 0.1
881			Up, < 0.1
882	Dn, < 0.1		
899		Dn, < 0.1	
904	Up, < 0.01	Up, < 0.01	Up, < 0.1
905		Up, < 0.1	
908		Dn, < 0.1	
909	Up, < 0.01	Up, < 0.01	
910		Dn, < 0.1	
911	Dn, < 0.1		
912			Dn, < 0.1
913			Dn, < 0.1
924	Dn, < 0.1		Up, < 0.1
925			Up, < 0.1
931			Up, < 0.1
933		Dn, < 0.1	Up, < 0.1
936	Up, < 0.1		Dn, < 0.1
938	Dn, < 0.1	Dn, < 0.1	
939		Up, < 0.1	Dn, < 0.1
940	Up, < 0.1	Up, < 0.1	
941			Dn, < 0.1
944	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
946	Dn, < 0.1		
947		Up, < 0.1	Dn, < 0.1
952			Dn, < 0.1
954			Dn, < 0.1
960			Dn, < 0.1
961		Dn, < 0.1	
976	Up, < 0.1		
982	Up, < 0.1	Up, < 0.01	
993			Dn, < 0.1
994	Dn, < 0.1		
997			Dn, < 0.1
1001		Up, < 0.1	
1005			Up, < 0.1
1014	Dn, < 0.1	Dn, < 0.1	
1015			Dn, < 0.1
1018	Dn, < 0.1	Dn, < 0.01	
1020	Dn, < 0.1	Dn, < 0.001	
1030	Up, < 0.1	Up, < 0.01	
1032		Up, < 0.01	
1033	Up, < 0.1	Up, < 0.1	
1053	Up, < 0.1	Up, < 0.1	
1056			Up, < 0.1
1058	Dn, < 0.1	Dn, < 0.01	
1060	Up, < 0.1		
1064		Up, < 0.1	
1068		Dn, < 0.1	
1070	Dn, < 0.1		
1071			Dn, < 0.1
1072	Dn, < 0.1	Dn, < 0.01	
1073			Up, < 0.1
1076	Dn, < 0.1	Dn, < 0.1	
1085		Up, < 0.1	
1092		Up, < 0.01	
1095	Dn, < 0.01	Dn, < 0.01	
1099			Up, < 0.01
1100	Dn, < 0.01	Dn, < 0.001	Up, < 0.1
1104		Dn, < 0.1	
1106	Dn, < 0.1	Dn, < 0.1	
1108			Up, < 0.1
1109	Up, < 0.1	Up, < 0.01	
1113		Dn, < 0.1	
1117		Up, < 0.1	
1122	Dn, < 0.1	Dn, < 0.1	
1123		Dn, < 0.1	Up, < 0.1
1135		Dn, < 0.1	
1139	Dn, < 0.1		
1142	Dn, < 0.001	Dn, < 0.001	Up, < 0.1
1143			Up, < 0.1
1148	Dn, < 0.1	Dn, < 0.1	
1154		Dn, < 0.1	
1158		Dn, < 0.1	
1164			Dn, < 0.1
1167			Dn, < 0.1
1171	Dn, < 0.1		Up, < 0.1
1172			Dn, < 0.01
1173			Up, < 0.1
1176	Up, < 0.1		
1180		Dn, < 0.1	
1181	Up, < 0.1	Up, < 0.1	
1182		Dn, < 0.1	
1185	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1187		Up, < 0.1	
1190	Dn, < 0.01	Dn, < 0.001	Up, < 0.01
1193		Dn, < 0.1	
1196			Up, < 0.1
1197	Up, < 0.1	Up, < 0.01	
1203	Dn, < 0.1		
1204		Up, < 0.1	
1208	Dn, < 0.1		
1209			Up, < 0.1
1213	Up, < 0.01	Up, < 0.01	
1218			Up, < 0.1
1219	Dn, < 0.1	Dn, < 0.1	
1222	Dn, < 0.1	Dn, < 0.1	
1223		Up, < 0.1	Dn, < 0.1
1224		Dn, < 0.1	
1227			Up, < 0.1
1233		Dn, < 0.01	
1234			Dn, < 0.1
1240	Dn, < 0.1	Dn, < 0.1	
1242	Dn, < 0.1		
1244			Dn, < 0.01
1246		Dn, < 0.1	
1250	Dn, < 0.1	Dn, < 0.1	
1253	Dn, < 0.1	Dn, < 0.1	
1263	Dn, < 0.1		
1264			Dn, < 0.1
1268	Dn, < 0.1		
1273			Dn, < 0.01
1274			Dn, < 0.1
1282		Dn, < 0.1	
1285			Up, < 0.1
1289	Up, < 0.1	Up, < 0.01	
1291	Dn, < 0.1		
1293			Up, < 0.1
1307		Up, < 0.1	
1311	Dn, < 0.1		
1320			Up, < 0.1
1322	Up, < 0.1	Up, < 0.1	
1324			Dn, < 0.1
1325			Up, < 0.1
1327	Dn, < 0.001	Dn, < 0.001	Up, < 0.01
1334		Dn, < 0.1	
1337		Dn, < 0.1	
1338	Up, < 0.1	Up, < 0.1	
1343	Dn, < 0.1		
1344	Up, < 0.1	Up, < 0.01	
1350	Up, < 0.1	Up, < 0.01	
1356			Dn, < 0.1
1357	Dn, < 0.1	Dn, < 0.1	
1358		Dn, < 0.1	Up, < 0.1
1362		Dn, < 0.1	
1363			Up, < 0.1
1368			Up, < 0.1
1373	Dn, < 0.1		
1377	Dn, < 0.01	Dn, < 0.1	
1380	Dn, < 0.1		
1381	Up, < 0.1	Up, < 0.1	
1389		Dn, < 0.1	Up, < 0.1
1399	Up, < 0.1	Up, < 0.01	
1401	Up, < 0.1		
1404		Dn, < 0.1	Up, < 0.1
1405			Up, < 0.1
1410	Dn, < 0.1	Dn, < 0.1	
1418	Up, < 0.1	Up, < 0.01	
1421	Up, < 0.1	Up, < 0.01	
1423	Up, < 0.1		
1429	Dn, < 0.1	Dn, < 0.1	
1430	Dn, < 0.1	Dn, < 0.1	
1431			Up, < 0.1
1432	Up, < 0.1	Up, < 0.001	
1439	Up, < 0.1	Up, < 0.001	
1441	Up, < 0.01	Up, < 0.01	
1444			Up, < 0.1
1446	Dn, < 0.1	Dn, < 0.1	
1450	Up, < 0.1	Up, < 0.01	
1451	Dn, < 0.1		Up, < 0.1
1452	Up, < 0.1	Up, < 0.1	
1456	Up, < 0.1	Up, < 0.01	
1459	Up, < 0.1	Up, < 0.01	
1462			Up, < 0.1
1463			Up, < 0.1
1464		Up, < 0.1	
1465		Up, < 0.1	
1466	Dn, < 0.1	Dn, < 0.1	
1468	Up, < 0.1	Up, < 0.1	
1469	Up, < 0.1	Up, < 0.1	
1475			Up, < 0.1
1477			Up, < 0.1
1480	Up, < 0.01	Up, < 0.1	
1492	Up, < 0.1		
1493	Up, < 0.1	Up, < 0.01	
1494			Up, < 0.1
1497		Dn, < 0.1	
1502			Up, < 0.1
1503	Up, < 0.1	Up, < 0.1	Dn, < 0.01
1510	Up, < 0.1	Up, < 0.01	
1513	Dn, < 0.1	Dn, < 0.1	
1519	Dn, < 0.1		
1520			Up, < 0.1
1523			Dn, < 0.1
1524			Up, < 0.1
1528		Up, < 0.01	
1529		Dn, < 0.1	
1531			Up, < 0.1
1532			Up, < 0.01
1533			Up, < 0.1
1539	Up, < 0.1	Up, < 0.01	Up, < 0.1
1540			Up, < 0.1
1544		Up, < 0.1	
1548	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
