Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
2	0.215	0.126	0.095
4	0.09	0.124	0.067
5	0.58	0.598	0.12
8	0.09	0.183	0.095
10	0.64	0.995	0.554
11	0.144	0.108	0.269
12	0.032	0.038	0.353
14	0.837	0.426	0.653
16	0.082	0.034	0.229
17	0.008	0.003	0.798
18	0.119	0.23	0.1
19	0.047	0.021	0.177
20	0.025	0.044	0.068
22	0.293	0.015	0.092
25	0.139	0.073	0.23
28	0.954	0.987	0.858
30	0.273	0.804	0.153
32	0.38	0.892	0.332
33	0.143	0.217	0.062
34	0.024	0.003	0.975
36	0.057	0.023	0.194
39	0.036	0.014	0.228
40	0.811	0.607	0.586
41	0.725	0.212	0.945
46	0.912	0.838	0.39
48	0.324	0.712	0.404
49	0.324	0.339	0.118
51	0.908	0.699	0.189
52	0.999	0.97	0.41
55	0.276	0.265	0.734
56	0.887	0.306	0.912
57	0.111	0.78	0.065
58	0.816	0.804	0.273
60	0.034	0.053	0.127
65	0.202	0.323	0.955
68	0.084	0.139	0.246
69	0.068	0.016	0.785
77	0.068	0.031	0.463
78	0.713	0.77	0.335
80	0.046	0.088	0.094
82	0.014	0.022	0.106
92	0.387	0.816	0.519
93	0.591	0.511	0.628
94	0.196	0.082	0.918
95	0.455	0.452	0.97
100	0.858	0.258	0.642
102	0.04	0.044	0.111
103	0.96	0.911	0.646
105	0.113	0.05	0.241
112	0.832	0.813	0.832
123	0.894	0.623	0.558
155	0.072	0.06	0.271
159	0.949	0.711	0.22
160	0.015	0.005	0.162
163	0.428	0.861	0.665
167	0.112	0.242	0.221
172	0.565	0.719	0.87
174	0.834	0.972	0.094
175	0.432	0.099	0.428
176	0.35	0.777	0.128
178	0.466	0.795	0.138
182	0.864	0.483	0.174
184	0.009	0.018	0.176
188	0.143	0.483	0.982
190	0.487	0.718	0.465
192	0.022	0.001	0.47
193	0.131	0.014	0.578
194	0.56	0.821	0.25
197	0.664	0.435	0.286
199	0.06	0.024	0.295
200	0.36	0.377	0.034
203	0.158	0.473	0.41
212	0.802	0.361	0.826
214	0.734	0.982	0.111
215	0.198	0.072	0.569
219	0.08	0.077	0.179
220	0.658	0.453	0.861
225	0.851	0.546	0.689
231	0.431	0.851	0.62
237	0.007	0.001	0.558
245	0.426	0.114	0.803
258	0.497	0.3	0.315
266	0.118	0.619	0.461
277	0.13	0.141	0.537
284	0.852	0.829	0.264
292	0.117	0.103	0.826
299	0.039	0.014	0.073
306	0.314	0.24	0.403
308	0.105	0.148	0.943
309	0.124	0.114	0.459
314	0.751	0.91	0.073
327	0.962	0.532	0.633
329	0.067	0.044	0.084
335	0.554	0.122	0.882
336	0.07	0.136	0.095
337	0.031	0.011	0.033
339	0.194	0.182	0.886
340	0.01	0.01	0.027
