Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
2	-0.668	-0.898	1.022
4	-1.044	-0.907	1.171
5	-0.237	0.223	0.92
8	-1.044	-0.738	1.022
10	0.194	-0.002	0.257
11	-0.842	-0.968	-0.571
12	-1.501	-1.424	0.452
14	0.077	-0.37	-0.185
16	-1.086	-1.469	0.639
17	2.071	2.582	-0.098
18	-0.925	-0.639	0.999
19	-1.331	-1.685	0.753
20	-1.596	-1.361	1.165
22	0.534	1.813	1.035
25	-0.858	-1.139	0.638
28	-0.021	0.006	-0.067
30	-0.565	-0.095	0.815
32	-0.421	0.05	0.479
33	-0.845	-0.663	1.209
34	1.62	2.545	0.011
36	-1.244	-1.64	0.712
39	-1.442	-1.854	0.643
40	-0.091	0.217	-0.232
41	0.14	0.673	-0.025
46	-0.04	0.077	0.409
48	-0.49	-0.147	0.394
49	-0.489	-0.47	0.928
51	-0.042	-0.156	0.723
52	0	-0.013	-0.387
55	-0.56	-0.577	0.134
56	-0.052	0.514	0.04
57	-0.954	-0.108	1.189
58	-0.088	-0.095	0.565
60	-1.471	-1.276	0.895
65	0.694	0.491	0.02
68	-1.076	-0.857	0.609
69	-1.169	-1.805	0.105
77	-1.17	-1.503	0.334
78	-0.147	0.113	0.474
80	-1.338	-1.054	1.027
82	-1.861	-1.651	0.974
92	-0.412	0.088	0.285
93	-0.229	-0.291	0.202
94	0.707	1.085	0.037
95	-0.342	-0.345	0.013
100	-0.066	0.588	0.192
102	-1.397	-1.355	0.953
103	-0.018	-0.04	0.19
105	-0.947	-1.304	0.619
112	0.08	0.09	0.08
123	0.049	-0.206	0.253
155	-1.144	-1.223	0.566
159	-0.023	0.148	0.658
160	-1.827	-2.294	0.79
163	-0.369	0.065	0.177
167	-0.95	-0.616	0.655
172	-0.248	-0.143	0.061
174	0.079	0.012	-1.027
175	0.365	1.006	0.369
176	-0.456	0.11	0.892
178	-0.332	-0.1	0.859
182	-0.064	-0.316	0.76
184	-2.023	-1.749	0.756
188	0.844	0.316	-0.008
190	-0.313	0.144	0.333
192	1.653	2.824	0.328
193	0.882	1.849	0.238
194	-0.252	-0.085	0.601
197	-0.178	-0.362	0.544
199	1.22	1.614	0.53
200	-0.443	-0.424	1.472
203	-0.801	-0.325	0.387
212	-0.096	-0.442	-0.083
214	0.134	0.008	-0.956
215	-0.703	-1.141	0.245
219	-1.095	-1.113	0.746
220	0.182	0.344	0.065
225	-0.07	-0.263	0.162
231	-0.365	-0.07	0.208
237	2.168	3.08	0.253
245	0.37	0.944	0.095
258	-0.304	-0.523	0.501
266	-0.928	-0.209	0.337
277	-0.886	-0.851	-0.27
284	-0.069	-0.081	0.578
292	0.934	0.989	-0.083
299	-1.405	-1.859	1.135
306	-0.503	-0.62	0.394
308	-0.978	-0.83	-0.025
309	-0.906	-0.943	-0.338
314	0.125	-0.041	1.139
327	0.017	0.274	0.199
329	-1.177	-1.352	1.074
335	-0.257	-0.914	-0.054
336	-1.154	-0.866	1.021
337	-1.515	-1.952	1.488
339	-0.713	-0.741	0.053
340	-2.015	-2.003	1.564
342	2.048	2.451	-0.3
347	-0.594	-0.741	0.231
352	0.012	0.043	-0.355
356	-1.6	-1.063	1.489
361	0.577	0.065	1.051
364	-0.321	-0.196	0.073
367	-0.953	-0.872	0.148
370	0.027	0.479	-0.255
372	-0.218	-0.281	0.274
374	0.668	1.938	0.484
375	-1.27	-1.415	2.188
376	-0.328	-0.74	0.468
377	-0.803	-1.007	0.465
379	1.499	2.129	0.096
380	-0.084	-0.356	-0.085
381	-1.099	-0.731	0.423
382	-0.143	-0.259	-0.273
383	0.374	0.204	-0.26
384	0.5	0.684	0.145
385	2.061	2.61	-0.019
386	-1.113	-1.043	-0.109
387	0.639	-0.16	-0.447
388	-0.027	-0.17	-0.481
389	-2.477	-2.574	0.389
390	0.512	0.161	-0.086
391	-3.1	-3.151	0.209
392	-0.04	0.065	-0.171
393	0.03	0.139	-0.145
395	0.456	0.024	-0.19
396	-2.206	-2.313	0.258
397	-0.767	-1.044	-0.481
398	-0.217	-0.396	1.545
399	-0.08	-0.18	1.611
400	-2.988	-2.978	0.066
401	0.536	0.361	0.203
402	-0.571	-0.807	-0.313
403	-0.027	-0.166	0.273
404	0.082	-0.21	-1.379
406	-0.72	-0.88	-0.31
407	-0.573	-0.765	-0.323
408	-0.067	-0.551	0.123
409	-2.898	-3.033	-0.032
410	0.275	0.393	0.566
411	-0.269	0.39	1.128
412	1.817	2.045	-0.211
413	0.38	0.01	-0.133
414	-0.01	-0.163	-0.865
415	0.752	0.559	0.225
416	-0.696	-1.651	0.237
417	-0.463	-0.66	1.505
418	-0.218	-0.048	0.193
420	0.788	1.679	0.444
421	0.186	-0.207	-0.168
422	0.579	0.651	0.115
423	0.06	0.198	-0.11
424	-0.309	-0.243	0.024
425	-0.196	-0.04	-0.343
426	-0.044	-0.071	-0.125
427	-1.049	-0.907	0.101
428	-0.81	-0.955	0.241
429	-0.187	-0.563	0.097
430	-0.213	-0.673	0.156
432	0.016	0.467	0.791
433	-0.233	-0.414	0.234
434	-0.962	-1.136	0.128
436	-0.027	0.082	-0.455
437	-0.565	-0.719	-0.345
438	-0.149	-0.3	-0.223
439	-0.454	-0.696	0.095
440	0.192	-0.131	-0.019
441	-0.275	-0.575	-0.183
442	-0.554	-0.408	0.382
443	0.242	0.457	0.766
444	-0.109	-0.084	-0.221
445	-0.077	-0.034	-0.036
447	0.09	-0.014	0.254
448	0.097	0.381	0.406
449	0.018	-0.083	-0.256
450	-0.075	-0.319	0.365
452	0.092	-0.468	0.111
454	0.227	1.127	-0.256
456	0.812	1.872	0.372
457	-2.547	-2.8	-0.147
458	2.08	2.265	-0.371
459	-0.212	-1.014	0.151
460	-0.088	-0.454	-0.351
461	-0.257	-0.221	-0.186
462	-1.029	-0.79	-1.585
463	-0.061	-0.235	-0.419
464	-0.618	-1.406	0.453
465	0.774	0.318	-0.263
466	-1.234	-1.446	0.824
467	0.577	0.693	0.446
468	0.065	0.247	0.101
