Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
16	< 0.1		
21			< 0.1
44	< 0.1	< 0.1	
45			< 0.1
51			< 0.01
64			< 0.1
65	< 0.1	< 0.001	
67			< 0.1
76			< 0.1
95			< 0.1
99		< 0.1	
104		< 0.1	
109	< 0.1	< 0.1	
113		< 0.1	
115	< 0.1	< 0.1	
118			< 0.1
135	< 0.1	< 0.1	
139	< 0.1		
141			< 0.1
147	< 0.1		
148			< 0.1
149			< 0.1
175			< 0.1
179			< 0.1
183	< 0.1	< 0.01	
186	< 0.1	< 0.1	
194			< 0.1
197	< 0.1		
202			< 0.1
203	< 0.1		
204			< 0.1
212			< 0.01
224			< 0.1
228			< 0.1
232	< 0.001	< 0.1	
239		< 0.1	
249	< 0.1		
260			< 0.1
265	< 0.1		
271	< 0.01	< 0.1	
273			< 0.1
282		< 0.1	< 0.1
283	< 0.01	< 0.001	
284	< 0.1	< 0.1	
287		< 0.1	
291			< 0.1
303	< 0.1	< 0.1	
307			< 0.1
311			< 0.1
316	< 0.1	< 0.1	
318			< 0.1
324		< 0.1	
330	< 0.1		< 0.1
338	< 0.1		
339		< 0.01	
342	< 0.1		
343			< 0.1
355	< 0.01	< 0.001	
357			< 0.1
359	< 0.01	< 0.1	
365	< 0.01	< 0.01	
367			< 0.1
371		< 0.1	
377			< 0.1
381			< 0.1
403		< 0.1	
419		< 0.1	
426			< 0.1
437			< 0.1
442		< 0.1	
443			< 0.1
450			< 0.1
458		< 0.1	
475			< 0.1
476		< 0.1	
479			< 0.1
495	< 0.1		< 0.1
497			< 0.1
498	< 0.1		
500			< 0.1
515			< 0.1
528			< 0.1
556		< 0.1	
557	< 0.1	< 0.1	
558	< 0.1	< 0.1	
561			< 0.1
563		< 0.1	
564		< 0.1	
565	< 0.1	< 0.1	< 0.01
569	< 0.1	< 0.1	
571	< 0.1	< 0.1	
573			< 0.1
576			< 0.1
577		< 0.1	
590			< 0.1
601	< 0.1		
603		< 0.1	
607		< 0.1	
614		< 0.1	
632			< 0.1
640			< 0.1
643			< 0.1
644		< 0.1	
651	< 0.01	< 0.1	< 0.1
653			< 0.1
655			< 0.1
658	< 0.1	< 0.1	
659			< 0.1
663	< 0.1		
667			< 0.1
672		< 0.1	
676			< 0.1
681		< 0.1	
683	< 0.1	< 0.1	
686		< 0.1	
690		< 0.1	
707	< 0.01	< 0.1	
713			< 0.1
715	< 0.1	< 0.01	< 0.01
719			< 0.1
726			< 0.1
736			< 0.1
738			< 0.1
740			< 0.1
744	< 0.1	< 0.1	
750		< 0.1	
753			< 0.1
756			< 0.1
757		< 0.1	
760		< 0.1	
763			< 0.1
767			< 0.1
796		< 0.1	
797	< 0.1	< 0.1	
809			< 0.1
814			< 0.1
826			< 0.1
838	< 0.1	< 0.001	< 0.1
845	< 0.1		
858	< 0.1		
861			< 0.1
866		< 0.1	
867		< 0.1	
876	< 0.1		< 0.1
880	< 0.1	< 0.1	
906			< 0.1
912			< 0.1
914			< 0.1
927			< 0.01
928			< 0.1
929			< 0.1
953		< 0.1	
960	< 0.1		
964	< 0.1		< 0.1
965			< 0.1
968	< 0.1		
972			< 0.1
975			< 0.1
976			< 0.1
986			< 0.1
988	< 0.1		
989	< 0.1		
990			< 0.1
1002		< 0.1	
1008		< 0.1	
1020	< 0.01	< 0.1	
1022			< 0.1
1023	< 0.1	< 0.1	
1028			< 0.1
1036	< 0.1	< 0.1	
1046			< 0.1
1048			< 0.1
1050	< 0.1		
1053			< 0.1
1065	< 0.1	< 0.1	
1070	< 0.1	< 0.1	
1077			< 0.1
1080			< 0.1
1084	< 0.1	< 0.1	< 0.01
1086			< 0.1
1088		< 0.1	
1094	< 0.1	< 0.1	
1096			< 0.1
1107		< 0.1	
1108		< 0.1	
1117	< 0.1	< 0.1	
1121	< 0.1	< 0.1	
1125			< 0.1
1136	< 0.1		
1158		< 0.1	
1161	< 0.1	< 0.1	< 0.1
1164	< 0.1	< 0.1	< 0.01
1169	< 0.001	< 0.001	
1179	< 0.1	< 0.01	
1184			< 0.01
1185			< 0.1
1191		< 0.1	
1193		< 0.1	
1194	< 0.1		< 0.1
1196		< 0.1	
1202	< 0.1	< 0.1	
1206			< 0.1
1221			< 0.1
1222			< 0.1
1229			< 0.1
1231		< 0.1	
1238	< 0.1	< 0.1	
1240			< 0.1
1241			< 0.01
