Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
16	Dn, < 0.1		
21			Up, < 0.1
44	Dn, < 0.1	Dn, < 0.1	
45			Up, < 0.1
51			Dn, < 0.01
64			Up, < 0.1
65	Up, < 0.1	Up, < 0.001	
67			Up, < 0.1
76			Up, < 0.1
95			Up, < 0.1
99		Dn, < 0.1	
104		Up, < 0.1	
109	Up, < 0.1	Up, < 0.1	
113		Up, < 0.1	
115	Up, < 0.1	Up, < 0.1	
118			Up, < 0.1
135	Up, < 0.1	Up, < 0.1	
139	Dn, < 0.1		
141			Up, < 0.1
147	Up, < 0.1		
148			Up, < 0.1
149			Up, < 0.1
175			Up, < 0.1
179			Up, < 0.1
183	Up, < 0.1	Up, < 0.01	
186	Up, < 0.1	Up, < 0.1	
194			Up, < 0.1
197	Dn, < 0.1		
202			Up, < 0.1
203	Up, < 0.1		
204			Up, < 0.1
212			Up, < 0.01
224			Up, < 0.1
228			Up, < 0.1
232	Up, < 0.001	Up, < 0.1	
239		Up, < 0.1	
249	Dn, < 0.1		
260			Dn, < 0.1
265	Up, < 0.1		
271	Dn, < 0.01	Dn, < 0.1	
273			Dn, < 0.1
282		Up, < 0.1	Up, < 0.1
283	Up, < 0.01	Up, < 0.001	
284	Up, < 0.1	Up, < 0.1	
287		Up, < 0.1	
291			Dn, < 0.1
303	Up, < 0.1	Up, < 0.1	
307			Dn, < 0.1
311			Dn, < 0.1
316	Up, < 0.1	Up, < 0.1	
318			Dn, < 0.1
324		Up, < 0.1	
330	Up, < 0.1		Up, < 0.1
338	Dn, < 0.1		
339		Up, < 0.01	
342	Dn, < 0.1		
343			Up, < 0.1
355	Up, < 0.01	Up, < 0.001	
357			Up, < 0.1
359	Dn, < 0.01	Dn, < 0.1	
365	Up, < 0.01	Up, < 0.01	
367			Up, < 0.1
371		Up, < 0.1	
377			Dn, < 0.1
381			Dn, < 0.1
403		Dn, < 0.1	
419		Dn, < 0.1	
426			Dn, < 0.1
437			Dn, < 0.1
442		Dn, < 0.1	
443			Dn, < 0.1
450			Up, < 0.1
458		Up, < 0.1	
475			Dn, < 0.1
476		Dn, < 0.1	
479			Up, < 0.1
495	Up, < 0.1		Up, < 0.1
497			Up, < 0.1
498	Dn, < 0.1		
500			Dn, < 0.1
515			Up, < 0.1
528			Up, < 0.1
556		Up, < 0.1	
557	Up, < 0.1	Up, < 0.1	
558	Up, < 0.1	Up, < 0.1	
561			Up, < 0.1
