Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
3	0.771	0.635	0.083
4	-0.018	0.213	-0.134
5	0.152	0.233	0.749
6	0.21	0.2	0.555
7	0.061	0.145	0.547
8	0.11	0.249	0.658
9	0.131	0.144	0.407
10	0.196	0.199	-0.412
11	0.155	0.267	0.845
12	0.133	0.294	0.834
13	0.072	0.037	0.243
14	0.232	-0.01	0.65
16	-1.026	-0.906	0.348
17	-0.032	-0.077	0.839
19	0.02	0.17	0.798
20	0.208	0.299	-0.632
21	0.027	0.071	1.281
22	-0.011	-0.065	0.162
25	0.391	0.71	-0.793
26	0.228	0.535	0.323
27	0.097	0.248	0.102
28	0.037	0.216	0.838
29	0.226	0.05	-0.047
31	0.015	0.089	0.283
32	0.06	0.066	0.086
33	0.399	0.087	-0.008
34	-0.318	-0.49	0.036
35	0.253	0.455	-0.354
36	0.193	0.141	0.453
37	-0.054	0.047	0.442
38	-0.332	-0.137	-0.815
39	0.176	0.247	0.709
40	-0.003	0.115	0.426
41	-0.775	-0.601	0.29
42	0.14	-0.11	-0.108
44	-1.204	-1.027	0.446
45	0.083	0.267	1.057
46	-0.003	0.261	0.035
47	-0.069	-0.098	0.543
48	0.429	0.656	0.078
49	-0.184	0.126	0.665
50	0.071	0.004	-0.001
51	-0.084	0.03	-2.31
52	0.443	0.994	0.092
53	0.102	0.046	-0.184
55	0.133	0.369	0.976
56	0.101	0.045	-0.629
57	0.031	0.183	0.705
58	-0.244	-0.482	0.277
59	0.182	0.034	0.158
60	-0.902	-0.337	-0.585
61	0.449	0.161	-0.931
62	-0.162	-0.181	0.525
63	0.413	0.22	-0.014
64	-0.398	-0.301	1.252
65	1.805	3.956	-0.477
67	0.438	0.621	1.123
68	-0.175	0.161	0.85
70	0.14	-0.093	-0.053
71	-0.55	-0.205	0.128
72	0.264	0.096	0.018
73	0.407	0.488	0.246
74	-0.087	0.014	-0.022
75	-0.279	0.031	0.813
76	-0.056	-0.204	1.275
77	-0.299	-0.57	0.783
78	-0.02	0.256	-0.913
79	0.296	0.907	0.007
80	0.032	0.008	-0.173
83	-0.082	-0.352	-0.526
84	0.284	0.076	-0.471
85	-0.188	-0.005	0.136
86	0.391	0.638	-0.432
87	-0.338	0.128	-0.601
88	0.099	0.069	-0.12
89	-0.529	-0.903	0.07
90	-0.212	-0.629	0.545
93	0.197	0.348	-0.746
94	0.392	0.176	-0.231
95	0.208	-0.092	1.574
96	0.362	0.488	-0.593
97	-0.121	0.03	0.837
99	-0.873	-1.079	-0.898
100	-0.327	-0.359	0.08
103	-0.143	-0.469	-0.15
104	0.679	1.717	-0.005
105	0.064	-0.058	-0.203
107	0.063	0.251	0.716
109	1.555	1.52	0.277
110	0.023	0.314	-0.049
111	-0.046	-0.523	0.796
112	0.099	0.032	0.068
113	0.873	1.232	-0.49
114	0.578	0.013	0.481
115	1.593	1.239	0.123
116	0.016	-0.225	-0.179
118	-0.237	-0.162	1.626
119	-0.241	-0.088	0.867
120	-0.318	-0.838	-0.018
121	0.06	-0.179	-0.359
122	-0.038	0.072	-0.03
123	0.138	0.233	0.447
124	-0.943	-0.567	0.618
125	-0.142	-0.188	-0.257
126	-0.182	-0.093	0.357
128	-0.23	-0.533	0.937
129	-0.135	0.182	-0.339
130	0.385	0.384	0.125
132	-0.04	-0.272	-0.002
134	0.668	0.434	0.426
135	1.449	1.1	0.093
137	0.099	-0.193	-0.634
139	-1.678	-0.672	0.391
140	0.333	-0.112	0.619
141	0.241	0.271	1.251
142	-0.079	0.06	-0.027
143	0.026	-0.267	-0.085
145	0.804	0.4	0.8
147	1.265	0.939	-0.727
148	-0.219	-0.214	1.053
149	-0.211	-0.209	1.08
150	-0.357	-0.047	0.047
151	-0.195	-0.22	-0.111
152	-0.46	-0.147	0.441
154	-0.79	-0.435	0.046
155	0.083	-0.001	0.137
156	-0.165	-0.328	-0.214
157	0.619	0.8	0.109
158	0.396	0.152	-0.023
161	-0.064	0.074	0.444
162	0.268	0.195	-0.221
165	-0.16	0.214	-0.589
166	0.049	-0.201	0.03
167	-0.225	0.039	-0.096
168	-0.557	-0.156	-0.148
172	0.021	-0.011	0.616
174	0.013	0.124	0.216
175	-0.137	-0.007	1.047
176	-0.168	-0.067	0.992
179	-0.226	-0.339	1.068
180	0.028	-0.022	0.078
182	-0.239	-0.314	0.011
183	1.792	2.3	-0.161
184	0.147	0.072	-0.234
186	1.211	1.711	-0.83
187	0.403	0.183	-0.207
190	-0.198	-0.445	-0.431
191	0.568	0.502	0.062
193	0.208	0.36	-0.148
194	-0.083	-0.061	1.426
195	0.033	0.023	0.29
