Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
5			< 0.1
9			< 0.1
10			< 0.1
24		< 0.1	
48		< 0.1	
57			< 0.1
89		< 0.1	
144			< 0.01
167		< 0.01	
173			< 0.1
181		< 0.1	
208			< 0.01
222	< 0.1	< 0.1	
242			< 0.01
265			< 0.1
276			< 0.1
286		< 0.1	
293	< 0.1		< 0.1
356	< 0.1		< 0.1
361	< 0.1		
379			< 0.1
380			< 0.1
467	< 0.1		
498	< 0.01	< 0.1	
533			< 0.1
564			< 0.1
578			< 0.1
602			< 0.01
613	< 0.01	< 0.01	
625	< 0.1		
639		< 0.1	< 0.1
670		< 0.1	
685	< 0.1		< 0.1
718	< 0.1	< 0.01	
755	< 0.1		< 0.1
768			< 0.1
783			< 0.1
821		< 0.1	
843	< 0.1	< 0.1	< 0.1
853	< 0.1		
909			< 0.1
915			< 0.01
926			< 0.1
938			< 0.001
956			< 0.1
981			< 0.01
999			< 0.1
1012			< 0.1
1021		< 0.1	
1052			< 0.01
1092			< 0.1
1118		< 0.1	
1149			< 0.1
1159	< 0.1	< 0.1	
1191			< 0.1
1235			< 0.1
1258	< 0.1	< 0.1	
1312	< 0.1	< 0.1	
1340	< 0.1	< 0.1	
1354			< 0.1
1431			< 0.1
1563			< 0.1
1587			< 0.1
1589	< 0.1	< 0.1	
1591	< 0.1	< 0.1	
1594	< 0.1	< 0.1	< 0.01
1595	< 0.01	< 0.1	< 0.1
1596			< 0.1
1599	< 0.1	< 0.1	
1609	< 0.1		
1610	< 0.1	< 0.1	
1612	< 0.1	< 0.1	
1613	< 0.1	< 0.1	
1614			< 0.1
1615	< 0.1	< 0.1	
1616	< 0.1	< 0.1	< 0.01
1621	< 0.1	< 0.1	
1622	< 0.01	< 0.001	
1623			< 0.1
1626		< 0.1	< 0.1
1627			< 0.1
1632			< 0.1
1636			< 0.1
1637	< 0.1	< 0.1	< 0.1
1648		< 0.1	
1651			< 0.01
1654			< 0.1
1657	< 0.1	< 0.01	
1658			< 0.1
1660	< 0.1	< 0.1	
1667		< 0.1	
1672			< 0.1
1676	< 0.1	< 0.1	< 0.1
1677			< 0.1
1678			< 0.1
1679		< 0.1	
1680			< 0.1
1682			< 0.1
1684			< 0.1
1685			< 0.1
1686			< 0.1
1689		< 0.1	
1690			< 0.1
1691			< 0.01
1692	< 0.1		
1697			< 0.01
1705	< 0.1		
1707	< 0.1	< 0.1	
1709	< 0.1	< 0.1	
1710			< 0.01
1712	< 0.1		
1714			< 0.01
1717			< 0.1
1719			< 0.1
1721			< 0.1
1725			< 0.1
1730			< 0.1
1735			< 0.1
1737	< 0.1	< 0.1	
1739			< 0.1
1740	< 0.01	< 0.001	
1743	< 0.1	< 0.1	
1746		< 0.1	< 0.1
1749		< 0.1	< 0.1
1750			< 0.1
1751			< 0.01
1752			< 0.01
1756			< 0.1
1759			< 0.1
1760	< 0.1		< 0.1
1769			< 0.1
1771	< 0.1		< 0.1
1773			< 0.1
1775			< 0.1
1776		< 0.1	
1777			< 0.1
1779	< 0.1	< 0.1	
1783			< 0.1
1785		< 0.1	< 0.1
1788		< 0.1	
1800			< 0.1
1804			< 0.1
1805			< 0.1
1806	< 0.01	< 0.1	< 0.01
1808			< 0.1
1810			< 0.1
1816	< 0.01	< 0.1	
1817	< 0.1	< 0.1	< 0.1
1819			< 0.1
1820			< 0.01
1824			< 0.01
1825		< 0.1	< 0.1
1827	< 0.1	< 0.01	
1830	< 0.1		< 0.1
1831	< 0.1		
1833			< 0.1
1834	< 0.01	< 0.1	< 0.1
1835			< 0.1
1836	< 0.01		
1840			< 0.001
1842		< 0.1	
1843			< 0.001
1844			< 0.1
1847			< 0.1
1849			< 0.1
1853		< 0.1	
1855	< 0.1		< 0.1
1858			< 0.1
1861	< 0.1	< 0.1	
1864	< 0.1		
1868	< 0.01	< 0.01	< 0.1
1870	< 0.1	< 0.1	
1871			< 0.1
1876			< 0.1
1878			< 0.01
1879	< 0.1		
1882		< 0.1	
1883			< 0.1
1885			< 0.1
1889			< 0.01
1894	< 0.1	< 0.1	< 0.01
1895			< 0.1
1901			< 0.1
1905	< 0.1	< 0.1	
1906	< 0.1	< 0.01	
1908			< 0.1
1917	< 0.1		
1924	< 0.1		
1931	< 0.1		< 0.01
1932	< 0.1	< 0.1	
1933			< 0.1
1934	< 0.1	< 0.1	
1935			< 0.1
1937	< 0.1	< 0.01	
1938			< 0.1
1948	< 0.1		
1951		< 0.01	
1952			< 0.1
1959	< 0.1		
1960			< 0.1
1963	< 0.1	< 0.1	
1966			< 0.1
1967		< 0.1	
1969			< 0.001
1971			< 0.1
1972		< 0.1	
1975	< 0.1		< 0.1
1983		< 0.1	< 0.1
1984			< 0.1
1985			< 0.1
1990	< 0.1	< 0.1	< 0.1
1994		< 0.1	
2002			< 0.1
2010			< 0.01
2018	< 0.1		
2022			< 0.1
2028			< 0.01
