Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
5			Dn, < 0.1
9			Up, < 0.1
10			Up, < 0.1
24		Dn, < 0.1	
48		Up, < 0.1	
57			Up, < 0.1
89		Up, < 0.1	
144			Up, < 0.01
167		Up, < 0.01	
173			Up, < 0.1
181		Dn, < 0.1	
208			Up, < 0.01
222	Dn, < 0.1	Dn, < 0.1	
242			Dn, < 0.01
265			Dn, < 0.1
276			Dn, < 0.1
286		Dn, < 0.1	
293	Up, < 0.1		Dn, < 0.1
356	Dn, < 0.1		Up, < 0.1
361	Dn, < 0.1		
379			Up, < 0.1
380			Up, < 0.1
467	Dn, < 0.1		
498	Dn, < 0.01	Dn, < 0.1	
533			Up, < 0.1
564			Dn, < 0.1
578			Dn, < 0.1
602			Dn, < 0.01
613	Up, < 0.01	Up, < 0.01	
625	Dn, < 0.1		
639		Up, < 0.1	Dn, < 0.1
670		Dn, < 0.1	
685	Dn, < 0.1		Up, < 0.1
718	Up, < 0.1	Up, < 0.01	
755	Up, < 0.1		Dn, < 0.1
768			Up, < 0.1
783			Dn, < 0.1
821		Up, < 0.1	
843	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
853	Dn, < 0.1		
909			Up, < 0.1
915			Up, < 0.01
926			Dn, < 0.1
938			Up, < 0.001
956			Up, < 0.1
981			Dn, < 0.01
999			Dn, < 0.1
1012			Up, < 0.1
1021		Up, < 0.1	
1052			Dn, < 0.01
1092			Up, < 0.1
1118		Dn, < 0.1	
1149			Dn, < 0.1
1159	Up, < 0.1	Up, < 0.1	
1191			Up, < 0.1
1235			Up, < 0.1
1258	Dn, < 0.1	Dn, < 0.1	
1312	Up, < 0.1	Up, < 0.1	
1340	Dn, < 0.1	Dn, < 0.1	
1354			Up, < 0.1
1431			Dn, < 0.1
1563			Up, < 0.1
1587			Up, < 0.1
1589	Up, < 0.1	Up, < 0.1	
1591	Up, < 0.1	Up, < 0.1	
1594	Up, < 0.1	Up, < 0.1	Dn, < 0.01
1595	Up, < 0.01	Up, < 0.1	Dn, < 0.1
1596			Up, < 0.1
1599	Up, < 0.1	Up, < 0.1	
1609	Up, < 0.1		
1610	Up, < 0.1	Up, < 0.1	
1612	Dn, < 0.1	Dn, < 0.1	
1613	Up, < 0.1	Up, < 0.1	
1614			Dn, < 0.1
1615	Up, < 0.1	Up, < 0.1	
1616	Up, < 0.1	Up, < 0.1	Dn, < 0.01
1621	Dn, < 0.1	Dn, < 0.1	
1622	Up, < 0.01	Up, < 0.001	
1623			Up, < 0.1
1626		Up, < 0.1	Dn, < 0.1
1627			Dn, < 0.1
1632			Up, < 0.1
1636			Dn, < 0.1
1637	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1648		Up, < 0.1	
1651			Dn, < 0.01
1654			Up, < 0.1
1657	Dn, < 0.1	Dn, < 0.01	
1658			Dn, < 0.1
1660	Dn, < 0.1	Dn, < 0.1	
1667		Up, < 0.1	
1672			Dn, < 0.1
1676	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1677			Dn, < 0.1
1678			Dn, < 0.1
1679		Dn, < 0.1	
1680			Dn, < 0.1
1682			Up, < 0.1
1684			Dn, < 0.1
1685			Up, < 0.1
1686			Dn, < 0.1
1689		Up, < 0.1	
1690			Dn, < 0.1
1691			Dn, < 0.01
1692	Up, < 0.1		
1697			Up, < 0.01
1705	Dn, < 0.1		
1707	Up, < 0.1	Up, < 0.1	
1709	Up, < 0.1	Up, < 0.1	
1710			Dn, < 0.01
1712	Dn, < 0.1		
1714			Dn, < 0.01
1717			Dn, < 0.1
1719			Up, < 0.1
1721			Dn, < 0.1
1725			Up, < 0.1
1730			Up, < 0.1
1735			Dn, < 0.1
1737	Up, < 0.1	Up, < 0.1	
1739			Up, < 0.1
1740	Up, < 0.01	Up, < 0.001	
1743	Up, < 0.1	Up, < 0.1	
1746		Up, < 0.1	Dn, < 0.1
1749		Dn, < 0.1	Up, < 0.1
1750			Dn, < 0.1
1751			Dn, < 0.01
1752			Dn, < 0.01
1756			Dn, < 0.1
1759			Dn, < 0.1
1760	Up, < 0.1		Dn, < 0.1
1769			Dn, < 0.1
1771	Up, < 0.1		Dn, < 0.1
1773			Up, < 0.1
1775			Up, < 0.1
1776		Dn, < 0.1	
1777			Up, < 0.1
1779	Up, < 0.1	Up, < 0.1	
1783			Up, < 0.1
1785		Dn, < 0.1	Up, < 0.1
1788		Up, < 0.1	
1800			Up, < 0.1
1804			Dn, < 0.1
1805			Up, < 0.1
1806	Up, < 0.01	Up, < 0.1	Dn, < 0.01
1808			Dn, < 0.1
1810			Dn, < 0.1
1816	Dn, < 0.01	Dn, < 0.1	
1817	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1819			Dn, < 0.1
1820			Dn, < 0.01
1824			Dn, < 0.01
1825		Dn, < 0.1	Up, < 0.1
1827	Up, < 0.1	Up, < 0.01	
1830	Dn, < 0.1		Up, < 0.1
1831	Up, < 0.1		
1833			Dn, < 0.1
1834	Up, < 0.01	Up, < 0.1	Dn, < 0.1
1835			Up, < 0.1
1836	Dn, < 0.01		
1840			Dn, < 0.001
1842		Dn, < 0.1	
1843			Dn, < 0.001
1844			Up, < 0.1
1847			Dn, < 0.1
1849			Up, < 0.1
1853		Dn, < 0.1	
1855	Up, < 0.1		Dn, < 0.1
1858			Up, < 0.1
1861	Dn, < 0.1	Dn, < 0.1	
1864	Dn, < 0.1		
1868	Up, < 0.01	Up, < 0.01	Dn, < 0.1
