Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
5	0.649	0.397	0.064
9	0.819	0.316	0.096
10	0.764	0.349	0.084
11	0.901	0.274	0.136
14	0.855	0.28	0.113
16	0.946	0.262	0.17
17	0.985	0.257	0.236
24	0.282	0.091	0.638
41	0.247	0.909	0.467
42	0.421	0.229	0.981
48	0.125	0.016	0.834
57	0.689	0.336	0.065
59	0.823	0.268	0.721
67	0.449	0.439	0.597
78	0.94	0.497	0.386
81	0.76	0.739	0.83
89	0.115	0.041	0.554
103	0.223	0.148	0.302
106	0.66	0.584	0.359
127	0.21	0.435	0.544
141	0.935	0.581	0.536
144	0.448	0.338	0.007
160	0.839	0.736	0.34
165	0.679	0.663	0.947
167	0.163	0.003	0.794
172	0.529	0.409	0.635
173	0.559	0.535	0.072
181	0.217	0.054	0.347
195	0.746	0.334	0.477
208	0.873	0.317	0.008
209	0.669	0.402	0.104
215	0.124	0.851	0.987
222	0.019	0.091	0.996
239	0.474	0.529	0.336
242	0.207	0.523	0.009
251	0.305	0.122	0.864
253	0.665	0.871	0.397
257	0.55	0.529	0.625
265	0.554	0.97	0.1
269	0.716	0.154	0.432
276	0.26	0.49	0.068
280	0.926	0.782	0.179
286	0.398	0.088	0.183
293	0.098	0.158	0.054
294	0.864	0.704	0.685
308	0.892	0.419	0.246
320	0.748	0.226	0.943
322	0.638	0.855	0.366
334	0.745	0.924	0.792
338	0.733	0.984	0.469
344	0.939	0.881	0.309
355	0.781	0.856	0.431
356	0.015	0.246	0.086
361	0.043	0.17	0.723
369	0.523	0.568	0.297
371	0.662	0.526	0.486
374	0.956	0.72	0.365
375	0.764	0.879	0.179
377	0.131	0.358	0.772
379	0.807	0.672	0.014
380	0.52	0.285	0.096
404	0.184	0.235	0.349
467	0.076	0.247	0.92
468	0.944	0.566	0.343
472	0.738	0.894	0.7
498	0.008	0.015	0.91
510	0.973	0.667	0.867
523	0.605	0.852	0.343
533	0.382	0.92	0.088
549	0.39	0.524	0.386
554	0.917	0.628	0.811
558	0.521	0.441	0.243
560	0.257	0.883	0.684
564	0.795	0.957	0.083
576	0.974	0.897	0.17
578	0.463	0.864	0.035
594	0.991	0.599	0.784
598	0.477	0.752	0.145
599	0.491	0.211	0.255
602	0.38	0.518	0.003
610	0.342	0.819	0.963
613	0.003	0.001	0.482
617	0.951	0.762	0.577
621	0.776	0.533	0.208
623	0.245	0.512	0.95
625	0.086	0.296	0.486
632	0.586	0.584	0.866
636	0.636	0.556	0.617
639	0.114	0.057	0.069
650	0.491	0.312	0.653
652	0.964	0.583	0.973
654	0.859	0.718	0.793
655	0.449	0.326	0.179
658	0.313	0.142	0.492
664	0.809	0.785	0.962
665	0.225	0.895	0.26
670	0.133	0.069	0.323
673	0.506	0.827	0.879
685	0.078	0.168	0.016
686	0.314	0.204	0.987
692	0.869	0.807	0.976
694	0.86	0.962	0.32
702	0.795	0.433	0.676
705	0.716	0.806	0.93
708	0.818	0.537	0.693
710	0.758	0.508	0.637
718	0.038	0.006	0.167
720	0.888	0.746	0.57
721	0.242	0.564	0.551
724	0.778	0.323	0.322
737	0.645	0.696	0.794
743	0.706	0.822	0.132
744	0.137	0.874	0.871
755	0.021	0.168	0.048
758	0.733	0.872	0.295
763	0.683	0.357	0.351
767	0.728	0.847	0.568
768	0.222	0.186	0.071
778	0.53	0.114	0.407
781	0.756	0.966	0.495
783	0.696	0.809	0.083
786	0.643	0.871	0.801
