Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
5	0.188	0.402	1.191
9	0.087	0.5	1.018
10	0.117	0.458	1.076
11	0.045	0.563	0.865
14	0.068	0.553	0.947
16	0.024	0.582	0.769
17	0.006	0.59	0.627
24	0.549	1.041	0.195
41	0.607	0.041	0.331
42	0.375	0.639	0.008
48	0.902	1.8	0.079
57	0.162	0.474	1.184
59	0.085	0.572	0.142
67	0.348	0.358	0.224
78	0.027	0.303	0.413
81	0.119	0.132	0.081
89	0.938	1.392	0.256
103	0.652	0.829	0.52
106	0.181	0.234	0.445
127	0.677	0.362	0.265
141	0.029	0.236	0.271
144	0.349	0.471	2.143
160	0.076	0.133	0.468
165	0.168	0.178	0.024
167	0.788	2.518	0.1
172	0.276	0.389	0.197
173	0.253	0.272	1.142
181	0.664	1.269	0.459
195	0.127	0.476	0.322
208	0.059	0.498	2.124
209	0.174	0.396	0.985
215	0.906	0.07	0.006
222	1.732	1.043	0.002
239	0.324	0.276	0.474
242	0.684	0.282	2.044
251	0.515	0.915	0.064
253	0.177	0.06	0.401
257	0.26	0.277	0.204
265	0.256	0.013	1.002
269	0.145	0.813	0.365
276	0.586	0.31	1.166
280	0.033	0.107	0.747
286	0.4	1.057	0.737
293	1.008	0.801	1.267
294	0.063	0.152	0.165
308	0.05	0.378	0.609
320	0.126	0.646	0.026
322	0.195	0.068	0.437
334	0.128	0.034	0.102
338	0.135	0.007	0.329
344	0.027	0.055	0.51
355	0.107	0.068	0.366
356	1.83	0.609	1.064
361	1.365	0.77	0.141
369	0.281	0.246	0.527
371	0.179	0.279	0.314
374	0.02	0.143	0.438
375	0.117	0.056	0.747
377	0.884	0.446	0.112
379	0.093	0.172	1.857
380	0.284	0.545	1.016
404	0.735	0.629	0.457
467	1.12	0.607	0.036
468	0.025	0.247	0.464
472	0.132	0.049	0.155
498	2.121	1.832	0.041
510	0.012	0.176	0.062
523	0.218	0.07	0.465
533	0.419	0.036	1.056
549	0.409	0.281	0.414
554	0.037	0.202	0.091
558	0.283	0.356	0.614
560	0.59	0.054	0.165
564	0.1	0.019	1.082
576	0.011	0.047	0.77
578	0.334	0.063	1.456
594	0.004	0.222	0.106
598	0.322	0.124	0.838
599	0.309	0.675	0.593
602	0.42	0.286	2.494
610	0.466	0.086	0.016
613	2.483	2.901	0.317
617	0.022	0.118	0.239
621	0.11	0.273	0.683
623	0.612	0.291	0.022
625	1.068	0.529	0.314
632	0.232	0.233	0.062
636	0.196	0.255	0.21
639	0.944	1.247	1.158
650	0.309	0.506	0.185
652	0.016	0.234	0.012
654	0.066	0.144	0.1
655	0.348	0.486	0.748
