Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
6			< 0.1
8			< 0.01
19		< 0.1	< 0.1
29			< 0.1
31		< 0.1	< 0.1
36			< 0.1
54			< 0.1
65		< 0.1	< 0.01
86		< 0.1	< 0.1
90			< 0.1
97			< 0.01
101			< 0.1
104			< 0.1
108			< 0.1
116			< 0.1
127			< 0.1
138			< 0.1
144		< 0.1	< 0.01
151			< 0.1
153			< 0.1
171			< 0.1
176		< 0.1	
196			< 0.1
222			< 0.1
251	< 0.1		< 0.1
261	< 0.1	< 0.01	
278	< 0.1	< 0.1	
289	< 0.1	< 0.1	< 0.1
299			< 0.1
305	< 0.1	< 0.1	
308	< 0.1	< 0.1	
313			< 0.1
330			< 0.1
336	< 0.1		
343			< 0.1
345			< 0.1
360	< 0.1	< 0.1	
371	< 0.01	< 0.1	
399			< 0.1
412	< 0.1	< 0.1	
414			< 0.1
458	< 0.1		< 0.1
462			< 0.1
472			< 0.01
473			< 0.1
491	< 0.1		< 0.1
495		< 0.1	
502			< 0.1
506	< 0.1		< 0.1
512		< 0.1	
532			< 0.1
534	< 0.1	< 0.1	
540		< 0.1	
545	< 0.1		
548			< 0.1
549	< 0.1	< 0.1	< 0.1
560			< 0.1
584			< 0.1
594		< 0.1	
601			< 0.1
605	< 0.1	< 0.1	< 0.1
606			< 0.1
612			< 0.01
638			< 0.1
642			< 0.01
656			< 0.1
664			< 0.1
666		< 0.1	
689			< 0.01
692			< 0.1
703			< 0.01
714	< 0.1	< 0.01	
723			< 0.1
745		< 0.1	< 0.1
746	< 0.1	< 0.1	
749	< 0.1	< 0.1	
752		< 0.1	< 0.1
754		< 0.1	
757			< 0.1
761			< 0.1
768			< 0.1
770			< 0.1
771	< 0.1	< 0.1	< 0.1
790			< 0.1
802			< 0.01
850		< 0.1	
858		< 0.1	< 0.1
873			< 0.1
882			< 0.1
887	< 0.1	< 0.1	
892	< 0.1	< 0.1	
907			< 0.1
914	< 0.1	< 0.1	
916			< 0.1
922		< 0.1	< 0.1
923			< 0.1
939	< 0.1	< 0.1	< 0.01
961		< 0.1	
962			< 0.1
977	< 0.1		
980	< 0.1		
985			< 0.1
991			< 0.1
1013		< 0.1	< 0.1
1014	< 0.1		
1020	< 0.1		< 0.1
1080	< 0.1		
1094			< 0.1
1185	< 0.1	< 0.1	
1190	< 0.1	< 0.1	
1201		< 0.1	
1219			< 0.1
1223			< 0.1
1227		< 0.1	
1230	< 0.1		< 0.1
1234	< 0.1		
1236	< 0.1		< 0.1
1237	< 0.1		
1245			< 0.1
1250	< 0.1		
1252	< 0.1		
1253			< 0.1
1255		< 0.1	
1258	< 0.1	< 0.1	
1265			< 0.1
1268	< 0.1		
1273			< 0.1
1276	< 0.1	< 0.1	
1277		< 0.1	
1278			< 0.1
1290			< 0.01
1293		< 0.1	
1295		< 0.1	< 0.1
1303			< 0.1
1304	< 0.1	< 0.1	
1305			< 0.1
1306	< 0.1		< 0.1
1310	< 0.1		
1315		< 0.01	
1318			< 0.1
1319	< 0.1		
1320	< 0.1		
1322			< 0.1
1332	< 0.1	< 0.1	
1336		< 0.1	
1338	< 0.1	< 0.1	< 0.1
1341		< 0.1	
1349	< 0.1		
1356	< 0.1	< 0.1	
1372	< 0.1		
1375	< 0.1	< 0.1	
1380		< 0.1	
1388		< 0.1	
1389	< 0.1		< 0.01
1392		< 0.1	
1395		< 0.1	
1403		< 0.1	
1405		< 0.1	< 0.1
1409			< 0.01
1411			< 0.1
1412	< 0.1		< 0.1
1413			< 0.1
1416		< 0.1	
1422	< 0.1	< 0.1	< 0.1
1423	< 0.1		
1430			< 0.1
1431	< 0.1	< 0.01	< 0.01
1433	< 0.01	< 0.01	< 0.1
1436	< 0.1	< 0.1	< 0.1
1446	< 0.1		
1450		< 0.1	
1460	< 0.1		< 0.1
1482	< 0.1	< 0.1	
1486		< 0.1	
1487			< 0.01
1494	< 0.1	< 0.1	
1498			< 0.1
1499			< 0.1
1507		< 0.1	
1510	< 0.1		
1512		< 0.1	< 0.1
1514	< 0.1	< 0.01	
1515		< 0.1	
1516		< 0.1	
1517			< 0.1
1518		< 0.1	
1525		< 0.1	
1526	< 0.1	< 0.1	
1528			< 0.1
1539			< 0.1
1542			< 0.1
1546	< 0.1		
1553		< 0.1	
1556	< 0.1		
1557			< 0.1
1562			< 0.01
1565	< 0.1	< 0.1	
1570			< 0.1
