Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
6			Dn, < 0.1
8			Up, < 0.01
19		Dn, < 0.1	Up, < 0.1
29			Up, < 0.1
31		Dn, < 0.1	Up, < 0.1
36			Up, < 0.1
54			Up, < 0.1
65		Dn, < 0.1	Up, < 0.01
86		Dn, < 0.1	Up, < 0.1
90			Up, < 0.1
97			Up, < 0.01
101			Up, < 0.1
104			Up, < 0.1
108			Up, < 0.1
116			Up, < 0.1
127			Up, < 0.1
138			Up, < 0.1
144		Dn, < 0.1	Up, < 0.01
151			Up, < 0.1
153			Up, < 0.1
171			Up, < 0.1
176		Up, < 0.1	
196			Up, < 0.1
222			Dn, < 0.1
251	Dn, < 0.1		Up, < 0.1
261	Dn, < 0.1	Dn, < 0.01	
278	Dn, < 0.1	Dn, < 0.1	
289	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
299			Up, < 0.1
305	Dn, < 0.1	Dn, < 0.1	
308	Up, < 0.1	Up, < 0.1	
313			Up, < 0.1
330			Dn, < 0.1
336	Dn, < 0.1		
343			Up, < 0.1
345			Dn, < 0.1
360	Dn, < 0.1	Dn, < 0.1	
371	Dn, < 0.01	Dn, < 0.1	
399			Dn, < 0.1
412	Dn, < 0.1	Dn, < 0.1	
414			Dn, < 0.1
458	Up, < 0.1		Dn, < 0.1
462			Up, < 0.1
472			Dn, < 0.01
473			Up, < 0.1
491	Dn, < 0.1		Up, < 0.1
495		Dn, < 0.1	
502			Up, < 0.1
506	Dn, < 0.1		Up, < 0.1
512		Up, < 0.1	
532			Up, < 0.1
534	Dn, < 0.1	Dn, < 0.1	
540		Dn, < 0.1	
545	Dn, < 0.1		
548			Up, < 0.1
549	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
560			Up, < 0.1
584			Dn, < 0.1
594		Dn, < 0.1	
601			Up, < 0.1
605	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
606			Up, < 0.1
612			Dn, < 0.01
638			Up, < 0.1
642			Up, < 0.01
656			Dn, < 0.1
664			Dn, < 0.1
666		Dn, < 0.1	
689			Dn, < 0.01
692			Up, < 0.1
703			Dn, < 0.01
714	Dn, < 0.1	Dn, < 0.01	
723			Dn, < 0.1
745		Dn, < 0.1	Up, < 0.1
746	Dn, < 0.1	Dn, < 0.1	
749	Up, < 0.1	Up, < 0.1	
752		Dn, < 0.1	Up, < 0.1
754		Dn, < 0.1	
757			Up, < 0.1
761			Up, < 0.1
768			Up, < 0.1
770			Up, < 0.1
771	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
790			Dn, < 0.1
802			Dn, < 0.01
850		Dn, < 0.1	
858		Dn, < 0.1	Up, < 0.1
873			Up, < 0.1
882			Up, < 0.1
887	Dn, < 0.1	Dn, < 0.1	
892	Dn, < 0.1	Dn, < 0.1	
907			Up, < 0.1
914	Dn, < 0.1	Dn, < 0.1	
916			Up, < 0.1
922		Dn, < 0.1	Up, < 0.1
923			Up, < 0.1
939	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
961		Dn, < 0.1	
962			Up, < 0.1
977	Dn, < 0.1		
980	Dn, < 0.1		
985			Up, < 0.1
991			Up, < 0.1
1013		Dn, < 0.1	Up, < 0.1
1014	Dn, < 0.1		
1020	Dn, < 0.1		Up, < 0.1
1080	Dn, < 0.1		
1094			Up, < 0.1
1185	Dn, < 0.1	Dn, < 0.1	
1190	Dn, < 0.1	Dn, < 0.1	
1201		Up, < 0.1	
1219			Up, < 0.1
1223			Up, < 0.1
1227		Up, < 0.1	
1230	Dn, < 0.1		Up, < 0.1
1234	Up, < 0.1		
1236	Dn, < 0.1		Up, < 0.1
1237	Up, < 0.1		
1245			Dn, < 0.1
1250	Dn, < 0.1		
1252	Up, < 0.1		
1253			Dn, < 0.1
1255		Up, < 0.1	
1258	Dn, < 0.1	Dn, < 0.1	
1265			Dn, < 0.1
1268	Dn, < 0.1		
1273			Up, < 0.1
1276	Up, < 0.1	Up, < 0.1	
1277		Dn, < 0.1	
1278			Up, < 0.1
1290			Dn, < 0.01
1293		Dn, < 0.1	
1295		Dn, < 0.1	Up, < 0.1
1303			Dn, < 0.1
1304	Dn, < 0.1	Dn, < 0.1	
1305			Dn, < 0.1
1306	Up, < 0.1		Dn, < 0.1
1310	Up, < 0.1		
1315		Dn, < 0.01	
1318			Dn, < 0.1
1319	Dn, < 0.1		
1320	Dn, < 0.1		
1322			Dn, < 0.1
1332	Dn, < 0.1	Dn, < 0.1	
1336		Up, < 0.1	
1338	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1341		Dn, < 0.1	
1349	Dn, < 0.1		
1356	Dn, < 0.1	Dn, < 0.1	
1372	Dn, < 0.1		
1375	Dn, < 0.1	Dn, < 0.1	
1380		Dn, < 0.1	
1388		Dn, < 0.1	
1389	Up, < 0.1		Dn, < 0.01
1392		Dn, < 0.1	
1395		Dn, < 0.1	
1403		Dn, < 0.1	
1405		Dn, < 0.1	Up, < 0.1
1409			Dn, < 0.01
1411			Dn, < 0.1
1412	Up, < 0.1		Dn, < 0.1
1413			Dn, < 0.1
1416		Dn, < 0.1	
1422	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1423	Up, < 0.1		
1430			Up, < 0.1
1431	Dn, < 0.1	Dn, < 0.01	Up, < 0.01
1433	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
1436	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1446	Dn, < 0.1		
1450		Dn, < 0.1	
1460	Dn, < 0.1		Up, < 0.1
1482	Dn, < 0.1	Dn, < 0.1	
1486		Dn, < 0.1	
1487			Dn, < 0.01
1494	Dn, < 0.1	Dn, < 0.1	
1498			Dn, < 0.1
1499			Up, < 0.1
1507		Dn, < 0.1	
1510	Dn, < 0.1		
1512		Up, < 0.1	Up, < 0.1
1514	Dn, < 0.1	Dn, < 0.01	
1515		Up, < 0.1	
1516		Up, < 0.1	
1517			Dn, < 0.1
1518		Up, < 0.1	
1525		Dn, < 0.1	
1526	Dn, < 0.1	Dn, < 0.1	
1528			Up, < 0.1
1539			Dn, < 0.1
1542			Up, < 0.1
1546	Dn, < 0.1		
1553		Dn, < 0.1	
1556	Up, < 0.1		
1557			Dn, < 0.1
1562			Dn, < 0.01
1565	Dn, < 0.1	Dn, < 0.1	
1570			Dn, < 0.1
1571		Dn, < 0.1	Up, < 0.1
1572	Dn, < 0.1	Dn, < 0.1	
1574		Dn, < 0.01	
1575		Dn, < 0.1	
1576		Dn, < 0.1	
1577		Dn, < 0.1	
1578		Dn, < 0.1	
1579			Dn, < 0.1
1580		Dn, < 0.1	
1592	Dn, < 0.1	Dn, < 0.1	
1593		Dn, < 0.1	
