Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
6	-0.138	-0.019	-1.311
8	-0.145	0.164	2.169
14	-0.414	-0.108	0.836
19	-0.701	-1.073	1.992
22	-0.194	-0.45	-0.421
23	0.022	0.419	0.409
29	-0.632	-0.965	1.806
31	-0.663	-1.022	1.862
36	-0.693	-0.986	1.874
38	-0.413	-0.132	0.601
42	-0.298	-0.144	0.406
51	-0.202	-0.9	0.98
52	-0.193	-0.267	0.827
54	-0.309	-0.154	1.249
65	-0.741	-1.131	2.09
70	0.254	0.455	0.511
71	-0.149	-0.813	0.984
72	-0.305	0.009	0.29
81	0.074	-0.117	-0.374
86	-0.729	-1.123	1.983
90	-0.607	-0.312	1.047
97	-0.178	-0.233	2.319
101	-0.94	-0.307	1.528
103	-0.003	-0.369	-0.373
104	-0.24	-0.322	1.4
105	-0.122	-0.773	0.987
106	-0.05	-0.182	0.216
108	-0.023	-0.049	1.374
116	-0.508	-0.106	1.389
120	-0.07	0.075	0.461
127	0.174	-0.053	1.661
131	-0.193	0.367	0.679
132	0.324	0.238	-0.183
138	0.371	0.068	1.878
140	-0.137	-0.138	0.976
141	0.109	0.214	0.557
144	-0.769	-1.232	2.17
147	0.275	0.411	0.182
150	-0.092	-0.442	0.366
151	0.73	0.301	1.448
153	-0.741	-0.089	1.369
162	0.3	0.26	0.203
164	-0.05	-0.608	-0.189
171	-0.642	-0.445	1.189
172	-0.11	-0.18	-0.166
174	0.234	0.514	-0.178
176	0.991	1.037	-0.205
181	-0.884	-0.557	0.723
182	-0.617	-0.3	0.549
188	-0.619	-0.363	0.929
191	-0.191	-0.179	0.661
196	-0.195	0.115	1.153
201	-0.182	-0.068	-0.115
205	0.294	0.182	-0.406
214	-0.377	-0.281	0.845
215	-0.183	-0.756	0.944
218	0.591	0.378	-0.517
221	-0.242	-0.678	0.84
222	-0.021	0.026	-1.11
225	0.013	0.022	-0.087
234	0.158	-0.193	-0.427
237	0.529	0.796	-0.632
246	0.378	0.527	-0.271
250	-0.141	-0.064	-0.26
251	-1.129	-0.476	1.415
261	-1.098	-2.501	0.333
276	0.027	0.052	-0.065
278	-1.297	-1.132	0.556
280	-0.178	0.38	0.11
285	-0.111	-0.161	0.191
289	-1.648	-1.505	1.444
290	-0.373	-0.119	0.322
293	-0.318	-0.281	0.12
299	-0.9	-0.453	1.628
300	-0.334	-0.493	-0.123
302	0.139	0.147	0.088
305	-1.207	-1.039	-0.097
307	-0.061	0.036	-0.143
308	1.537	1.209	-0.251
310	0.129	0.048	-0.391
313	-0.873	-0.482	1.21
315	0.026	-0.212	-0.407
330	-0.009	0.192	-1.236
334	-0.119	-0.031	0.381
336	-1.648	-0.915	-0.489
343	-0.432	-0.712	1.396
345	-0.146	0.25	-1.372
346	-0.357	-0.654	-0.059
352	-0.281	-0.319	-0.835
353	0.534	0.647	-0.872
356	0.247	-0.088	-0.309
360	-1.946	-1.19	0.147
361	-0.056	-0.117	0.132
363	-0.126	-0.01	0.985
368	-0.485	-0.254	-0.31
370	0.166	0.17	-0.764
371	-2.162	-1.22	0.281
372	-0.593	-0.269	0.249
375	-0.783	-0.172	0.039
385	0.307	0.447	-0.572
390	-0.245	-0.193	-0.309
396	-0.704	-0.587	0.484
397	-0.027	0.252	0.024
399	0.021	-0.346	-1.295
411	-0.106	-0.024	0.077
412	-1.093	-1.399	0.736
414	-0.055	0.061	-1.617
428	-0.192	-0.086	0.009
439	-0.068	0.003	-0.2
442	-0.174	-0.482	0.352
447	-0.205	0.034	0.581
449	-0.111	-0.725	0.304
451	-0.04	0.649	0.029
453	-0.064	-0.258	0.196
456	0.015	-0.365	-0.044
458	1.012	0.584	-1.381
462	-0.437	-0.266	1.228
463	-0.656	-0.129	0.26
465	-0.12	0.048	-0.537
