Sample_ID	Sequence	Position
EMR_04_10_MD	5	15
EMR_04_11_AT	3	6
EMR_04_12_JG	1	22
EMR_04_13_KB	4	22
EMR_04_14_QN	6	11
EMR_04_15_DB	1	27
EMR_04_16_MI	4	6
EMR_04_17_BS	6	6
EMR_04_19_BK	5	11
EMR_04_1_JG	5	23
EMR_04_20_JP	3	3
EMR_04_21_DM	2	4
EMR_04_22_RS	5	12
EMR_04_23_JB	3	5
EMR_04_24_DK	6	4
EMR_04_26_NF	3	26
EMR_04_29_LK	3	12
EMR_04_32_GS	2	6
EMR_04_33_CG	1	13
EMR_04_34_NG	3	10
EMR_04_35_RB	3	16
EMR_04_37_CM	1	24
EMR_04_38_GC	3	24
EMR_04_39_NP	5	26
EMR_04_3_MX	4	16
EMR_04_41_AC	2	12
EMR_04_42_DD	2	15
EMR_04_43_KA	2	10
EMR_04_44_DTA	5	20
EMR_04_45_VC	4	4
EMR_04_46_AB	3	9
EMR_04_47_JM	6	23
EMR_04_48_LD	5	8
EMR_04_50_RJ	3	27
EMR_04_51_JR	6	20
EMR_04_52_JC	2	18
EMR_04_53_AP	5	17
EMR_04_54_DD	2	25
EMR_04_55_TC	5	6
EMR_04_56_AI	1	16
EMR_04_57_NF	1	9
EMR_04_5_NV	1	4
EMR_04_60_TC	1	11
EMR_04_61_BJ	1	17
EMR_04_62_JC	6	12
EMR_04_64_MA	5	10
EMR_04_66_HP	3	18
EMR_04_67_DN	4	10
EMR_04_68_VG	4	19
EMR_04_69_DC	2	22
EMR_04_70_WC	4	26
EMR_04_72_RB	6	15
EMR_04_73_AC	3	19
EMR_04_75_DM	6	9
EMR_04_76_RR	4	17
EMR_04_7_NMC	1	12
EMR_04_8_MC	3	13
EMR_04_9_DC	2	5
EMR_04_Blank_1	1	2
EMR_04_Blank_2	2	2
EMR_04_Blank_3	3	2
EMR_04_Blank_4	4	2
EMR_04_Blank_5	5	2
EMR_04_Blank_6	6	2
EMR_04_N-10_LH	1	23
EMR_04_N-11_PW	6	25
EMR_04_N-13_LB	5	24
EMR_04_N-16_PP	5	4
EMR_04_N-18_JG	6	3
EMR_04_N-19_RC	4	13
EMR_04_N-20_NC	6	27
EMR_04_N-21_AG	5	18
EMR_04_N-22_RD	2	13
EMR_04_N-27_PA	2	20
EMR_04_N-29_BP	2	24
EMR_04_N-2_JT	4	9
EMR_04_N-31_JG	1	26
EMR_04_N-4_EV	1	18
EMR_04_N-5_CA	3	22
EMR_04_N-8_PC	1	6
EMR_04_Pool_01	1	1
EMR_04_Pool_02	1	7
EMR_04_Pool_03	1	14
EMR_04_Pool_04	1	21
EMR_04_Pool_05	1	28
EMR_04_Pool_06	2	1
EMR_04_Pool_07	2	7
EMR_04_Pool_08	2	14
EMR_04_Pool_09	2	21
EMR_04_Pool_10	2	28
EMR_04_Pool_11	3	1
EMR_04_Pool_12	3	7
EMR_04_Pool_13	3	14
EMR_04_Pool_14	3	21
EMR_04_Pool_15	3	28
EMR_04_Pool_16	4	1
EMR_04_Pool_17	4	7
EMR_04_Pool_18	4	14
EMR_04_Pool_19	4	21
EMR_04_Pool_20	4	28
EMR_04_Pool_21	5	1
EMR_04_Pool_22	5	7
EMR_04_Pool_23	5	14
EMR_04_Pool_24	5	21
EMR_04_Pool_25	5	28
EMR_04_Pool_26	6	1
EMR_04_Pool_27	6	7
EMR_04_Pool_28	6	14
EMR_04_Pool_29	6	21
EMR_04_Pool_30	6	28
