FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X940001	1								Dn, < 0.1				Up, < 0.1		
X940002	2					Dn, < 0.1									
X940005	5	Dn, < 0.1		Dn, < 0.001											Up, < 0.01
X940007	7		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.001	Dn, < 0.001	Dn, < 0.01		Dn, < 0.001			Up, < 0.1	
X940010	10	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X940013	13						Dn, < 0.1				Dn, < 0.1				
X940014	14								Dn, < 0.1				Up, < 0.1		
X940021	21														Dn, < 0.1
X940022	22												Up, < 0.1		Dn, < 0.1
X940024	24						Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X940025	25			Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1							
X940026	26								Dn, < 0.001	Dn, < 0.1			Up, < 0.01	Up, < 0.01	
X940027	27	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X940028	28					Dn, < 0.01							Up, < 0.1		
X940029	29	Up, < 0.1		Up, < 0.1					Up, < 0.1				Dn, < 0.1		
X940031	31	Dn, < 0.1		Dn, < 0.01			Dn, < 0.1	Dn, < 0.1							
X940032	32										Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1
X940034	34								Dn, < 0.1				Up, < 0.1		
X940040	40								Dn, < 0.1						Dn, < 0.1
X940043	43		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	Up, < 0.1						Dn, < 0.1	
X940045	45													Dn, < 0.1	
X940047	47		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X940048	48														Dn, < 0.1
X940049	49		Up, < 0.1		Up, < 0.1										
X940050	50								Dn, < 0.1	Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X940053	53	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X940054	54														Dn, < 0.1
X940058	58					Dn, < 0.01									
X940059	59		Up, < 0.1		Up, < 0.1										
X940062	62	Up, < 0.1		Up, < 0.1											
X940069	69					Up, < 0.1						Up, < 0.1			
X940072	72	Up, < 0.1	Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X940073	73			Dn, < 0.1			Up, < 0.1								
X940074	74								Dn, < 0.1	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X940080	80	Dn, < 0.1													
X940084	84									Up, < 0.1					
X940086	86					Up, < 0.01								Dn, < 0.1	
X940089	89														Dn, < 0.1
X940091	91						Dn, < 0.1								
X940092	92	Up, < 0.001		Up, < 0.01										Up, < 0.1	
X940093	93								Dn, < 0.1				Up, < 0.1		
X940097	97							Dn, < 0.1	Dn, < 0.1		Dn, < 0.1			Up, < 0.1	
X940102	102		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1		Up, < 0.1							
X940104	104											Dn, < 0.1			
