FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X940001	1	0.798	0.822	0.826	0.774	0.169	0.567	0.911	0.033	0.188	0.213	0.335	0.022	0.806	0.836
X940002	2	0.314	0.888	0.879	0.99	0.063	0.354	0.243	0.21	0.93	0.379	0.835	0.89	0.575	0.102
X940005	5	0.013	0.386	0	0.321	0.177	0.625	0.95	0.583	0.76	0.761	0.864	0.904	0.14	0.008
X940007	7	0.791	0.019	0.296	0.014	0.066	0.001	0.001	0.007	0.334	0.001	0.974	0.352	0.047	0.107
X940010	10	0.004	0.74	0.038	0.885	0.449	0.927	0.619	0.58	0.98	0.726	0.917	0.93	0.089	0.432
X940013	13	0.61	0.669	0.282	0.631	0.74	0.025	0.141	0.487	0.488	0.093	0.876	0.39	0.841	0.116
X940014	14	0.913	0.955	0.998	0.968	0.209	0.963	0.853	0.068	0.185	0.458	0.693	0.083	0.415	0.721
X940015	15	0.363	0.491	0.171	0.471	0.48	0.855	0.656	0.874	0.811	0.31	0.302	0.378	0.937	0.16
X940019	19	0.669	0.201	0.948	0.22	0.978	0.915	0.716	0.818	0.67	0.905	0.733	0.955	0.76	0.91
X940021	21	0.429	0.301	0.82	0.241	0.825	0.443	0.849	0.634	0.651	0.907	0.958	0.692	0.763	0.012
X940022	22	0.681	0.598	0.649	0.522	0.319	0.902	0.844	0.131	0.405	0.183	0.279	0.049	0.312	0.098
X940024	24	0.534	0.862	0.949	0.939	0.885	0.066	0.053	0.503	0.057	0.379	0.437	0.271	0.015	0.237
X940025	25	0.115	0.121	0.01	0.095	0.016	0.167	0.032	0.881	0.117	0.472	0.297	0.649	0.567	0.183
X940026	26	0.505	0.142	0.876	0.122	0.951	0.854	1	0.001	0.021	0.689	0.777	0.01	0.007	0.238
X940027	27	0.002	0.683	0.097	0.89	0.532	0.708	0.286	0.964	0.429	0.662	0.653	0.759	0.06	0.989
X940028	28	0.777	0.777	0.282	0.713	0.006	0.684	0.791	0.261	0.599	0.12	0.197	0.059	0.632	0.483
X940029	29	0.044	0.817	0.09	0.743	0.227	0.146	0.794	0.017	0.167	0.549	0.543	0.045	0.619	0.534
X940031	31	0.069	0.445	0.007	0.407	0.511	0.071	0.053	0.606	0.239	0.122	0.77	0.386	0.803	0.257
X940032	32	0.864	0.138	0.313	0.102	0.872	0.747	0.271	0.286	0.874	0.096	0.053	0.052	0.479	0.047
X940034	34	0.672	0.581	0.841	0.554	0.125	0.648	0.803	0.028	0.209	0.4	0.44	0.04	0.118	0.181
X940040	40	0.819	0.482	0.556	0.42	0.678	0.451	0.803	0.093	0.201	0.761	0.969	0.187	0.532	0.055
X940043	43	0.335	0.078	0.385	0.071	0.707	0.097	0.097	0.13	0.759	0.177	0.818	0.954	0.07	0.489
X940045	45	0.799	0.637	0.965	0.666	0.718	0.404	0.245	0.982	0.364	0.526	0.206	0.637	0.096	0.248
X940047	47	0.342	0.025	0.807	0.017	0.798	0.46	0.959	0.783	0.89	0.5	0.658	0.734	0.061	0.011
X940048	48	0.222	0.191	0.796	0.134	0.853	0.271	0.983	0.813	0.866	0.656	0.764	0.622	0.11	0.02
X940049	49	0.859	0.041	0.935	0.044	0.329	0.914	0.892	0.443	0.695	0.975	0.906	0.604	0.42	0.74
X940050	50	0.102	0.328	0.109	0.301	0.4	0.804	0.407	0.018	0.032	0.128	0.099	0.695	0.012	0.254
X940053	53	0.047	0.359	0.08	0.409	0.888	0.279	0.45	0.085	0.583	0.838	0.497	0.203	0.683	0.781
X940054	54	0.981	0.244	0.599	0.217	0.456	0.237	0.635	0.516	0.956	0.291	0.28	0.222	0.116	0.05
X940055	55	0.304	0.627	0.22	0.618	0.687	0.134	0.36	0.432	0.844	0.52	0.846	0.989	0.297	0.345
X940056	56	0.238	0.799	0.511	0.727	0.69	0.858	0.501	0.126	0.135	0.75	0.801	0.218	0.957	0.413
X940058	58	0.271	0.321	0.102	0.302	0.006	0.664	0.188	0.217	0.828	0.603	0.195	0.234	0.651	0.183
X940059	59	0.544	0.09	0.379	0.086	0.138	0.793	0.912	0.17	0.421	0.608	0.659	0.203	0.412	0.92
X940062	62	0.027	0.641	0.054	0.572	0.762	0.639	0.902	0.171	0.427	0.141	0.336	0.803	0.107	0.633
X940069	69	0.942	0.339	0.981	0.341	0.028	0.817	0.396	0.974	0.501	0.111	0.086	0.227	0.511	0.333
X940071	71	0.831	0.629	0.772	0.673	0.214	0.742	0.639	0.415	0.378	0.294	0.678	0.187	0.743	0.54
X940072	72	0.066	0.065	0.211	0.087	0.085	0.683	0.973	0.569	0.733	0.918	0.961	0.774	0.601	0.158
X940073	73	0.484	0.433	0.067	0.485	0.793	0.086	0.226	0.186	0.94	0.913	0.35	0.348	0.24	0.305
X940074	74	0.875	0.406	0.808	0.401	0.241	0.991	0.723	0.014	0.063	0.172	0.478	0.01	0.099	0.223
X940079	79	0.224	0.847	0.29	0.962	0.139	0.972	0.605	0.702	0.855	0.348	0.768	0.604	0.339	0.339
X940080	80	0.083	0.994	0.592	0.846	0.24	0.746	0.725	0.887	0.858	0.434	0.423	0.49	0.709	0.31
X940082	82	0.541	0.703	0.6	0.68	0.613	0.798	0.871	0.865	0.815	0.198	0.304	0.378	0.822	0.287
X940084	84	0.445	0.358	0.869	0.409	0.146	0.517	0.205	0.131	0.055	0.367	0.805	0.1	0.353	0.955
X940086	86	0.384	0.12	0.405	0.112	0.002	0.197	0.144	0.565	0.138	0.544	0.145	0.925	0.018	0.67
X940089	89	0.844	0.605	0.883	0.572	0.22	0.621	0.585	0.51	0.996	0.503	0.391	0.351	0.241	0.061
X940091	91	0.258	0.341	0.347	0.365	0.857	0.093	0.519	0.251	0.791	0.905	0.71	0.508	0.163	0.713
X940092	92	0.001	0.628	0.006	0.757	0.757	0.837	0.546	0.238	0.761	0.323	0.783	0.995	0.016	0.336
X940093	93	0.688	0.723	0.973	0.769	0.248	0.924	0.965	0.054	0.197	0.287	0.468	0.042	0.809	0.144
X940094	94	0.634	0.578	0.727	0.597	0.944	0.933	0.758	0.381	0.741	0.607	0.884	0.864	0.388	0.527
X940097	97	0.413	0.514	0.847	0.454	0.529	0.166	0.089	0.074	0.878	0.062	0.9	0.772	0.015	0.907
X940102	102	0.368	0.04	0.691	0.049	0.041	0.144	0.019	0.173	0.335	0.504	0.219	0.709	0.458	0.282
X940104	104	0.642	0.378	0.925	0.408	0.377	0.598	0.166	0.81	0.223	0.336	0.099	0.558	0.6	0.293
X940108	108	0.409	0.639	0.988	0.556	0.242	0.469	0.584	0.032	0.072	0.122	0.471	0.012	0.716	0.132
X940110	110	0.388	0.359	0.773	0.409	0.904	0.955	0.359	0.909	0.438	0.944	0.484	0.985	0.45	0.511
X940112	112	0.347	0.734	0.501	0.689	0.351	0.741	0.274	0.993	0.398	0.785	0.334	0.839	0.98	0.968
X940115	115	0.119	0.711	0.28	0.637	0.513	0.682	0.757	0.643	0.593	0.077	0.141	0.282	0.7	0.278
X940120	120	0.008	0.239	0	0.211	0.476	0.668	0.574	0.957	0.641	0.451	0.352	0.581	0.27	0.369
X940121	121	0.537	0.823	0.518	0.81	0.679	0.968	0.251	0.412	0.162	0.32	0.133	0.814	0.611	0.614
X940126	126	0.961	0.934	0.909	0.929	0.082	0.654	0.482	0.356	0.955	0.605	0.894	0.841	0.153	0.778
X940127	127	0.032	0.02	0.021	0.017	0.85	0.24	0.636	0.713	0.55	0.054	0.089	0.206	0.463	0.682
X940129	129	0.444	0.54	0.875	0.627	0.273	0.693	0.987	0.114	0.31	0.367	0.515	0.09	0.828	0.504
X940130	130	0.004	0.663	0.005	0.593	0.718	0.251	0.914	0.601	0.799	0.315	0.431	0.27	0.062	0.766
X940133	133	0.345	0.853	0.158	0.869	0.047	0.715	0.705	0.012	0.053	0.985	0.799	0.094	0.279	0.65
X940136	136	0.658	0.272	0.174	0.304	0.375	0.601	0.942	0.145	0.373	0.641	0.703	0.195	0.87	0.743
X940143	143	0.03	0.889	0.301	0.742	0.196	0.529	0.795	0.174	0.282	0.778	0.987	0.275	0.022	0.74
X940145	145	0.172	0.333	0.149	0.314	0.084	0.502	0.783	0.38	0.722	0.629	0.592	0.351	0.836	0.122
X940147	147	0.383	0.016	0.99	0.023	0.241	0.515	0.996	0.99	0.997	0.747	0.817	0.798	0.19	0.245
X940148	148	0.61	0.962	0.56	0.956	0.062	0.455	0.292	0.069	0.702	0.725	0.321	0.149	0.207	0.97
X940152	152	0.145	0.027	0.082	0.026	0.296	0.185	0.361	0.851	0.561	0.945	0.549	0.946	0.313	0.126
X940154	154	0.41	0.531	0.809	0.473	0.121	0.788	0.581	0.348	0.855	0.397	0.324	0.213	0.948	0.729
X940156	156	0.527	0.409	0.598	0.425	0.26	0.706	0.66	0.639	0.524	0.88	0.838	0.677	0.39	0.702
X940158	158	0.689	0.305	0.547	0.289	0.117	0.042	0.107	0.634	0.342	0.143	0.914	0.404	0.458	0.944
X940163	163	0.445	0.494	0.14	0.521	0.013	0.16	0.909	0.009	0.1	0.533	0.718	0.204	0.103	0.243
X940168	168	0.974	0.896	0.488	0.962	0.149	0.328	0.599	0.694	0.881	0.047	0.075	0.075	0.337	0.915
X940174	174	0.728	0.796	0.468	0.77	0.893	0.521	0.236	0.726	0.479	0.506	0.191	0.463	0.524	0.932
X940176	176	0.509	0.142	0.448	0.143	0.646	0.888	0.22	0.628	0.212	0.169	0.069	0.452	0.668	0.193
X940178	178	0.113	0.856	0.065	0.836	0.078	0.928	0.93	0.883	0.872	0.209	0.334	0.375	0.34	0.968
X940179	179	0.212	0.125	0.034	0.103	0.627	0.083	0.01	0.187	0.235	0.101	0.473	0.676	0.114	0.415
X940182	182	0.965	0.617	0.419	0.675	0.376	0.837	0.812	0.315	0.407	0.444	0.707	0.22	0.473	0.353
X940184	184	0.899	0.503	0.84	0.475	0.837	0.981	0.535	0.002	0.012	0.285	0.747	0.005	0.171	0.629
X940185	185	0.966	0.689	0.826	0.71	0.002	0.452	0.167	0.178	0.845	0.314	0.094	0.104	0.781	0.407
X940186	186	0.465	0.666	0.258	0.647	0.045	0.34	0.612	0.393	0.35	0.026	0.208	0.025	0.692	0.816
X940189	189	0.778	0.57	0.88	0.552	0.495	0.792	0.408	0.202	0.148	0.968	0.576	0.392	0.183	0.75
X940193	193	0.602	0.955	0.623	0.939	0.706	0.286	0.69	0.401	0.813	0.451	0.416	0.266	0.045	0.293
X940203	203	0.532	0.007	0.406	0.011	0.836	0.34	0.777	0.649	0.945	0.02	0.065	0.038	0.445	0.608
X940211	211	0.274	0.116	0.456	0.101	0.991	0.539	0.973	0.202	0.395	0.313	0.489	0.114	0.678	0.074
X940213	213	0.206	0.478	0.971	0.598	0.338	0.549	0.773	0.633	0.932	0.57	0.843	0.898	0.518	0.403
X940214	214	0.045	0.282	0.127	0.337	0.704	0.029	0.052	0.71	0.081	0.007	0.595	0.021	0.505	0.645
X940217	217	0.973	0.58	0.827	0.559	0.023	0.936	0.872	0.53	0.778	0.665	0.674	0.463	0.436	0.769
X940222	222	0.572	0.253	0.723	0.236	0.898	0.366	0.86	0.458	0.731	0.128	0.228	0.102	0.477	0.133
X940223	223	0.607	0.081	0.532	0.059	0.388	0.283	0.911	0.834	0.961	0.555	0.619	0.558	0.226	0.006
X940227	227	0.591	0.503	0.827	0.536	0.01	0.562	0.727	0.445	0.448	0.242	0.283	0.681	0.899	0.576
X940230	230	0.451	0.148	0.994	0.121	0.156	0.922	0.343	0.014	0.36	0.259	0.145	0.015	0.029	0.243
X940232	232	0.051	0.103	0.752	0.174	0.666	0.075	0.58	0.199	0.212	0.075	0.373	0.031	0.001	0.516
X940233	233	0.767	0.438	0.923	0.406	0.166	0.82	0.899	0.033	0.137	0.446	0.652	0.052	0.042	0.811
X940237	237	0.026	0.11	0.27	0.17	0.816	0.001	0.091	0.047	0.993	0.004	0.368	0.325	0.322	0.505
X940239	239	0.646	0.599	0.508	0.503	0.817	0.192	0.338	0.012	0.347	0.96	0.475	0.091	0.511	0.535
X940244	244	0.503	0.431	0.942	0.373	0.881	0.479	0.779	0.246	0.336	0.519	0.796	0.216	0.957	0.011
X940248	248	0.357	0.783	0.269	0.788	0.17	0.379	0.615	0.006	0.141	0.593	0.982	0.147	0.06	0.821
X940251	251	0.63	0.635	0.495	0.638	0.001	0.529	0.825	0.646	0.899	0.018	0.122	0.121	0.128	0.365
X940256	256	0.455	0.994	0.237	0.985	0.002	0.3	0.335	0.069	0.059	0.476	0.857	0.088	0.019	0.711
X940259	259	0.026	0.439	0.035	0.49	0.221	0.5	0.688	0.541	0.931	0.088	0.136	0.09	0.019	0.158
X940261	261	0.85	0.811	0.753	0.803	0.98	0.003	0.154	0.834	0.219	0.723	0.443	0.685	0	0.807
X940264	264	0.138	0.406	0.195	0.37	0.403	0.981	0.29	0.105	0.806	0.422	0.191	0.099	0.029	0.228
X940270	270	0.108	0.932	0.95	0.878	0.218	0.367	0.993	0.937	0.955	0.059	0.175	0.158	0.918	0.568
