MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9400004								Up, < 0.1						
X9400005								Dn, < 0.01				Up, < 0.1	Up, < 0.1	
X9400006								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400007								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400008								Dn, < 0.01				Up, < 0.01	Up, < 0.1	
X9400009								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400010					Dn, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400011								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400012								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400013								Dn, < 0.1				Up, < 0.1		
X9400014								Dn, < 0.1	Dn, < 0.1					
X9400016			Dn, < 0.1		Dn, < 0.1									
X9400017								Dn, < 0.1					Up, < 0.1	
X9400019								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400020													Up, < 0.1	
X9400021		Up, < 0.1		Up, < 0.1										
X9400022								Dn, < 0.1				Up, < 0.1		
X9400025						Dn, < 0.1								
X9400026					Dn, < 0.1					Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400027										Up, < 0.1		Up, < 0.1		
X9400028								Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9400029						Dn, < 0.1		Dn, < 0.1						Dn, < 0.1
X9400031								Dn, < 0.01				Up, < 0.1	Up, < 0.1	
X9400032								Dn, < 0.1						
X9400033								Dn, < 0.1						
X9400034												Up, < 0.1		
X9400036								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400037								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400038						Up, < 0.1				Up, < 0.1				
X9400039								Dn, < 0.01				Up, < 0.1	Up, < 0.1	
X9400040								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400041					Dn, < 0.1					Up, < 0.1		Up, < 0.1		
X9400042														Dn, < 0.1
X9400044	Dn, < 0.1		Dn, < 0.1											
X9400045		Up, < 0.1		Up, < 0.1				Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9400048								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9400049								Up, < 0.1						Up, < 0.1
X9400050								Dn, < 0.1				Up, < 0.1		
X9400051		Dn, < 0.01		Dn, < 0.01										
X9400052							Dn, < 0.1				Up, < 0.1			
X9400053								Dn, < 0.1				Up, < 0.1		
X9400055				Up, < 0.1				Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.01	
X9400057												Up, < 0.1		
X9400058					Dn, < 0.1			Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9400059												Up, < 0.1		Dn, < 0.1
X9400060					Up, < 0.1					Up, < 0.1				
X9400062								Dn, < 0.1				Up, < 0.1		
X9400064		Up, < 0.1		Up, < 0.1			Dn, < 0.1				Up, < 0.1			
X9400065	Up, < 0.001		Up, < 0.1										Up, < 0.001	Dn, < 0.1
X9400067		Up, < 0.1		Up, < 0.1				Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9400068										Up, < 0.1				
X9400070														Dn, < 0.1
X9400071										Dn, < 0.1				
X9400072								Dn, < 0.1						
X9400074					Up, < 0.1			Up, < 0.1						
X9400075														Up, < 0.1
X9400076		Up, < 0.1		Up, < 0.1										
X9400078													Up, < 0.1	Dn, < 0.1
X9400079								Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400083														Dn, < 0.1
X9400084														Dn, < 0.1
X9400086										Up, < 0.1		Up, < 0.1		
X9400087						Up, < 0.1				Up, < 0.1		Up, < 0.1		
X9400088					Up, < 0.1								Dn, < 0.1	
X9400090								Dn, < 0.1						
X9400094														Dn, < 0.1
X9400095		Up, < 0.1		Up, < 0.1			Dn, < 0.1							Up, < 0.1
X9400096								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400097								Dn, < 0.01				Up, < 0.1	Up, < 0.1	
X9400099	Dn, < 0.1							Dn, < 0.1				Up, < 0.1		
X9400103					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9400104	Up, < 0.1												Up, < 0.1	
X9400105														Dn, < 0.1
X9400107								Dn, < 0.1		Up, < 0.1		Up, < 0.1		
X9400109	Up, < 0.1		Up, < 0.1											
X9400110										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400111								Dn, < 0.1						
X9400112								Dn, < 0.1				Up, < 0.1		
X9400113	Up, < 0.1													
X9400114											Dn, < 0.1			
X9400115	Up, < 0.1		Up, < 0.1											
X9400116								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9400118		Up, < 0.1		Up, < 0.1										Up, < 0.01
X9400120						Dn, < 0.1				Dn, < 0.1			Dn, < 0.1	
X9400121														Dn, < 0.1
X9400123								Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.01	
X9400124										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400125									Dn, < 0.1					Dn, < 0.1
X9400126								Dn, < 0.1			Up, < 0.1	Up, < 0.01		
X9400129											Up, < 0.1			Up, < 0.1
X9400130								Dn, < 0.01	Dn, < 0.1			Up, < 0.1		
X9400132						Dn, < 0.1	Dn, < 0.1				Up, < 0.1			
X9400135	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X9400137														Dn, < 0.01
X9400139			Dn, < 0.1											Up, < 0.01
X9400140													Dn, < 0.1	
X9400141		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1				Up, < 0.1	Up, < 0.1
X9400142					Dn, < 0.1									
X9400143														Dn, < 0.1
X9400145									Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9400147			Up, < 0.1					Dn, < 0.01	Dn, < 0.01			Up, < 0.01		
X9400148		Up, < 0.1		Up, < 0.1										
X9400149		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1		
X9400150					Dn, < 0.1									
X9400152									Dn, < 0.1				Up, < 0.01	
X9400154						Dn, < 0.1								
X9400156														Dn, < 0.1
X9400161								Dn, < 0.1				Up, < 0.1		
X9400162									Dn, < 0.1					Dn, < 0.1
X9400166														Dn, < 0.1
X9400167								Dn, < 0.1				Up, < 0.1		
X9400172						Dn, < 0.1	Dn, < 0.1			Dn, < 0.1		Dn, < 0.1		
X9400174								Up, < 0.01					Dn, < 0.1	
X9400175		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400176				Up, < 0.1										
X9400179		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X9400180														Dn, < 0.1
X9400182								Up, < 0.01	Up, < 0.01				Dn, < 0.1	
X9400183	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9400184								Dn, < 0.1				Up, < 0.1		
X9400186	Up, < 0.1		Up, < 0.1											
X9400190														Dn, < 0.01
X9400191					Dn, < 0.1									
