USI	Cosine	Matching Peaks	Status
mzspec:MSV000085555:DOM-20200518_neg_1:scan:466	0.91	6	NoID
mzspec:MSV000082619:GIMap_P3_Aq-Org_Mixed_E2:scan:354	0.86	6	NoID
mzspec:MSV000082619:GIMap_P3_Aq-Org_Mixed_C2:scan:428	0.86	6	NoID
mzspec:MSV000082619:GIMap_P3_Aq-Org_Mixed_B6:scan:334	0.85	6	NoID
mzspec:MSV000082619:GIMap_P2_Aq-Org_Mixed_B2:scan:567	0.85	6	NoID
mzspec:MSV000084314:MSV000086988:scan:2581	0.85	5	NoID
mzspec:MSV000085143:benznidazole_LI_B_Sept_m31:scan:574	0.85	5	NoID
mzspec:MSV000085143:benznidazole_LI_B_Nov_m23:scan:561	0.85	5	NoID
mzspec:MSV000085142:benznidazole_LI_B_Sept_m31:scan:574	0.85	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_07-01:scan:363	0.85	5	NoID
mzspec:MSV000085142:benznidazole_LI_B_Nov_m23:scan:561	0.85	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_13-03:scan:375	0.85	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_02-03:scan:366	0.84	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_09-01:scan:363	0.84	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_01-03:scan:370	0.84	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_15-01:scan:363	0.84	5	NoID
mzspec:MSV000086988:NIST_NEG_Samp_14-01:scan:367	0.84	5	NoID
mzspec:MSV000085555:DOM-20200506_neg_1:scan:612	0.84	4	NoID
mzspec:MSV000085555:DOM-20200427_neg_1:scan:666	0.84	4	NoID
mzspec:MSV000085555:DOM-20200428_neg_1:scan:642	0.84	4	NoID
mzspec:MSV000085555:DOM-20200427_neg_2:scan:644	0.84	4	NoID
mzspec:MSV000085555:DOM-20200517_neg_2:scan:622	0.84	4	NoID
mzspec:MSV000085555:DOM-20200508_neg_2:scan:668	0.84	4	NoID
mzspec:MSV000085555:DOM-20200428_neg_2:scan:658	0.84	4	NoID
