USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113232	CCMSLIB00006113232	0.92	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113249	CCMSLIB00006113249	0.91	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113244	CCMSLIB00006113244	0.91	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113222	CCMSLIB00006113222	0.91	5	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113236	CCMSLIB00006113236	0.91	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112905	CCMSLIB00006112905	0.91	4	N-acetyl-alpha-D-glucosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113240	CCMSLIB00006113240	0.91	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112906	CCMSLIB00006112906	0.9	4	N-acetyl-alpha-D-glucosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112900	CCMSLIB00006112900	0.9	4	N-acetyl-alpha-D-glucosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679081	CCMSLIB00006679081	0.89	5	N-ACETYL-MANNOSAMINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112908	CCMSLIB00006112908	0.89	4	N-acetyl-alpha-D-glucosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112903	CCMSLIB00006112903	0.89	4	N-acetyl-alpha-D-glucosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113219	CCMSLIB00006113219	0.87	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113227	CCMSLIB00006113227	0.87	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679809	CCMSLIB00006679809	0.87	4	N-ACETYL-GALACTOSAMINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113216	CCMSLIB00006113216	0.87	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113224	CCMSLIB00006113224	0.87	4	N-acetyl-beta-D-galactosamine - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102641	CCMSLIB00010102641	0.85	5	N-Acetyl-D-Mannosamine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126256	CCMSLIB00010126256	0.85	5	N-Acetyl-D-Mannosamine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102455	CCMSLIB00010102455	0.84	5	N-Acetyl-D-Glucosamine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126070	CCMSLIB00010126070	0.84	5	N-Acetyl-D-Glucosamine CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679802	CCMSLIB00006679802	0.82	4	N-ACETYL-GALACTOSAMINE	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010126257	CCMSLIB00010126257	0.79	4	alpha-GalNAc CollisionEnergy:102040	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010102642	CCMSLIB00010102642	0.79	4	alpha-GalNAc CollisionEnergy:102040	M-H	1
