USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003137370	CCMSLIB00003137370	1.0	6	Spectral Match to Piperine from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000205370	CCMSLIB00000205370	1.0	7	Massbank:BML01660 Piperine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003140174	CCMSLIB00003140174	0.99	7	Spectral Match to Piperine from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006116562	CCMSLIB00006116562	0.98	7	Piperine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006435177	CCMSLIB00006435177	0.98	7	Piperine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006116560	CCMSLIB00006116560	0.98	7	Piperine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006116565	CCMSLIB00006116565	0.98	7	Piperine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006116566	CCMSLIB00006116566	0.97	7	Piperine - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005744333	CCMSLIB00005744333	0.97	7	Massbank:PR301801 Piperine	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005767848	CCMSLIB00005767848	0.97	7	Massbank: Piperine|(2E,4E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005770970	CCMSLIB00005770970	0.97	7	Massbank: Piperine|(2E,4E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005775880	CCMSLIB00005775880	0.97	6	Massbank:AU252303 Piperine|(2E,4E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005761602	CCMSLIB00005761602	0.97	7	Massbank:LU109603 Piperine|(2E,4E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007741	CCMSLIB00010007741	0.97	6	piperine	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000205361	CCMSLIB00000205361	0.96	6	Massbank:BML01649 Piperine	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004719939	CCMSLIB00004719939	0.96	7	PIPERINE	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009979946	CCMSLIB00009979946	0.96	6	Suspect related to Piperyline (predicted molecular formula: C7H19N5O7) with delta m/z 14.016 (putative explanation: Asn->Gln substitution|Asp->Glu substitution|Gly->Ala substitution|Methylation|Ser->Thr substitution|Val->Leu/Ile substitution|chain elongation; atomic difference: 1C,2H|1C,2H|1C,2H|1C,2H|1C,2H|1C,2H|1C,2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005745115	CCMSLIB00005745115	0.96	6	Massbank:PR310562 Piperine	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010116022	CCMSLIB00010116022	0.96	7	piperine CollisionEnergy:205060	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000081712	CCMSLIB00000081712	0.96	6	Piperin	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004719938	CCMSLIB00004719938	0.96	7	PIPERINE	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010116021	CCMSLIB00010116021	0.96	7	piperine CollisionEnergy:205060	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005746247	CCMSLIB00005746247	0.95	6	Massbank:PR301779 Piperine	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004691702	CCMSLIB00004691702	0.95	7	PIPERINE	[M+H]+	1
