USI	Cosine	Matching Peaks	Status
mzspec:MSV000085870:PH697187_pos_IDA:scan:881	0.89	4	NoID
mzspec:MSV000088420:2020_1208_2x_20uL:scan:4294967295	0.89	4	NoID
mzspec:MSV000088420:2020_1212_4x_10uL:scan:4294967295	0.89	4	NoID
mzspec:MSV000088420:2020_1208_1x_25uL:scan:4294967295	0.89	4	NoID
mzspec:MSV000085870:CS53088_pos_IDA:scan:766	0.88	4	NoID
mzspec:MSV000088420:2020_1208_2x_05uL:scan:4294967295	0.88	4	NoID
mzspec:MSV000088420:2020_1208_1x_20uL:scan:4294967295	0.87	4	NoID
mzspec:MSV000088420:2020_1208_1x_05uL:scan:4294967295	0.87	4	NoID
mzspec:MSV000088420:2020_1208_1x_10uL:scan:4294967295	0.87	4	NoID
mzspec:MSV000088420:2020_1212_4x_25uL:scan:4294967295	0.86	4	NoID
mzspec:MSV000088420:2020_1208_1x_40uL:scan:4294967295	0.86	4	NoID
mzspec:MSV000088420:2020_1208_1x_30uL:scan:4294967295	0.85	4	NoID
mzspec:MSV000088420:2020_1217_4x_02:scan:4294967295	0.85	4	NoID
mzspec:MSV000088420:2021_0115_4x_120min:scan:4294967295	0.85	4	NoID
mzspec:MSV000088420:2021_0115_1x_180min:scan:4294967295	0.83	4	NoID
mzspec:MSV000088420:2021_0115_4x_21min:scan:4294967295	0.8	4	NoID
mzspec:MSV000088420:2021_0117_04x_20uL:scan:4294967295	0.78	4	NoID
mzspec:MSV000088420:2021_0115_4x_90min:scan:4294967295	0.76	4	NoID
mzspec:MSV000088420:2020_1217_4x_04:scan:4294967295	0.75	4	NoID
