file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:AMZ_18_RB9_01_48924	0.0	mzspec:MSV000084900:AMZ_18_RB9_01_48924:scan:129	1	0.92	6	MSV000084900	NoID	MSV000084900	AMZ_18_RB9_01_48924.mzXML	complex
mzspec:MSV000084900:G96251_5x_RE5_01_32420	-0.0	mzspec:MSV000084900:G96251_5x_RE5_01_32420:scan:95	1	0.91	6	MSV000084900	NoID	MSV000084900	G96251_5x_RE5_01_32420.mzXML	turkey
mzspec:MSV000084900:G96230_5x_RH10_01_32501	-0.0	mzspec:MSV000084900:G96230_5x_RH10_01_32501:scan:93	1	0.91	6	MSV000084900	NoID	MSV000084900	G96230_5x_RH10_01_32501.mzXML	turkey
mzspec:MSV000084900:G96209_5x_BE3_01_32506	-0.0	mzspec:MSV000084900:G96209_5x_BE3_01_32506:scan:95	1	0.91	6	MSV000084900	NoID	MSV000084900	G96209_5x_BE3_01_32506.mzXML	turkey
mzspec:MSV000084900:G96232_5x_RB8_01_32347	-0.0	mzspec:MSV000084900:G96232_5x_RB8_01_32347:scan:87	1	0.91	6	MSV000084900	NoID	MSV000084900	G96232_5x_RB8_01_32347.mzXML	turkey
mzspec:MSV000084900:G96206_5x_BG6_01_32547	-0.0	mzspec:MSV000084900:G96206_5x_BG6_01_32547:scan:88	1	0.9	6	MSV000084900	NoID	MSV000084900	G96206_5x_BG6_01_32547.mzXML	turkey
mzspec:MSV000084900:16NAVY05_v1_sup_2_GG2_01_39578	-0.0	mzspec:MSV000084900:16NAVY05_v1_sup_2_GG2_01_39578:scan:138	1	0.9	6	MSV000084900	NoID	MSV000084900	16NAVY05_v1_sup_2_GG2_01_39578.mzXML	complex
mzspec:MSV000084900:G96231_5x_RC5_01_32367	-0.0	mzspec:MSV000084900:G96231_5x_RC5_01_32367:scan:94	1	0.9	6	MSV000084900	NoID	MSV000084900	G96231_5x_RC5_01_32367.mzXML	turkey
mzspec:MSV000084900:G96236_5x_RH4_01_32481	-0.0	mzspec:MSV000084900:G96236_5x_RH4_01_32481:scan:94	1	0.9	6	MSV000084900	NoID	MSV000084900	G96236_5x_RH4_01_32481.mzXML	turkey
mzspec:MSV000084900:G73697_5ul_rerun_BG8_01_18774	-0.0	mzspec:MSV000084900:G73697_5ul_rerun_BG8_01_18774:scan:98	1	0.9	6	MSV000084900	NoID	MSV000084900	G73697_5ul_rerun_BG8_01_18774.mzXML	turkey
mzspec:MSV000084900:G78944_BB8_01_18659	-0.0	mzspec:MSV000084900:G78944_BB8_01_18659:scan:107	1	0.9	6	MSV000084900	NoID	MSV000084900	G78944_BB8_01_18659.mzXML	chicken thigh
mzspec:MSV000084900:G79556_5x_RC12_01_18091	-0.0	mzspec:MSV000084900:G79556_5x_RC12_01_18091:scan:98	1	0.9	6	MSV000084900	NoID	MSV000084900	G79556_5x_RC12_01_18091.mzXML	trout, meat
mzspec:MSV000084900:G87366_RE9_01_26168	-0.0	mzspec:MSV000084900:G87366_RE9_01_26168:scan:97	1	0.9	6	MSV000084900	NoID	MSV000084900	G87366_RE9_01_26168.mzXML	marchigiana beef
mzspec:MSV000084900:G73699_rerun_BE8_01_18707	-0.0	mzspec:MSV000084900:G73699_rerun_BE8_01_18707:scan:108	1	0.89	6	MSV000084900	NoID	MSV000084900	G73699_rerun_BE8_01_18707.mzXML	complex
mzspec:MSV000084900:G75661_5x_rerun_BH11_01_19412	0.0	mzspec:MSV000084900:G75661_5x_rerun_BH11_01_19412:scan:107	1	0.89	6	MSV000084900	NoID	MSV000084900	G75661_5x_rerun_BH11_01_19412.mzXML	complex
mzspec:MSV000084900:G87392_RF6_01_26179	-0.0	mzspec:MSV000084900:G87392_RF6_01_26179:scan:91	1	0.89	6	MSV000084900	NoID	MSV000084900	G87392_RF6_01_26179.mzXML	chicken
mzspec:MSV000084900:G96254_5x_RD7_01_32403	-0.0	mzspec:MSV000084900:G96254_5x_RD7_01_32403:scan:91	1	0.89	6	MSV000084900	NoID	MSV000084900	G96254_5x_RD7_01_32403.mzXML	turkey
mzspec:MSV000084900:16NAVY10_v2_lun_3_GF10_01_39657	-0.0	mzspec:MSV000084900:16NAVY10_v2_lun_3_GF10_01_39657:scan:147	1	0.89	6	MSV000084900	NoID	MSV000084900	16NAVY10_v2_lun_3_GF10_01_39657.mzXML	complex
mzspec:MSV000084900:18NAVY27_v2_lun_2_GG8_01_39649	-0.0	mzspec:MSV000084900:18NAVY27_v2_lun_2_GG8_01_39649:scan:142	1	0.89	6	MSV000084900	NoID	MSV000084900	18NAVY27_v2_lun_2_GG8_01_39649.mzXML	turkey
mzspec:MSV000084900:G86816_1x_rerun_RB4_01_23318	-0.0	mzspec:MSV000084900:G86816_1x_rerun_RB4_01_23318:scan:102	1	0.89	6	MSV000084900	NoID	MSV000084900	G86816_1x_rerun_RB4_01_23318.mzXML	turkey
mzspec:MSV000084900:G96365_5x_RF11_01_32456	-0.0	mzspec:MSV000084900:G96365_5x_RF11_01_32456:scan:87	1	0.89	6	MSV000084900	NoID	MSV000084900	G96365_5x_RF11_01_32456.mzXML	turkey
mzspec:MSV000084900:G86812_1x_rerun_RB5_01_23319	-0.0	mzspec:MSV000084900:G86812_1x_rerun_RB5_01_23319:scan:111	1	0.89	6	MSV000084900	NoID	MSV000084900	G86812_1x_rerun_RB5_01_23319.mzXML	turkey
mzspec:MSV000084900:G87345_rerun_BG2_01_26213	-0.0	mzspec:MSV000084900:G87345_rerun_BG2_01_26213:scan:102	1	0.89	6	MSV000084900	NoID	MSV000084900	G87345_rerun_BG2_01_26213.mzXML	chicken
mzspec:MSV000084900:15NAVY01_v1_sup_4_GG4_01_39587	-0.0	mzspec:MSV000084900:15NAVY01_v1_sup_4_GG4_01_39587:scan:130	1	0.89	6	MSV000084900	NoID	MSV000084900	15NAVY01_v1_sup_4_GG4_01_39587.mzXML	chicken
mzspec:MSV000084900:G79206_p19_g9_GC7_01_21680	0.0	mzspec:MSV000084900:G79206_p19_g9_GC7_01_21680:scan:80	1	0.89	6	MSV000084900	NoID	MSV000084900	G79206_p19_g9_GC7_01_21680.mzXML	turkey inner meat
