USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009938894	CCMSLIB00009938894	0.87	9	Suspect related to 5.alpha.-Pregnane-3.alpha.,20.alpha.-diol (predicted molecular formula: C20H34O) with delta m/z -12.0 (putative explanation: formaldehyde adduct (reverse)|methylation and reduction (reverse)|nan (reverse); atomic difference: -1C|-1C|-1C)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009999824	CCMSLIB00009999824	0.87	9	Suspect related to Spectral Match to cis-11,14-Eicosadienoic acid from NIST14 (predicted molecular formula: C20H34O) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009938359	CCMSLIB00009938359	0.86	8	Suspect related to 5-Pregnen-3.beta.-ol-20-one (predicted molecular formula: C20H36O2) with delta m/z -7.968 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947573	CCMSLIB00009947573	0.84	8	Suspect related to Farnesylthiosalicylamide (predicted molecular formula: unknown) with delta m/z 68.063 (putative explanation: Piperidination|unspecified; atomic difference: 5C,8H|5C,8H)	[M-C7H7SON+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009939158	CCMSLIB00009939158	0.83	8	Suspect related to 5.beta.-Pregnane-3.alpha.,20.alpha.-diol (predicted molecular formula: C20H36O2) with delta m/z -12.0 (putative explanation: formaldehyde adduct (reverse)|methylation and reduction (reverse)|nan (reverse); atomic difference: -1C|-1C|-1C)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009968294	CCMSLIB00009968294	0.82	8	Suspect related to NCGC00169469-03_C20H34O3_1-Naphthalenecarboxylic acid, decahydro-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylene-, (1R,4aS,5R,8aS)- (predicted molecular formula: C20H32) with delta m/z -50.003 (putative explanation: nan (reverse)|nan (reverse); atomic difference: -2H,-3O|-3C,-1N)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009932838	CCMSLIB00009932838	0.8	8	Suspect related to 17.alpha.-Methyl-5.beta.-androstan-3.alpha.,17.beta.-diol (predicted molecular formula: C20H36O2) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009939426	CCMSLIB00009939426	0.8	8	Suspect related to 7,8-Dihydro-.alpha.-ionone (predicted molecular formula: C20H34O) with delta m/z 96.094 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010001583	CCMSLIB00010001583	0.78	8	Suspect related to Teprenone (predicted molecular formula: C20H32) with delta m/z -58.042 (putative explanation: N-dealkoxylation, O-dealkoxylation; atomic difference: -3C,-6H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009932819	CCMSLIB00009932819	0.76	7	Suspect related to 17.alpha.-Ethyl-5.beta.-estrane-3.alpha.,17.beta.-diol (predicted molecular formula: C20H36O2) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009995106	CCMSLIB00009995106	0.76	7	Suspect related to Spectral Match to Lithocholic acid from NIST14 (predicted molecular formula: C20H34O) with delta m/z -86.037 (putative explanation: Alkyl ester/carboxyl loss; atomic difference: -4C,-6H,-2O)	[M-H2O+H]+	1
