USI	Cosine	Matching Peaks	Status
mzspec:MSV000084314:MSV000081580:scan:78151	0.82	5	NoID
mzspec:MSV000080030:BD12_v17_Space_Bar_BD12_01_22917:scan:3266	0.81	6	NoID
mzspec:MSV000081580:V11_BP2_BD2_01_16023:scan:3306	0.81	5	NoID
mzspec:MSV000081548:MA3256_1_3_RG3_01_37406:scan:1574	0.8	5	NoID
mzspec:MSV000081582:3B3_RB3_01_13813:scan:3266	0.8	5	NoID
mzspec:MSV000084314:MSV000081548:scan:88762	0.8	5	NoID
mzspec:MSV000084314:MSV000080030:scan:2223102	0.79	5	NoID
mzspec:MSV000081548:MA3256_1_2_RG2_01_37405:scan:1579	0.79	5	NoID
mzspec:MSV000081548:MA3256_1_4_RG4_01_37407:scan:1575	0.79	5	NoID
mzspec:MSV000081582:3B1_RB1_01_13811:scan:3267	0.78	5	NoID
mzspec:MSV000084314:MSV000081582:scan:2541213	0.77	5	NoID
mzspec:MSV000081548:MA3256_1_1_RG1_01_37404:scan:1577	0.77	5	NoID
mzspec:MSV000080030:BE1_v17_Touch_Pad_BE1_01_22920:scan:3272	0.76	5	NoID
mzspec:MSV000081548:MA3256_1_9_RG9_01_37413:scan:1573	0.75	5	NoID
mzspec:MSV000089210:GNPS-SUSPECTLIST:scan:33819	0.74	5	NoID
mzspec:MSV000081548:MA3256_1_10_RG10_01_37414:scan:1576	0.74	5	NoID
