file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G79334_5x_rerun_BA3_01_19377	-0.0	mzspec:MSV000084900:G79334_5x_rerun_BA3_01_19377:scan:2353	1	0.92	5	MSV000084900	NoID	MSV000084900	G79334_5x_rerun_BA3_01_19377.mzXML	mouse skin and fur
mzspec:MSV000084900:G75756_1x_10ul_RA3_01_19684	-0.0	mzspec:MSV000084900:G75756_1x_10ul_RA3_01_19684:scan:2369	1	0.92	4	MSV000084900	NoID	MSV000084900	G75756_1x_10ul_RA3_01_19684.mzXML	milk_goat
mzspec:MSV000084900:G87413_1x_BF5_01_26127	-0.0	mzspec:MSV000084900:G87413_1x_BF5_01_26127:scan:2370	1	0.89	5	MSV000084900	NoID	MSV000084900	G87413_1x_BF5_01_26127.mzXML	goat cheese
mzspec:MSV000084900:G75115_1x_RC4_01_23284	-0.0	mzspec:MSV000084900:G75115_1x_RC4_01_23284:scan:2373	1	0.87	5	MSV000084900	NoID	MSV000084900	G75115_1x_RC4_01_23284.mzXML	tilapia
mzspec:MSV000084900:G83313_5x_rerun _RC10_01_21523	-0.0	mzspec:MSV000084900:G83313_5x_rerun _RC10_01_21523:scan:2377	1	0.86	5	MSV000084900	NoID	MSV000084900	G83313_5x_rerun _RC10_01_21523.mzXML	pork cheek
mzspec:MSV000084900:G87342_RF10_01_26184	-0.0	mzspec:MSV000084900:G87342_RF10_01_26184:scan:2316	1	0.85	5	MSV000084900	NoID	MSV000084900	G87342_RF10_01_26184.mzXML	pork fat
mzspec:MSV000084900:G79612_5x_RA5_01_18348	-0.01	mzspec:MSV000084900:G79612_5x_RA5_01_18348:scan:2354	1	0.85	4	MSV000084900	NoID	MSV000084900	G79612_5x_RA5_01_18348.mzXML	butterfish, skin
mzspec:MSV000084900:G87414_1x_BF4_01_26126	-0.0	mzspec:MSV000084900:G87414_1x_BF4_01_26126:scan:2355	1	0.85	4	MSV000084900	NoID	MSV000084900	G87414_1x_BF4_01_26126.mzXML	goat cheese
mzspec:MSV000084900:G79615_5x_RD5_01_18100	-0.0	mzspec:MSV000084900:G79615_5x_RD5_01_18100:scan:2345	1	0.85	4	MSV000084900	NoID	MSV000084900	G79615_5x_RD5_01_18100.mzXML	butterfish, midsection
mzspec:MSV000084900:G75119_1x_rerun_RC8_01_23430	-0.0	mzspec:MSV000084900:G75119_1x_rerun_RC8_01_23430:scan:2377	1	0.85	4	MSV000084900	NoID	MSV000084900	G75119_1x_rerun_RC8_01_23430.mzXML	tilapia
mzspec:MSV000084900:G79603_5x_RH3_01_17972	-0.01	mzspec:MSV000084900:G79603_5x_RH3_01_17972:scan:2324	1	0.84	4	MSV000084900	NoID	MSV000084900	G79603_5x_RH3_01_17972.mzXML	herring, midsection
mzspec:MSV000084900:G75788_5x_BF6_01_19332	-0.0	mzspec:MSV000084900:G75788_5x_BF6_01_19332:scan:2339	1	0.84	4	MSV000084900	NoID	MSV000084900	G75788_5x_BF6_01_19332.mzXML	mouse head
mzspec:MSV000084900:G79547_5x_RD11_01_18039	-0.0	mzspec:MSV000084900:G79547_5x_RD11_01_18039:scan:2374	1	0.84	4	MSV000084900	NoID	MSV000084900	G79547_5x_RD11_01_18039.mzXML	pork end cut
mzspec:MSV000084900:G79617_1x_BF5_01_18143	-0.0	mzspec:MSV000084900:G79617_1x_BF5_01_18143:scan:2359	1	0.84	4	MSV000084900	NoID	MSV000084900	G79617_1x_BF5_01_18143.mzXML	butterfish, fin
mzspec:MSV000084900:G87485_1x_rerun_BH5_01_26652	-0.0	mzspec:MSV000084900:G87485_1x_rerun_BH5_01_26652:scan:2382	1	0.84	4	MSV000084900	NoID	MSV000084900	G87485_1x_rerun_BH5_01_26652.mzXML	manchego cheese
mzspec:MSV000084900:G79335_5x_BF5_01_19331	-0.0	mzspec:MSV000084900:G79335_5x_BF5_01_19331:scan:2346	1	0.83	5	MSV000084900	NoID	MSV000084900	G79335_5x_BF5_01_19331.mzXML	mouse feet
