USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981147	CCMSLIB00009981147	0.86	7	Suspect related to ReSpect:PT211910 Galactinol Dihydrate|Gla+myo-inositol|6beta-Galactinol|1-O-alpha-D-Galactosyl-D-myo-inositol|(1R,2S,4R,5R)-6-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohexane-1,2,3,4,5-pent (predicted molecular formula: C13H22O13) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926336	CCMSLIB00009926336	0.86	6	Suspect related to .beta.-Gentiobiose (predicted molecular formula: unknown) with delta m/z 10.021 (putative explanation: Ser->Pro substitution; atomic difference: 2C,2H,-1O)	[M+Cl]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947198	CCMSLIB00009947198	0.86	6	Suspect related to Erlose (predicted molecular formula: unknown) with delta m/z -162.052 (putative explanation: Glucuronidation (reverse)|Hexose (reverse); atomic difference: -6C,-10H,-5O|-6C,-10H,-5O)	[M+CHOO]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947960	CCMSLIB00009947960	0.86	6	Suspect related to Gentianose (predicted molecular formula: C13H22O13) with delta m/z -116.047 (putative explanation: unspecified; atomic difference: unspecified)	[M-H]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009952387	CCMSLIB00009952387	0.86	6	Suspect related to Maltotetraose (predicted molecular formula: unknown) with delta m/z -324.106 (putative explanation: Lactosylation (reverse); atomic difference: -12C,-20H,-10O)	[M+CHOO]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009982363	CCMSLIB00009982363	0.86	6	Suspect related to Specnuezhenide (predicted molecular formula: unknown) with delta m/z 88.016 (putative explanation: unspecified; atomic difference: unspecified)	[299.1]	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981581	CCMSLIB00009981581	0.85	7	Suspect related to STACHYOSE (predicted molecular formula: C13H24O13) with delta m/z -278.103 (putative explanation: unspecified; atomic difference: unspecified)	[M-H]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009945413	CCMSLIB00009945413	0.85	7	Suspect related to D-Turanose (predicted molecular formula: unknown) with delta m/z 64.015 (putative explanation: unspecified; atomic difference: 1C,4H,3O)	[M-H-H2O]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009952477	CCMSLIB00009952477	0.85	7	Suspect related to Maltotriose (predicted molecular formula: unknown) with delta m/z -162.052 (putative explanation: Glucuronidation (reverse)|Hexose (reverse); atomic difference: -6C,-10H,-5O|-6C,-10H,-5O)	[M+CHOO]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981021	CCMSLIB00009981021	0.85	7	Suspect related to ReSpect:PT200600 Sucrose|Suc|Fru(beta2-1alpha)Glc|D-(+)-Saccharose|Cane sugar|alpha-D-Glucopyranosyl beta-D-fructofuranoside|Microse|(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]ox (predicted molecular formula: C13H22O13) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947870	CCMSLIB00009947870	0.78	7	Suspect related to Galactinol (predicted molecular formula: C13H24O13) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	[M-H]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006124741	CCMSLIB00006124741	0.75	7	Melibiose - 40.0 eV	Unknown	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981608	CCMSLIB00009981608	0.74	6	Suspect related to SUCROSE (predicted molecular formula: C13H24N2O9) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	[M-H]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010000906	CCMSLIB00010000906	0.74	6	Suspect related to Sucrose (predicted molecular formula: unknown) with delta m/z 10.021 (putative explanation: Ser->Pro substitution; atomic difference: 2C,2H,-1O)	[M+Cl]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009927611	CCMSLIB00009927611	0.72	6	Suspect related to 1,4-D-Xylobiose (predicted molecular formula: unknown) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	[M+CH3COO]-	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009925862	CCMSLIB00009925862	0.71	7	Suspect related to .alpha.,.beta.-Trehalose (predicted molecular formula: unknown) with delta m/z 10.021 (putative explanation: Ser->Pro substitution; atomic difference: 2C,2H,-1O)	[M+Cl]-	1
