USI	Cosine	Matching Peaks	Status
mzspec:MSV000082743:20160130_S00020387_N:scan:93	1.0	6	NoID
mzspec:MSV000082744:20160325_S00021351_N:scan:85	0.99	6	NoID
mzspec:MSV000084314:MSV000082743:scan:1834	0.99	6	NoID
mzspec:MSV000082729:20160309_SM_CS00000003-5_N:scan:91	0.96	6	NoID
mzspec:MSV000082744:20160325_S00021464_N:scan:76	0.96	6	NoID
mzspec:MSV000082734:20160129_S00020822_N:scan:79	0.96	6	NoID
mzspec:MSV000082735:S00015753_Negative_01:scan:94	0.94	6	NoID
mzspec:MSV000084314:MSV000082735:scan:3531	0.93	6	NoID
mzspec:MSV000082744:20160413_S00021446_N:scan:94	0.93	6	NoID
mzspec:MSV000088008:DOM_Interlab-LCMS_Lab024_Water_NEG_MS2:scan:3603	0.92	6	NoID
mzspec:MSV000088008:DOM_Interlab-LCMS_Lab024_Water_NEG_MS2_20210816102737:scan:3617	0.91	6	NoID
mzspec:MSV000084314:MSV000082729:scan:3028	0.91	5	NoID
mzspec:MSV000084460:190430_NegDDA_Cond2:scan:1665	0.9	6	NoID
mzspec:MSV000084314:MSV000082744:scan:9206	0.9	5	NoID
mzspec:MSV000088823:DOM_Interlab-LCMS_Lab024_QCmix_NEG_MS2_rep1:scan:3653	0.89	6	NoID
mzspec:MSV000085359:22092019_Suleiman_MSJKneg_5mg:scan:3891	0.89	6	NoID
mzspec:MSV000084460:190430_NegDDA_Blank1-2:scan:1700	0.89	6	NoID
mzspec:MSV000088008:DOM_Interlab-LCMS_Lab024_QCmix_NEG_MS2_rep1:scan:3653	0.89	6	NoID
mzspec:MSV000084460:190430_NegDDA_Blank1-1:scan:1659	0.89	5	NoID
mzspec:MSV000082743:20160122_S00020424_N:scan:76	0.89	5	NoID
mzspec:MSV000088823:DOM_Interlab-LCMS_Lab024_Blank_NEG_MS2_rep1:scan:3623	0.88	6	NoID
mzspec:MSV000088008:DOM_Interlab-LCMS_Lab024_Blank_NEG_MS2_rep1:scan:3623	0.88	6	NoID
mzspec:MSV000082729:20160309_S00021689_N:scan:77	0.88	6	NoID
mzspec:MSV000084314:MSV000084460:scan:37497	0.87	6	NoID
mzspec:MSV000083388:1_n_3297_03272007:scan:849	0.87	6	NoID
mzspec:MSV000082723:20151030_S00019217_N:scan:93	0.87	5	NoID
mzspec:MSV000082729:20160309_SM_CS00000003-3_N:scan:95	0.87	5	NoID
mzspec:MSV000082729:20160309_SM_CS00000003-1_N:scan:98	0.87	5	NoID
mzspec:MSV000082729:20160309_SM_CS00000003-4_N:scan:78	0.84	5	NoID
mzspec:MSV000084314:MSV000082718:scan:1180	0.84	4	NoID
mzspec:MSV000082718:S00016779_Rat:scan:87	0.83	4	NoID
mzspec:MSV000082692:S00015863_Negative_01:scan:65	0.82	5	NoID
mzspec:MSV000084314:MSV000088008:scan:50857	0.8	6	NoID
mzspec:MSV000084460:190430_NegDDA_Blank2-2:scan:1671	0.79	5	NoID
mzspec:MSV000084460:190430_NegDDA_Blank2-1:scan:1615	0.78	6	NoID
mzspec:MSV000083388:1_n_4691_08042013:scan:852	0.78	5	NoID
mzspec:MSV000084460:190430_NegDDA_Cond1:scan:1606	0.78	4	NoID
mzspec:MSV000085990:1696_Ld1s_plus_ABX_spleen_P79_2_20200814225226:scan:993	0.77	6	NoID
mzspec:MSV000083388:1_n_3717_04052012:scan:860	0.77	4	NoID
mzspec:MSV000082744:20160330_S00021422_N:scan:85	0.74	5	NoID
mzspec:MSV000082735:S00015717_Negative_01:scan:99	0.73	5	NoID
